!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
as minhas irmãs e os filhos delas	ɐʒ mˌiɲɐʒ ˌiɾəmˈɐ̃ʒ i uʒ fˈiʎʊʃ dˌɛlɐʒ
as modelos devem maquiar-se com perfeição.	ɐʒ mˌudˈelʊʒ dˈɛβɨ mˌɐkiˈaɹ sɨ kˈom pˌeɾəfɨisˈɐ̃ʊ̃
as mulheres	as moderes
as mulheres estão bebendo.	ɐʒ mˌulhˈɛɾɨʒ ɨʃtˌɐ̃ʊ̃ bˌebˈeɪŋdʊ
as mulheres estão comendo.	ɐʒ mˌuʎˈɛɾɨʒ ɨʃtˌɐ̃ʊ̃ kˌumˈeɪŋdʊ
as mulheres estão correndo.	ɐʒ mˌuʎˈɛɾɨʒ ɨʃtˌɐ̃ʊ̃ kˌuʁeɪŋdʊ
as mulheres estão lendo.	ɐʒ mˌuʎˈɛɾɨʒ ɨʃtˌɐ̃ʊ̃ lˈeɪŋdʊ
as mulheres estão nadando.	ɐʒ bˌuʎˈɛɾɨʒ ɨʃtˌɐ̃ʊ̃ nˌɐdˈɐ̃ŋdʊ
as mulheres que nascem na américa são americanas.	ɐʒ mˌuʎˈɛɾɨʒ kɨ nˈaɪʃɨ nɐ ɐmˈɛɾikɐʒ sɐ̃ʊ̃ ˌɐmɨɾikˈɐ̃nɐʒ
as mãos	ɐʒ mˈɐ̃ʊ̃ʒ
as noites são frias na serra	ɐʒ nˈoɪtɨʒ sɐ̃ʊ̃ fɹˈiɐʃ nɐ sˈɛʁɐ
as nossas pessoas	as nɔsɨs pʰeθsuɔ̯as
as notícias	ɐɐʒ nˌutˈisjɐʒ
as novidades	aʒ nˌuvidˈadɨʒ
as nuvens ocultaram o sol.	ɐʒ nˈuveɪŋʒ ˌɔkultˈaɾɐ̃ʊ̃ u sˈɔl
as núpcias	as nɔ psˈiɐs
as ocasiões	as ˌɔkɐziˈõjʒ
as opiniões devem fundamentar-se nas experiências e conhecimentos.	ɐʒ ˌɔpiniˈõjʒ dˈɛ vɨ fˌuŋdɐmeɪŋtˈaɹ se nɐʒ ˌeʃpɨɾiˈeɪŋsjɐʒ i kˌuɲɨsimˈeɪŋtʊʃ
as organizações	ɐʒ ˌɔɾəgɐnˌizɐsˈõjʒ
as organizações e a administração	ɐʒ ˌɔɾəgɐnˌizɐsˈõjʒ i ɐ ˌɐdminˌistɹɐsˈɐ̃ʊ̃
as panquecas	as pankekes
as partes do corpo	ɐʒ pˈaɾətsʊ dʊ kˈoɾəpʊ
as pasas de aveia	ɐʒ bˈazɐʒ dɨ ˌɐvˈeʎɐ
as pequenas gavetas do amor	ɐʒ pˌekˈenɐʃ gˌɐvˈetɐʒ dʊ ɐmˈoɹ
as percianas	as pɛ sianɔs
as perspectivas não são nada boas	ɐʒ pˌeɾəʃpektˈivɐʃ dˈɐ̃ʊ̃ sɐ̃ʊ̃ nˈadɐ bˈoɐʒ
as pessoas	espessoas
as pessoas adoram fazer desenhos em uma folha de papel	ɐʒ pˌɨsˈoɐʃ aʊdˈɔɾɐ̃ʊ̃ fɐzˈeɹ dˌɨzˈiɲʊʒ ˈeɪŋ ˌumɐ fˈoʎɐ dɨ papˈɛl
as pessoas conversam sobre política	ɐʒ pˌɨsˈoɐʃ kˌuŋvˈɛɾəsɐ̃ʊ̃ sˈobɹɨ pˌulˈitikɐ
as pessoas estavam ao redor de mim	ɐʒ pˌɨsˈoɐʃ ʃtˌɐvɐ̃ʊ̃ ˌɑlɨʒ dˈɔɹ dɨ mˈiŋ
as pessoas jogam futebol	ɐʒ pˌɨsˈoɐʃ ʒˈɔgɐ̃ʊ̃ fˌutɨbˈɔl
as pessoas passavam defronte ao caixão	ɐʒ pˌɨsˈoɐʃ pˌɐsˈavɐ̃ʊ̃ dɨ fɹˈoŋtɨ aʊ kˌɐiʃˈɐ̃ʊ̃
as pessoas precisam inserir frases aqui	ɐʒ pˌɨsˈoɐʃ pɹˌɨsˈizɐ mɨ sɨɾˈiɹ fʁˈazɨʃ ɐkˈi
as pessoas que nascem em chapecó são chapecoenses.	ɐʒ pˌɨsˈoɐʃ kɨ nˈaɪʃɨm ˈeɪŋ ʃˌɐpɨkˈo sɐ̃ʊ̃ ʃˌɐpɨkˈoˈeɪŋʃ
as praias	asprajes
as praias brasileiras são muito boas	as pɾˈaɪʃ bɹˌɐzilˈeɪɾɨʒ sɐ̃ʊ̃ mwˈiŋtʊ bˈoɐʒʊ
as praias do nordeste são lindas!	ɐʒ pɹˈaɪɐʃ dʊ nˌuɾədˈɛʃtɨʃ sɐ̃ʊ̃ lˈiŋdɐʒ
as praias espanholas normalmente são limpas.	ɐʒ pɹˈaʎɐʃ ʃpˌɐ̃ɲˈɔlɐʃ nˌuɾəmˌɑlmˈeɪŋtɨ sɐ̃ʊ̃ lˈiŋpɐʃ
as praias nordestinas são deslumbrantes!	ɐʒ pɹˈaɪɐʃ nˌuɾədˈɨʃtˌinɐʃ sɐ̃ʊ̃ dˌɨʒlˌumbrˈɐ̃ŋtɨʒ
as primícias	as pɾˌimˈisjɐʃ
as prostaglandinas são mediadores da resposta inflamatória	ɐʒ pɾˈɔʃtɐ gˌulɐ̃nˈdˌiŋɐʒ sɐ̃ʊ̃ mɨdˌiɐdˈoɾɨʒ dɨ ʁˌeʃpˈɔʃtɐ ˌiŋflɐtˈɔɾjɐ
as quais	asˈsˈkwˈasˈ
as redondezas	ɐʒ ɹɨduŋdˈɛsɐʒ
as relações entre os dois países não são boas	ɐʒ ʁˌelɐsˈõjʒ ˈeɪŋtɹɨ uʒ dˈoɪʒ pˌɐˈizɨʒ nˌɐ̃ʊ̃ sɐ̃ʊ̃ bˈowɐʃ
as repetições a exaustão	as ʁˌepetisˈõjʒ ɐ ˌezɐlʃtˈɐ̃ʊ̃
as reservas de remédios começaram a escassear.	ɑⁿzɛ zɛɦ bɛdʒe ɦɛm pəndʒus kɔmɛtsɑruː its kətseɑ
as roupas estavam expostas na vitrine	a sxou̯ pa zʲeztavam bolʲʂ spɔstas dzʲe vjetrɨnʲi
as roupas fazem o homem .(brasil)	as hˈowpɐs fˈazɨŋ ʊ ˈomeɪŋ
as roupas não fazem o homem .(brasil)	ɐʒ ʁˈɔpɐʒ nˌɐ̃ʊ̃ fˈazˌeɪŋ u ˈomeɪŋ
as ruas antigas são feitas com paralelepípedos.	ɐʒ ʁˈuɐʃ ˌeɪŋtˈigɐʒ sɐ̃ʊ̃ fˈeɪtɐʃ kˈom pˌɐɾɐlˈɨlɨpˈipeduʒ
as ruas se encontram aqui.	ɐʒ ʁˈuɐ sɨ enkˌuŋtɐ̃ʊ̃ ɐkˈi
as ruas são pavimentadas com paralelepípedo.	ɐʒ ʁˈuɐʃ sɐ̃ʊ̃ pˌɐvmeɪŋtˈadɐʃ kˈom pˌɐɾɐlˈɛlˈɛpipˌedʊ
as sapotáceas são árvores e arbustos largamente distribuídas em regiões tropicais	ɐʒ sˌɐputˈazjɐ sɐ̃ʊ̃ ˈɐɾəvuɾɨʒ i ˌɐɾəβˈuʒtʊʒ lˌɐɾəgɐmˈeɪŋtɨ dˌiʃtɹibuˈiɾʊʒ u ʁˌeʒiʊʒ tɹˌupikˈaɪ
as sardas	as aɾədɐs
as saídas	as seidɑs
as senhoras	as seˈɛn ˈɔɾɨs
as senzalas eram grandes alojamentos que se destinavam à moradia dos escravos.	nˈaɪ sˈeɪŋz ˈalɐʒ ˌɛɾɐ̃ʊ̃ gɹˈɐ̃ŋdɨʒ ˌɐlˈuʒwɐmˈeɪŋdʊʒ kɨ sɨ dˌɨʃtiunˈavɐ ũŋ ɐ mˌuɾɐdˈiɐ dʊʒ
as suas amigas	ˈes su ez eːmiːgɛʃ
as suas lágrimas caíam sem cessar.	nɘ swas lagrimas kajim sitsisaj
as tarefas domésticas	as tˈeɾɛfɐ̃s dˈomˈɛʃtikɐs
as taxas subiram	ɐɐʃtˌɐʃɐʃˈ sˌubˈiɾɐ̃ʊ̃
as trevas	as tɾˈɛvɨs
as vozes	ɐs voɐsˈis
asa	ʔɑzˈvɑ
asa de águia	aˈsɐ dʒaːgˈˌiɐ
asa delta	aːsɐ dɨ ˈaʊtɐ
asa-delta	ˈazɐdˈɛutˈa
asael	azaiˈw
asafe	azaf
asar	æzæx
asas	azas
asbestose	æsbɪˈstɔːɛz
ascaridíase	aʃkˈaɾidˈiɐʒi
ascendamos	ˌɐʒeɪŋdˈɐ̃mʊʒ
ascende	aisəˈɪndˈi
ascendente	ˌɐtendˈeɪŋtɨ
ascendentes	aeskendentˈes
ascender	asˌendeɾ
ascendeu	ɐsəmdˈɨu
ascendência	ˌɐʒsɨndˈeɪŋsjɐ
ascenso ferreira	ɐ isˈeɪŋsʊ fˌeʁˈeɪɾɐ
ascensor	asˌeɪŋsˈoɾ
ascensorista	asˌeɪŋsuɾˈiʃtɐ
ascensão	ˌɐʃensˈjˈɐ̃ʊ̃
ascenção	ˌasɨŋsˈɐ̃ʊ̃
ascese	aːsˌeɾəsi
asceta	aˈsˈɛta
ascetismo	asˌɛːtʃism
ascidiáceo	aʃidʒaʃiʊ
ascite	asjte
asclepiadáceo	ɛʃkʎupːjɛvɐsʲim
asclepius	aiskrˈˈapˈjˈʊz
asclépio	asklˈeo
asco	asko
ascurra	askˈuʁɐ
ascurrense	askˌuχˈeɪŋsj
ascético	asˌɛtʃiko
ascórbico	eskɔɾβinku
asdrúbal barca	a dɾˈubɐʊ bˈaɾəkɐ
asdrúbal trouxe o trombone	as duˈbɾɐ u tɹˈowʊʃɨ u tɹˌɐ̃mbˈonj
asera	azˈɛɾɐ
asfaltadas	asfˈultadɐʒ
asfaltado	ˌɐʃfɐltˈadʊ
asfaltamento	aːsfˌɑltɐmˈeɪŋtˈu
asfaltar	asfalt
asfalto	asfautɔ
asfixia	asfiksie
asfixiado	aʃfˈikˈkiˈadˈɔ
asfixiantemente	asfjtseantɨleitɨ
asfixiantes	aksifisioˌntʃɨʒ
asfixiar	aʃfiksjɐr
asfixioso	aːsfiksjɔzˈun
asfódelo	asfɔɾtelʊ
asfódelos	asfˈoðe-lˌoʒ
asgård	azˈgˈard
asiano	asjano
asilado	ɐzilˈadʊ
asilar	asilˈaɾ
asilo	aziʎw
asinha	poziljˈɛ
asinino	aziɲˈinʊ
asiste	asist
asiática	aziˈatʃɐ
asiático	ˌɐziˈatikw
aslwein	aːsɛvˈaɪn
asma	aʒmɐ
asma brônquica	a ɛs mɐ bɹˈoŋkika
asmo	azmu
asmodeus	asmʊdeus
asmoneus	asmˌɐnˈeʊʒ
asmático	asˌɪˈmɐtɪkˌu
asnada	aznaːdɐ
asnaria	asnˈaɾˈiɐ
asnear	æsniːɑːr
asneira	æzneiɾa
asneirada	asnˌɛjɐɾadɛ
asneiras	asnejres
asnice	ɐʒnˈisj
asnidade	aʒnˈidɐdˈɛ
asno	aznˈo
asnos	aisnõi̯s
asnático	aznaˈtʃiku
asopo	aspl
aspa	aspa
aspar	aspaɾ
asparagina	aspˌaɾˌɐʒˈinɐ
aspargo	aspaɾgʊ
aspargus	aspˈaɾəgʊʃ
aspargus real	as pˈaɾəgʊʃ ʁeˈɑl
aspartato	aspaɾtato
aspas	æspərt
aspeado	ˌɐʃpɨˈaðo
aspear	aspeas
aspectividade	ɐʃpˈektivˌidˈadɨ
aspectivo	aspektˈiv
aspecto	aʃpˈɛɾtʊ
aspectos	aspekit̪us
aspectual	aspektwˈaʊ
aspectualidade	ɐʃpˌektualidˈadɨ
aspectável	ˌɐʃpɨktˈavˌɛl
asperamente	ˌɐʃpˌeɾɐmˈeɪŋtɨ
asperejar	aspeɾeʒaɾ
aspereza	aʃpˌeɾɨˈezɐ
asperger	aspergɛr
aspergido	aʃpeɾʒido
aspergiliforme	aʃpeɾdilifoɾmi
aspergilo	ˈaʒpˈeɾʒilˌu
aspergilose	aspeʃsdʒilɔsj
aspergilus	askaeɾaxilus
aspergimento	aʃwpˈeɾəʒimˈeɪŋtˈu
aspergir	ɐʃpˌeɾəʒˈiɹ
asperidade	aːspɛɾidɐdˈe
asperizar	aspeɾɨsɐx
aspermado	aʃpˈeʁɐmˈadʊ
aspermo	aspermum
asperso	aspeʁfau
aspersão	ɐʒpˌɨɾəsˈɐ̃ʊ̃
aspersório	ˌɐʒpˌɛusˈɔɾjum
asperícomo	aspeɾikumu
asperíssimo	ˌɐʃpeɾˈisimw
aspeto	aspet
aspidistra	aʃpˈedistɹɐ
aspirador	ɐspiɾadɔɣ
aspirador de pó	ɐʃpˈiradɔɾtɨ pˈo
aspirantes	aspiɾantes
aspirar	ɐʃpˈiɾɐ
aspirar a	aspiɾaɾ ã
aspiração	ˌɐʃpˌilɐsˈɐ̃ʊ̃
aspirações	ˌɐʃpˌiɾɐsˈõjʒ
aspirina	aʃpiɾiɐnˈɐ
aspiro	asˌpˈeɾʊ
aspirou	aɛspiɾow
asplenia	asplenie
asplenium	asplenium
asprejar	pˌɐʃpɹɨʒˈaɹ
asprinas	aspɾˈimɐs
aspárago	aspˈaɾagʊ
aspártico	aspˈaɾtikʊ
aspásia	aspˈazjɐ
aspérrimo	astɛhʲiːmu
aspêndio	aspˈɛndjʊ
asqueroso	askeɾɔzʊ
assa-peixe	ˈaːsɐpˈeɪʃɨ
assacar	asɐkˈaɹ
assada	aˈsadɐ
assadas	asadɨs
assadeira	nɐsɐdˈeɪɾɐ
assado	ˌɐsˈadw
assadura	aszaduɾe
assaiense	aːsaiːnsi
assalariado	aˈsɐlˌɐɾiˈadw
assalariados	aˈsɐlˌaɾiˈadʊʒ
assalariar	asˌɐlˌɐɾjˈaɹ
assalta	asˈalˈtˈa
assaltado	ˌɐsaltˈadw
assaltante	ɐsˌɑltˈɐ̃ŋtɨ
assaltantes	aszltˈɐ̃ŋtɨʒ
assaltar	ɐsɐltˈaɹ
assaltara	aːsˌɑltˈaɾɐ
assaltariam	ˌɐsɑltɐɾˈiɐ̃ʊ̃
assaltava	ɐsˈˌɑltˈavɐ
assalto	asˈalto
assaltos	asˈaʊtʊʒ
assaltou	aˈsoltu
assanhadiço	asɐ̃ɲɐdˈisʊ
assanhado	ɐsˈɐ̃ɲadɐ
assanhamento	aseɲamˈeɪŋtʊ
assar	asˈaːx
assarapantar	asˈɐɾapˌeɪŋtˈaɹ
assareense	aˈsɐɾˈeɪŋsj
assaré	æsæːrɛ
assassina	asasˈiənɐ
assassinado	aːsasiːnaːdu
assassinados	asˌasˌinˈadʊʃ
assassinar	asasinaaɾ
assassinas	assassianɨs
assassinato	assasinato
assassinatos	asasinatʊʃ
assassino	assɐsˈinʊ
assassinos	assɐsˈiŋʊʒ
assassínio	asasinʝu
assassínios	assiʃnos
assavam	ʃaˈsˈtˈʃavɑ
assaz	asas
assazmente	asˈaʃmˈeɪŋtˈɨ
assaí	asai
asse	asjɐ
asseadaço	aˈsɪɐdɐsˈɔ
asseados	ɐsˈˌeˈadʊʒ
assear	asjaɾ
assecla	asˈɛklɐ
asseclas	asseɾkles
assedagem	ɛsɨdaʒeɪŋ
assedar	asˈedˈaɹ
assediada	asˌeɪdjˈadɐ
assediar	asˌedjˈaɹ
assegurada	ˌɐsɨguɾˈadɐ
assegurado	ˌɐsɨguɾˈadw
assegurando	ɐsˌeguɾˈɐ̃ʊ̃dw
assegurar	ɛsʲɪgʏrɛr
assegurasse	ˌɐsiguɾˈasɨ
assegurava	ˌɐsɨguɾˈavɐ
assegurei	ɐʒsˌeguleɪɐ̃
asseguro	tɾɐsˌegˈuɾʊ
assegurou	ˌɐsɨgˌuɾˈow
asseidade	ɒseˈiːtaj
asseio	ˌɐsˈeɪʊ
assela	asˈɛlɐ
asselar	asela
asselvajar	ɐseʊvɐʒˈaɹ
assem	aseŋ
assembleia	asambliˈeɪɐ
assembleia constituinte	ˌɐseɪmblˈeɪɐ kˌuŋstituˈeɪŋtɨ
assembleia de deus	ˌɐsemblˈeɪɐʒ dˈeʊʒ
assembleiano	ˌɐseɪmbliˈɐ̃nw
assembleias	asˈemblˈˈaɪbˈɛ
assembléia	æˈɫsɪmplˈeːr
assemelha	ɛsmajlʲɛ
assemelhada	ˌɐsemeɪʎˈadɐ
assemelhado	asˌemɨʎˈaðʊ
assemelhando	ɐsˌemɨʎˈɐ̃ʊ̃dʊ
assemelhar	asemeɾia
assemelhar-se	asemelaksem
assemelhará	asemijara
assemelhava	ɐsˌemɨlˈjˈavˌɐ
assenhorar	asˌeɪŋgɔɾˈaɹ
assenhorear	asˌeɪŋgoɾɨaɾ
assenta	asˈeɪŋtɐ
assentada num banquinho	ɐ sˌeɾəntˈadɐ dʊŋ bˌɐ̃ŋtˈiɲʊ
assentado	ˌɐseɪŋtˈadw
assentamento	asempˌɐmˈeɪŋtʊ
assentar	æsˈɪmˈtɑːr
assentar como uma luva	ɐseɪŋtˈaɹ kˈomʊ ũŋ ˌɐlˈuvɐ
assentar-se	ˌɐsɨntˈaɹsɨ
assentaram	ɐʃeɪŋtˈaɾɐ̃ʊ̃
assentava	ɐseɪŋtˈavɐ
assentavam	asjˈemtˈaːvɐ̃ʊ̃
assente	asempɨ
assenti	asˈentˌɪ
assentimento	asˌentimˈeɪŋtʊ
assentir	aseɪŋtˈiɹ
assentiu	ɐsˌeɪŋtˈiʊ
assento	ɐsˈeɪŋtʊ
assento de trás	ɐ sˈeɪŋtʊ dɨ tɹˈaʃ
assento na janela	ɐsˈeɪŋtʊ nɐ ʒɐnˈɛlɐ
assento no corredor	ɐsˈeɪŋtʊ nʊ kˌuʁɨdˈoɹ
assentos	asˈeɪŋtʊʃ
assentos reservados	asˈeɪŋtʊʃ ʁˌezɨɾəvˈadʊʒ
assepsia	asˌepˈsiɨ
asserir	asˈeɾje
assertiva	ˌɐsɨɾətˈivɐ
assertividade	ˌɐseɾətˌividˈadɨ
assertivo	asɛɾtjvʊ
assertório	ˌɐsɨɾətˈɔɾjw
asserção	ɐsɨɹsˈõŋ
assessor	asˌɛsuɐ
assessora	ˌɐsɨsˈoɾɐ
assessoramento	assoˈsˈuɾamɛnˈtˈʊ
assessorar	ˌɐsɨsuɾˈa
assessores	ˌɐsɨsˈoɾɨʒ
assessoria	ˌɐsɨsuˌuɾˈiɐ
assestado	ˌɐseʃtˈadw
assestar	asistˈaɹ
asseverar	ɐseˈvˌeɾˈaɹ
asseverava	asˌevɨɾˈavɐ
assexuado	ɐsˈɛkswˈadʊ
assexual	jɛːsksˈwˌaːl
assexualidade	äˈsiksɔlibˌɑk
assiduamente	asˌidˈmɐmˈɛ̃tɨ
assiduidade	ˌɐʒiduˌidˈadɨ
assilvestrado	asilvestradu
assim	asˈiŋ
assim como	ɐsˈiŋ kˈomʊ
assim distinguimos o homem bom do homem mau.	ɐsˈim kɨ ʃtˈiŋgwimʊʒ u ɐlˈmɨɲ bˈoŋ dʊ ɐlmɨɲ mˈɑl
assim está bem	aslʲi pavʲerɨɫa ʃtaʋɛj
assim eu posso jogar futebol melhor.	ɐsˈiŋ eʊ pˌɔsʊ ʒugˈaɹ fˌutɨbˈɑl mɨʎˈɔɹ
assim fica difícil	ɐsˈiŋ fˈika dˌifˈisil
assim não dá!	asˌi nˈumbˈa
assim parece	ɛsˈiŋ pˌɐɾˈɛsɐ
assim que	asˌiŋ kɨ
assim que possível	ɐsˈiŋ kɨ ɛ pˌɔstˈivˌɛl
assim seja	ɐsˈiŋ sˈeʒɐ
assim sendo	asisˈeɪŋtʊ
assim, por exemplo . . .	ɐsˈiŋ puɹ ɨzˈeɪŋplʊ
assim, quando existirem traduções noutras línguas, iremos utilizá-las.	ɐsˈiŋ kwˈɐ̃ŋdʊ ˌɐziʃtɨɾˈiŋ tɹˌɐdusˈõjʒ nˈuwtɹɐʒ lˈiŋgwɐʒ iɾˌemʊʒ ˌutilizˈaʎɐʒ
assim-assim	esˈiɾelsˈi
assimetria	afimɛtɾiɐ
assimilado	ˌɐsimilˈadw
assimilar	tˌɐsimilˈaɹ
assimilaria	asimilariã
assimilavam	asimilavo
assimilação	ˌɐsimilɐsˈɐ̃ʊ̃
assimétrica	ˌɐsimˈɛtɹikɐ
assimétricas	asimˈetˈrikˈas
assimétrico	asimɛtɾikɔ
assimétricos	ˌɐsimˈɛtɹikʊʒ
assinado	aɾəsinadu
assinados	ˌɐsinˈadʊʒ
assinalado	aɾsˈiŋalˈadʊ
assinalados	asinaladus
assinalar	ɐsˈinˌɐlˈaɹ
assinalarem	asˌiŋɐlˈaɾeɪŋ
assinalarmos	asˈinɐlˈaɾəmʊʒ
assinalasse	asinalasi
assinalassem	asˌiŋawɐsˈiŋ
assinalasses	asinalasis
assinale	asfinˈale
assinale a alternativa correta.	ɐ sˌinˈaʎɨ ɐ ˌɑltɨʁnɐtˈivɐ kˌuʁˈɛtɐ
assinale quais alternativas estão incorretas.	ɐʃsˌinˈaʃlɨ kwˈaɪʃ ˌɑltɨʁnɐtˈivɐʒ ɨʃtˌɐ̃ʊ̃ ˌiŋkuʁˈɛtɐʒ
assinalo	ˌɐsinˈalˈu
assinalou	asˌiŋˈalˈow
assinalássemos	asˌiŋɐlˈasimʊʒ
assinalável	ˌɐʃinɐlˈavˌɛl
assinando	assinanðʊ
assinante	ˌɐʃinˈɐ̃ŋtɨ
assinantes	asinˈɛntes
assinar	aːsˌinˈaɹ
assinatura	fesiːnatura
assine	asjne
assinei	asɪneɪ
assino	asjʊ̃no
assinou	asimɔw
assinou a direção	ˌɐsinˈow ɐ dˌiɾɨsˈɐ̃ʊ̃
assintomático	ɐsˈiŋtˌumˈatikˌu
assintoticamente	asintˈotʃikˈamˌentˌe
assintência	asʲiʂtajʂja
assiriologia	asˌiɾjoloʒˈiɐ
assis	asist
assis brasil	ɐsˈiʒ bɹɐzˈil
assis chateaubriand	asˈis ʒˈa dˌɔbɹiʊ
assis-brasiliense	ɐsˈiʃbɹˌɐzilˈeɪŋsj
assis-chateaubriense	aʃsistʃatobrɪeɛnˈsɪ
assista	asistɐ
assista o filme jovem frankenstein.	ɐsˈiʃtɐ u fˈilm ʒˈɔzeɪŋ fˌɹˌŋkɨnstˈaɪŋ
assistem	assistem
assistenciais	ˌɐsiʃteɪŋsiˈaɪʒ
assistencial	ˌɐsiʃtˌeɪŋsiˈaʊ
assistente	ˈɛsistˌeɪŋtɨ
assistente de acusação	ˌɐsiʃtˈeɪŋtɨ dɨ ˌɐkuzɐsˈɐ̃ʊ̃
assistente social	ˌɐsiʃtˈeɪŋtɨ sˌusiˈɑl
assistentes	ˌɐʒiʃtˈeɪŋtɨʒ
assistes	asˈisɨ
assisti	ˌɛsɪʃtˈi
assisti a todas as suas palestras em berlim.	ˌɐsiʃtˈiɐ ɐ tˈodɐʃ ɐ sˈuɐʃ pˌɐlˈɛʃtɹɐʃ ˈeɪŋ bˌeɾəlˈiŋ
assistia	asistˈie
assistiam	ˌɐsistˈiɐ̃ʊ
assistidas	ˌɐsɨʃtˈidɐʒ
assistido	ˌɐsistˈidw
assistimos	assistˈimʊʒ
assistindo	ˌɐsiʃtˈiŋdw
assistir	tʃiːdˈstiɹ
assistiram	ˌɐsistˈiɾˌɐ̃ʊ̃
assistirei	ˌɐsistiɾˈaɪ
assistirem	assistire
assistis	assistis
assistiu	ˌɐsiʃtˌiw
assistivo	ɐsistˈivʊ
assisto	asˈisto
assistência	ˌɐsistˈeɪŋsjɐ
asso	passo
assoalhada	asualaada
assoalhar	asˌɔaʎˈaɹ
assoalho	ɐsˈɔɐʎʊ
assoar	ɑsˈwaɾ
assoar o nariz	ɐsuˈaɹ u nˌɐɾˈiʃ
assoberbar	asibeʁmˈaʁ
assobiador	asˌɔbjjˈadoˈʁ
assobiar	asˈsobjar
assobiar (pt)	asˌobˈiˈaʁ
assobio	aɾ˧
assobio (pt)	a sɔbiʊ
assobios	afsʊbiz
assobradada	ˌɐsumbɹˈadɐ
assobradado	asˈobɹɐdˈadʊ
assobradar	asˈobɹadˈaɹ
associa	aːsˈusˈjɛ
associacao	ˌɐsusiɐsˈɐ̃ʊ̃
associacionismo	ˌɐsuˌsiɐsˌiunˈiʒmw
associado	ˌɐsuˌsiˈadw
associados	ˌɐsusiˈadʊʒ
associar	aːsˌo˃siˈa
associar-se	asˌɔsiˈɑːksiˈni
associavam	ˌɐsuˌsiˌavˌɐ̃ʊ
associação	ˌɐsuˌsiaˈsˈɐ̃ʊ̃
associações	ˌɐʒusˌiɐsˈõjʒ
associável	asotsiabem
assolado	ˌɐsulˈadw
assolar	ɑsuɫɑɾ
assoma	asˈoma
assomadiço	asˈomɐdˈisʊ
assomar	estumare
assombra	asˈombrɐ
assombrada	ɐsˌombɹˈadɐ
assombradiço	asˈombɹɐdˈisʊ
assombrado	ˈɛssˌombɹˈaðo
assombramento	ɐsˈˌɔ̃mbɹɐmˈeɪŋtʊ
assombrar	asˌombɹˈaɹ
assombraram	ɐʃˈombrˈaɾɐ̃ʊ̃
assombraria	lasˈɔ̃dɾaʝˈeɾ
assombração	ɐʃˌombrɐsˈɐ̃ʊ̃
assombro	asˈombɹʊ
assombroso	ˌɐsˌoŋbɹˈozʊ
assombrou	asˈombrˌu
assomo	asˈomʊ
assomou	asɔbɔu
assonância	asˌuŋˈɐ̃ŋsjɐ
assoprado	ˌɐsupɹˈadw
assoprado pode ser o mesmo que introduzir ar por meio de um sopro.	ɐ supɾˈadʊ pˌɔdɨ sɨɹ u mˈeʒnʊ kɨ ˌeɪŋtɹudˌuziɾˈaɹ puɹ mˈeɪʊ dɨ ũŋ sˈopɹʊ
assoprando	ɛsupɾɐ̃ŋdw
assoprar	asupɾˈaɹ
assoreamento	asˌulɨɐmˈeɪŋtʊ
assorear	asˌuɾiˈa
assossegar	ɐsˈusˌeʒˈaɹ
assovia	tˈasˈvˈjjɨəɹ
assoviar	asɔvja
assovios	asɔðiˈɔs
assuada	ˌɐsuˈadɐ
assubstantivar	asˌubstɐ̃ŋtivˈaɾ
assuero	asˌuˈeɾʊ
assujeitamento	asˌuʒˌetɐmˈeɪŋtʊ
assum-preto	asubɾeɣ̞to
assume	asˈumɪ
assumi	ˌɐsuˈmɪɹ
assumiam	ˌɐsuŋˈiɐ̃ʊ̃
assumidamente	asimidɐmˈeɪŋtɨ
assumido	ˌɐsuˈmˌidw
assumindo	aːsumimdɔ
assumir	ˌɐsumˈiɹ
assumira	asˌumˈiɾɐ
assumiria	asˌumjɾˈiɐ
assumisse	azumnˈeste
assumiu	ˌɐsumˈiw
assumpcionista	asˌũŋsjˈɔnˈisˈtɐ
assumpção	ɐˌɐsũŋsˈɐ̃ʊ̃
assuncao	asumseˈɐ̃ʊ̃
assuntar	ˌɐsumpˈaɹ
assunto	ˌɐsˈũŋtʊ
assuntos	assumtɔʃ
assuntos atuais	ˌɐsuŋtˈoz ˌɐtuˈaɪʒ
assuntos de família	ɐʒsˈũŋtʊʃ dɨ fɐ̃ʊ̃mˈiljɐ
assunção	ˌɐsuŋsˈɐ̃ʊ̃
assunção do piauí	ɐsuŋsˈɐ̃ʊ̃ dʊ pˌiˈɛʊ̃ɨ
assunçãoense	asˌusˈɐ̃ʊ̃ˈeɪŋsɨ
assurini	æzsɔːɾiːniː
assusta	asˈuɪstɐ
assustada	aswstadɐ
assustadas	asustadis
assustadiço	ɐsˈustɐdˈisʊ
assustado	asɔʃtadʊ
assustador	atsuʃtadʊr
assustadora	asʊstadɔrɛ
assustadoramente	asˌuʃtˈadʊɾɐmˈeɪŋtˈe
assustadores	ˌɐsuʃtɐdˈoɾɨʒ
assustados	asowestadʊs
assustando	asɔistãŋdo
assustar	asˌustˈa
assustava	ɐsˌuʃtˈavɐ
assustavam	asuʃtavo
assuste	asuɕtɕ
assustei	asɔʃtɛj
assustes	asusdes
assusto	asˈuˈɪʃtʊ
