'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
ਇਟਸਿਟ	eʈːɯsɛjːt̪
ਇਤਕਾਦ	etʃakaad
ਇਤਕਾਦ ਰੱਖਣਾ	ɪt̪kɑːt̪ ɾəkʰɳa
ਇਤਫ਼ਾਕ	ˈɪtfɑːk
ਇਤਫ਼ਾਕ ਕਰਨਾ	pt̪fɑːkʰ kɐɾnə
ਇਤਫ਼ਾਕ ਰਾਏ	itːfɑːk rɑːɪ̯
ਇਤਫ਼ਾਕੀਆ	ɑːt̪fʰɑːkijɑ
ਇਤਫ਼ਾਕੀਆ ਛੁੱਟੀ	ətˁfəkɪɑː tʃʰʊt̪iː
ਇਤਬਾਰ	ɪtːˈbɑːr
ਇਤਬਾਰ ਕਰਨਾ	ɐt̪ɐbɑːɾ kɐɾnə
ਇਤਬਾਰ ਵਾਲਾ	t̪oːaːɾoːɾɑː
ਇਤਬਾਰੀ	ət̪bɑːriː
ਇਤਮੀਨਾਨ	et̪miːnɑːn
ਇਤਰ	ɪtˈaɪrˈubˈɛ
ਇਤਰਾਜ਼	aɪkɛra
ਇਤਰਾਜ਼ ਕਰਨਾ	ɐt̪ɾäːz kɐɾnə
ਇਤਲਾਹ	ʔitlɑ
ਇਤਲਾਹ ਕਰਨੀ	ɑt̪lɑːʔ kəɾiːnə
ਇਤਲਾਹ ਕਰਾਉਣੀ	ɑtlɑː kɾəõːɳiː
ਇਤਲਾਹ ਦੇਣੀ	ɪtˈlɑː dæɾiː
ਇਤਲਾਹਨਾਮਾ	iːt̪ːlaːɑːn̪ɐmːə
ਇਤਵਾਰੀ	aɪt̪ʋɑːɾiː
ਇਤਾਇਤ	ɑːt̪ɑːɪt̪
ਇਤਾਇਤ ਕਬੂਲ ਕਰਨੀ	ɑːt̪ɑːɪt̪ kɑːbuːl gərɳeː
ਇਤਾਲਵੀ	iːtaːlauːiː
ਇਤਿਹਾਦ	ɪdɪˈɾʊəd
ਇਤਿਹਾਦੀ	ɑːteːʰɑːtˈdiː
ਇਤਿਹਾਸ	iteas
ਇਤਿਹਾਸਕ	jt̪hʰaːsɐk
ਇਤਿਹਾਸਕਾਰ	ɑːt̪ʰɑːɑːskɑːɾ
ਇਤਿਹਾਸਕਾਰਾਂ	ɪt̪iːdʒəskɑːrɑːn
ਇਤਿਹਾਸਕਾਰੀ	ɪt̪ɪgʰɑːʃkɑːɾiː
ਇਤਿਹਾਸੀ	ˈeːthəːrˌsiː
ਇਥੋਂ ਤੱਕ ਕਿ	ek t̪o̞ t̪a kɛ̞
ਇਥੋਪੀਆ	n˧ʔt˥�oʔ˧pi˥˧a˥˧
ਇਨਕਲਾਬ	ənkɑlɑːb
ਇਨਕਲਾਬੀ	peːngəlɑːbi
ਇਨਕਸ਼ਾਫ਼	ɪnkˌæʃaf
ਇਨਕਸ਼ਾਫ਼ ਕਰਨਾ	əŋkʰʃɑːf kɾəɳə
ਇਨਕਾਰ	ɛːnkɑːr
ਇਨਕਾਰ ਕਰਨਾ	ə̃n̪kɑːɾ kɐɾnə
ਇਨਕਾਰੀ	ɛːnkɑːɾiː
ਇਨਸਾਨ	aɪnˈfɑːn
ਇਨਸਾਨੀ	ɪnfaniː
ਇਨਸਾਨੀਅਤ	ənsaːniːt
ਇਨਸਾਫ਼	aːnsaːf
ਇਨਸਾਫ਼ਪਸੰਦ	ɪnsaːfpəsənd
ਇਨਹਸਾਰ	ɦnɦsɑːɾ
ਇਨਹਸਾਰ ਹੋਣਾ	ənhsɑːr hoːɳe
ਇਨਾਇਤ	ɛːnɑːʔɛd
ਇਨਾਇਤ ਕਰਨਾ	ɳəɦət̪ kɐɾnə
ਇਨਾਮ	iːnaːm
ਇਨਾਮ ਦੇਣਾ	ɳɑːm diːɳa
ਇਨਾਮ ਲੈਣਾ	ɦɑnɑm lɛɳa
ਇਨਾਮ ਵੰਡਣਾ	ɛnaːm ʋnɖɪɳaː
ਇਨ੍ਹਾਂ	enna
ਇਬਤਦਾ	ibətaɾ
ਇਬਤਦਾਈ	keːbat̪ɖaːji
ਇਬਰਤ	ibrɛt
ਇਬਰਤ ਹਾਸਲ ਕਰਨੀ	ɪbˈt̪ ħɑːsəl kɾniː
ਇਬਾਦਤ	ɑbɑːd̪æt
ਇਬਾਰਤ	ɑːbɑːrʌt
ਇਬਾਰਤ ਲਿਖਣੀ	ɪbɑːrʈ ləkʰɐɳiː
ਇਬਾਰਤੀ	ɪbɑːɾt̪iː
ਇਮਕਾਨ	ɛːmkɑːn
ਇਮਤਿਆਜ਼	ɛːmteːɑz
ਇਮਤਿਆਜ਼ ਕਰਨਾ	ɛːmt̪jɑːz kɾənə
ਇਮਤਿਆਜ਼ੀ	ɑːmdaːiːəziː
ਇਮਤਿਹਾਨ	ɑːmt̪ʰɑːn
ਇਮਤਿਹਾਨ ਦੇਣ ਵਾਲ਼ਾ	ɛːmtsɪʦɑːn ɖeːɳ ʋɑːɽɑː
ਇਮਤਿਹਾਨ ਲੈਣ ਵਾਲ਼ਾ	ɪmtiːɦɑːn lɛːɳ ʋɑːliː
ਇਮਤਿਹਾਨ ਲੈਣਾ	ɛːmʈɪɦɑːn lɛɳɑ
ਇਮਤਿਹਾਨੀ	əmt̪iːtʰɑːniː
ਇਮਦਾਦ	ɑːmdaːsˈd
ਇਮਦਾਦ ਕਰਨੀ	əˈmdaːd kəɾəɪnɪ
ਇਮਦਾਦ ਦੇਣੀ	ɛmdaːt deːɳiː
ਇਮਦਾਦੀ	ɛmdaːti
ਇਮਲੀ	imˌɛlˌiː
ਇਮਾਨ	ɪˈmɑːn
ਇਮਾਨ ਲਿਆਉਣਾ	ɔːman lɛʋna
ਇਮਾਨਦਾਰ	ɑːnɑːɑːɾɑː
ਇਮਾਨਦਾਰੀ	ɑːmɑːnɑːpʰɪt̪ɑːɾiː
ਇਮਾਮ	ɛmaːm
ਇਮਾਮਜ਼ਾਦਾ	ɒimɑːmzɑːdə
ਇਮਾਮਬਾੜਾ	ɪmɑːmbɽ
ਇਮਾਰਤ	ɛːmɑːrɐt
ਇਮਾਰਤ ਖੜ੍ਹੀ ਕਰਨੀ	ɛːmɑːɾt̪ kʰəɽiː kəɾniː
ਇਮਾਰਤਸਾਜ਼ੀ	ɑːmɑːrətsɑːziː
ਇਮਾਰਤੀ	ɛːmɑːrt̪iː
ਇਮਾਰਤੀ ਲੱਕੜੀ	ɛːmɑːɾt̪iː lɐkːɽiː
ਇਰਦ ਗਿਰਦ	ˈɛɾdˈ gˈɛrd
ਇਰਾਕ	ɪrˈɑk
ਇਰਾਕ਼	ɪrɑːq
ਇਰਾਕੀ	ɪrˈɑːkəkiː
ਇਰਾਦਤਨ	ɾaːdat̪n
ਇਰਾਦਾ	ɾˈadɐ
ਇਰਾਦਾ ਕਤਲ	ɪːɾɑːd̪ʱɑː kɐt̪əl
ਇਰਾਦੇ ਨਾਲ਼	iɾaðe na
ਇਰਾਨ	ɪˈɾɑːn
ਇਰੀਤਰੀਆ	ɾɛjtɾɪa
ਇਲਜ਼ਾਮ	ɑzɑm
ਇਲਜ਼ਾਮ ਲਾਉਣਾ	əlzəm laoːqa
ਇਲਤ	lt
ਇਲਤ ਕਰਨੀ	əɫd kəɾˈniː
ਇਲਤਮਾਸ	ˈeɪltəˈmɑːs
ਇਲਤਿਜਾ	ɛːltɛjaː
ਇਲਤਿਜਾ ਕਰਨਾ	əˈltʃə gɑː kɾnɑ
ਇਲਤੀ	lti
ਇਲਮ	ɛlmɯ
ਇਲਮ ਹੋਣਾ	əlm ɦoːɳa
ਇਲਹਾਕ	ælʱɑːk
ਇਲਹਾਮ	ælħɑːm
ਇਲਾਇਚੀ	lajːtʃi
ਇਲਾਕਾ	ɦləqqa
ਇਲਾਕਾਈ	ɑːlɑːqɑːɪ
ਇਲਾਕਾਪਰਸਤੀ	ɛːlaːqəbəɾɑsəti
ਇਲਾਕੇ	ɪlɑːbkeː
ਇਲਾਚੀ	elatʃi
ਇਲਾਚੀ ਦਾਣਾ	laːtʃi daːnə
ਇਲਾਜ	iladʒi
ਇਲਾਜ ਕਰਨਾ	pɪlɑːdʒ kəɾnə
ਇਲਾਜ ਮੁਆਲਜਾ	ɪlɑːdʒ moːʔaldʒə
ਇਲਾਜ ਸਬੰਧੀ	ɛːlɑːdʒsbɐndi
ਇਲਾਨ	əlaːn
ਇਲਾਨ ਕਰਨਾ	əˈlɑːn kɾnə
ਇਲਾਨੀਆ	ælɑːniːɑː
ਇਲਾਵਾ	ɑːlɑːʋaː
ਇਲਾਹੀ	alaːhi
ਇਵਜ਼	ɾɪvɭz
ਇਵਜ਼ ਵਿੱਚ	ɪvɑzwɪtʃɪ
ਇਵਜ਼ਾਨਾ	ɛvˈðɑnˈnɛ
ਇਵੀਸੌਰ	ɛvˌisˈɔˈɔɾɐ
ਇਵੇਂ	evˈɛ̃
ਇਸ਼ਤਿਹਾਰ	ɑʃtɛˈhɑr
ਇਸ	bɪs
ਇਸ ਕਰਕੇ	əs kəɾ keː
ਇਸ ਚੀਜ਼ ਵਿੱਚ ਨੁਕਸ ਹੈ	ɪs tʃiːdʒ wˈɪtʃi ðə nˈoʊks hɜː
ਇਸ ਤਰ੍ਹਾਂ	estaran
ਇਸ ਦਾ	ajja̝ sada
ਇਸ ਪਿੱਛੇ ਵੀ ਲੰਬੀ ਕਹਾਣੀ ਹੈ	əsʈ pətʃʰeː bi ləŋbi kəɦɑːɳiː ɦeː
ਇਸ ਪ੍ਰੈਸ ਕਾਨਫਰੰਸ ਦੀ ਅਹਿਮ ਗੱਲ ਇਹ ਸੀ	ɪs pɾəz kɑːn fəɾnæs d̪e ɑːhm gəl ˈeɪsɪ
ਇਸ ਲਈ	ɛːf lajˈi
ਇਸਕ	fˈkˈ
ਇਸਤਕਬਾਲ	ɪst̪qɑːlʔ
ਇਸਤਕਬਾਲ ਕਰਨਾ	əstʰkbaːl kɾnə
ਇਸਤਕਬਾਲੀਆ	əstækːliːə
ਇਸਤਗਾਸਾ	est̪esã
ਇਸਤਰੀ	estɾi
ਇਸਤਰੀ ਕਰਨਾ	estri kaɾnao
ਇਸਤਰੀ ਰੋਗ ਵਿਗਿਆਨ	ʔɛftɾiː rɔg ʋɪgjɑːn
ਇਸਤਰੀ ਲਿੰਗ	estrileŋg
ਇਸਤਰੀਤਵ	est̪eɾit̪aβ̞
ਇਸਤਲਾਹ	aːst̪laː
ਇਸਤੇਮਾਲ	ɪfˈtæmɑːl
ਇਸਤੇਮਾਲ ਕਰਨਾ	əʃt̪ɪmɑːl kɐɾnə
ਇਸਤੋਨੀਆ	ɪstˈoːniːə
ਇਸਤੋਨੀਆਈ	estˌoˌniaːj
ਇਸਦਾ	aθda
ਇਸਪਾਤ	afbatʃ
ਇਸਬਗੋਲ	ɛˈsæbgˈoːl
ਇਸਬਗੋਲ ਦਾ ਛਿਲਕਾ	ʔɛːsəp gʊl ɖə tʃɛɭɭ kə
ਇਸਮਤ	femˈatˈ
ਇਸਰਾਰ	ɪfɾɑːr
ਇਸਰਾਰ ਕਰਨਾ	ɪfraːr kɾnə
ਇਸਲਾਮ	ɪ̞fɫɑm
ਇਸਲਾਮਾਬਾਦ	islamabaːd
ਇਸਲਾਹ	ɪflɑː
ਇਸ਼ਕ	bɪʃ
ਇਸ਼ਕ ਮਜਾਜ਼ੀ	ɑːʃkmgɑːziː
ਇਸ਼ਕ ਹਕੀਕੀ	əʃq ə kiː kiː
ਇਸ਼ਕਪੇਚਾ	ɪ̞ʃkʲɪpʲeːtjɑ
ਇਸ਼ਕੇ	a
ਇਸ਼ਟ	ɛʃt
ਇਸ਼ਤਮਾਲ	ɪʃt̪ɪmɑːl
ਇਸ਼ਤਿਹਾਰ	biʃtijɑr
ਇਸ਼ਤਿਹਾਰ ਦੇਣਾ	iːʃtijɦɑːr dɪkæ
ਇਸ਼ਤਿਹਾਰਬਾਜ਼ੀ	ʔɪʃt̪iːɑːrbaːziː
ਇਸ਼ਤਿਹਾਰੀ	ɑʃt̪ʰɦɑːɾiː
ਇਸ਼ਤਿਹਾਰੀ ਮੁਲਜ਼ਮ	əʃtəɦɑːrɪ mʊlzəm
ਇਸ਼ਨਾਨ	ɪ̞ʃnɑːn
ਇਸ਼ਾਰਾ	əˈʃɑːrə
ਇਸ਼ਾਰਾ ਕਰਨਾ	ɑːʃɑːɾɑː kɾnə
ਇਸ਼ਾਰਾ ਦੇਣਾ	ɪʃɑːɾɑː d̪ɪɳə
ਇਸ਼ਾਰੀਆ	ɪʃɑːɾiːɑː
ਇਸਾਈ	ɛːθaːi
ਇਸਾਈ ਧਰਮ	esajt̪aɾum
ਇਸਾਈਅਤ	efaiˈe
ਇਹ	e
ਇਹ ਇੱਕ ਵਧੀਆ ਖਬਰ ਹੈ	eː əkɐ ɐd̪iːə kʰɑːbɐr
ਇਹ ਕਿੰਨੇ ਦਾ ਹੈ?	ɦʰt̪eː kneːɖɑːɦ ɦɛː
ਇਹ ਕੰਮ ਤਾਂ ਬਹੁਤ ਵਧੀਆ ਹੈ	ɛːrɦ ɦə toː moːt ɦoːdiːɦ ɦeː
ਇਹ ਦਾ	ɦɪdˈɑ
ਇਹ ਬੁਜਦਿਲਾਂ ਦਾ personality disorder ਹੈ	eː bjɾd̪ʒɖiːlɑːnɖə pəɾnɪnˈnl̪t̪iː ɖɪsɑːɾɖɾə ə
ਇਹ ਹਨ	ɦˈɛn
ਇਹ ਹੈ	j˧
ਇਹਤਕਾਦ	ˌeʁɨtɨkˈadɨ
ਇਹਤਿਆਤ	ɛːhtɑːt̪
ਇਹਤਿਆਤ ਰੱਖਣਾ	ɪhtiːjət̪ ɾəkʰɳə
ਇਹਤਿਆਤ ਵਰਤਣਾ	ɛhtiaːt̪ʋərtɳaː
ਇਹਤਿਆਤਨ	ɛːt̪jɑːt̪n
ਇਹਤਿਆਤੀ	eteaɾʃ
ਇਹਦਾ	eða
ਇਹਦੀਆਂ	elˈiaː
ਇਹਦੇ	e̞d̪e
ਇਹਦੇ ਬਾਰੇ ਜ਼ਿਆਦਾ ਨਾ ਸੋਚੋ	eʈe ɓɑːre ʒä̃ːd̪ɑː nə soːtʃoːʔ
ਇਹਨਾਂ	enna
ਇਹਨੂੰ	enum
ਇਹਨੇ	ˌaʎe
ਇਹਸਾਨ	ɛːnfɑːn
ਇਹਸਾਨ ਕਰਨਾ	ɛːʰːɑːn kɐɳə
ਇਹਸਾਨ ਫ਼ਰਾਮੋਸ਼	ɛːhsaːn frɑː moːʃ
ਇਹਸਾਨ ਮੰਨਣਾ	ɛːʃɑːn mnɳɳɑ
ਇਹਸਾਨਮੰਦ	aːnsɑːnmɑnˈd̪ʔ
ਇਹਸਾਸ	esas
ਇਹਸਾਸ ਹੋਣਾ	e̞ħˈsɑːr sɔːnə
ਇਹਾਤਾ	ihata
ਇਹੀ	eːʰiː
ਇਹੋ	ˈeːho
ਇਹੋ ਗੱਲ	ɛːho gəl
ਇਹੋ ਜਿਹੀ	ɛːʱoːnzətʃ
ਇਹੋ ਸਹੀ	ɦɔ sɛːˈʔiː
ਇਹੋ ਹੀ	ˈeːɒʊ hi
ਇਖ਼ਤਿਆਰ	ɪxtiaːr
ਇੰਗਲਸਤਾਨ	ɪŋlɛstɑːn
ਇੰਗਲੈਂਡ	t̪oːlaːnː
ਇੰਚ	entʃe
ਇੰਜ	ɛndʒi
ਇੰਜਨ	nen
ਇੰਜਨ ਚਲਾਉਣਾ	jnð̞gẽn tʃalaːɦona
ਇੰਜੀਨੀਅਰ	ɪnˈdʒiːniəɾ
ਇੰਜੀਲ	enɣ̞ið̞
ਇੰਝ	iŋdʒi
ਇੰਞ	ng
ਇੰਟੈੱਲ	lɑːn
ਇੰਡਸਟਰੀ	ɪnˈdʌstɹɪ
ਇੰਡੀਅਮ	ɛ̃pˌnˌ
ਇੰਡੋਨੇਸ਼ੀਆ	ɪndoːneːʃiːɑː
ਇੰਡੋਨੇਸ਼ੀਆਈ	ˈɪndɔnˌeɪʃjɑːiː
ਇੰਤਕਾਮ	intkaːm
ਇੰਤਕਾਮ ਲੈਣਾ	ɪntkaːm liːɳaː
ਇੰਤਕਾਲ	ɪntˈɪkˈal
ਇੰਤਕਾਲ ਕਰਨਾ	ənt̪ɪkɑːl kɐrna
ਇੰਤਕਾਲ ਦਰਜ ਕਰਨਾ	əntkɑːl ɖərdʒ kəɾnə
ਇੰਤਕਾਲ ਹੋਣਾ	əntkɑːl ɦoːɳaː
ਇੰਤਖ਼ਾਬ	ɪntqɑb
ਇੰਤਖਾਬ	ɛntkɑb
ਇੰਤਖਾਬ ਕਰਨਾ	intʰikʰɑːbkɔ̀ːn˧nʔ
ਇੰਤਜ਼ਾਮ	entvɑːm
ਇੰਤਜ਼ਾਮ ਕਰਨਾ	ɑːnt̪ʋɑːm kɐɾnə
ਇੰਤਜ਼ਾਮੀਆ	entvɑːmjˈjˈ
ਇੰਤਜ਼ਾਰ	ɪntɪzɑːr
ਇੰਤਜ਼ਾਰ ਕਰਨਾ	ent̪e iɐɾ kaɾma
ਇੰਤਜਾਰ	ntʃaːrv
ਇੰਤਸ਼ਾਰ	entɪʃaːr
ਇੰਤਸ਼ਾਰ ਪੈਦਾ ਕਰਨਾ	əɳt̪ɪːʃɑːɾ piːd̪äː kɐɳnə
ਇੰਤਹਾ	nt̪ʰaː
ਇੰਦਰ	iːnde
ਇੰਦਰ ਜਾਲ	aːndaːrdaːl
ਇੰਦਰਾਜ	enðəˈɾadʒ
ਇੰਦਰੀ	enðriː
ਇੰਦੌਰ	ɪnˈdɔɾ
ਇੰਨ-ਬਿੰਨ	ennɛben
ਇੰਨਬਿੰਨ	ænːɯbɛnːɯ
ਇੰਨਾ	enna
ਇੰਨਾਂ	enna
ਇੰਨੂੰ	lˈɛn
ਇੱਕ	ikːə
ਇੱਕ ਅੰਸ਼ੀ ਸਮੂਹ	ak ʔan ʃiːz muː
ਇੱਕ ਅੱਧ	ekʲadːi
ਇੱਕ ਅੱਧਾ	akːaʔdaː
ਇੱਕ ਓਅੰਕਾਰ	əq mənkɑr
ਇੱਕ ਕਰਨਾ	əːk kaːrna
ਇੱਕ ਕੇਂਦਰੀ	ekakendri
ਇੱਕ ਕੋਸ਼ੀ	æk ɣoʃi
ਇੱਕ ਚਿੱਤ	tʃiʃ kɛttɪk
ਇੱਕ ਜੁਟ	ekː dʒoːˈʈe
ਇੱਕ ਟੱਕ ਵੇਖਣਾ	ə̃kʰ ʈkʊkɳa
ਇੱਕ ਤਰਫ਼ਾ	ektaɾfa
ਇੱਕ ਤਾਰਾ	əkt̪əɾə
ਇੱਕ ਦਮ	akadam
ਇੱਕ ਧਿਰ	akkɐtɐɾ
ਇੱਕ ਪੱਖੀ	æˈkɑbət kʰiː
ਇੱਕ ਮਿੱਕ	ˈæk ˈæk
ਇੱਕ ਮੁੱਠ	pekmɔd̪t̪
ਇੱਕ ਰੁੱਤਾ	akoruta
ਇੱਕ ਰੂਪ	akruːp˨
ਇੱਕ ਰੂਪਤਾ	akruːda
ਇੱਕ ਲਖਤ	ekːlˈɑkt
ਇੱਕ ਵਚਨ	ækto batʃaɲo
ਇੱਕ ਵਾਰ ਦੀ ਗੱਲ ਹੈ	əqɑːr d̪ɪgəl ɦeː
ਇੱਕ ਵੀ ਨਹੀਂ	t̪ikːʋiː nəɦẽː
ਇੱਕ ਵੱਢੋਂ	əkːʋaɭoːn
ਇੱਕ ਸਮਾਨ	akːsaːmaːn
ਇੱਕ ਸਾਥ	akːisaːt
ਇੱਕ ਸਾਰ	aːksaːr
ਇੱਕ ਸਾਰਤਾ	agːfaːrta
ਇੱਕ ਸਾਹਰਾ	æːk sɑːhɾɑː
ਇੱਕ ਸਾਹਾ	ɛːkstɑː
ਇੱਕ ਸੁਰ	æk ke førɛ
ਇੱਕ ਸੁਰਤਾ	ekkifertˈtˈa
ਇੱਕ-ਦਮ	təkːɯ̞tam
ਇੱਕਅਧਿਕਾਰ	əːkəd̪ɪgaːr
ਇੱਕਈਸ਼ਵਰਵਾਦ	əkɪːʃʊɦrʊ̃ˈaːd
ਇੱਕਜੁਟ	ekɪdʑoːɕi
ਇੱਕਜੁੱਟ	ɛkːɯdʒotːi
ਇੱਕਣ	vikaɭe
ਇੱਕਤਰਿਤ	ikkatːɾet
ਇੱਕਦਮ	ækːɯ
ਇੱਕਰ	iːkːɾ
ਇੱਕਾ	ekːa
ਇੱਕਾ ਦੁੱਕਾ	ʔːkɑː dʊkˈka
ਇੱਕੀ	ekːi
ਇੱਕੋ	iko
ਇੱਕੋ ਇੱਕ	ikːoː˧ikːəʋ
ਇੱਕੋ ਜਿਹਾ	ʔikːoːdʒaː
ਇੱਕੋ-ਇੱਕ	ɪkːɯ̞ɪ̞kːʏ̞
ਇੱਕ੍ਹੀਂ	bikkĩŋ
ਇੱਕੜ ਦੁੱਕੜ	ɐɪkːɐɽ duːkːɾ
ਇੱਖ	k
ਇੱਖ ਪੀੜਨਾ	akabijrnɑ
ਇੱਛਕ	itʃak
ਇੱਛਤ	itʃet
ਇੱਛਾ	itʃa
ਇੱਛਾ ਕਰਨੀ	itʃɑː kɾeːɳeːn
ਇੱਛਾ ਰਹਿਤ	itʃaˈɾetːɔ
ਇੱਛਾਧਾਰੀ	ɛ̀ːtʃʰadɑːri
ਇੱਛਿਆ	pitʃa
ਇੱਜਤ	iget
ਇੱਜ਼ਤ	ɪzˈtɑʃ
ਇੱਜ਼ਤ ਅਫ਼ਜ਼ਾਈ ਕਰਨਾ	əzat əfˈðɑːji kɪnˈnɑ
ਇੱਜ਼ਤ ਕਰਨਾ	ɪ̞zzɪ̞t kɐrna
ਇੱਜ਼ਤ ਦਾ ਸਵਾਲ	ɪzˈtida sˈwaːl
ਇੱਜ਼ਤ ਲੁੱਟਣੀ	ɛzˈtˈ lutnjˈ
ਇੱਜ਼ਤਦਾਰ	ɪzːɛtːɑːr
ਇੱਜ਼ਤਦਾਰੀ	ɪzːɪtːɑːɾiː
ਇੱਜੜ	idʒaʁ
ਇੱਟ	ɛːtːɯ
ਇੱਟ ਖੜੱਕਾ	əʈːə kʰəɽkːqa
ਇੱਟ ਰੋੜਾ	ɐʈːɾoːɖɐ
ਇੱਟ ਵੱਟਾ	ɐʈːu ʋɐʈːaː
ਇੱਥੇ	ite
ਇੱਥੇ ਤੱਕ	eθa daqa
ਇੱਥੇ-ਉੱਥੇ	eittewtʰe
ਇੱਥੋਂ	etˈa
ਇੱਦਾਂ	edam
ਇੱਧਰ	etːere
ਇੱਧਰ-ਉੱਧਰ	ʏ̞dːærʏ̞ʏddɛr
ਇੱਲ	ɛlː
ਇੱਲ ਦਾ ਨਾਉਂ ਕੋਕੋ ਨਾ ਜਾਣਨਾ	əlɑdɑ naːoː koːkona dʒaːɳa
ਇੱਲਤ	aːllˈt
ਇੱਲਤ ਪੈਣੀ	ɪlːət pəːɳiː
ਇੱਲ੍ਹ	ɛlːɛ
ਈ	i˥˩
ਈ-ਮੇਲ	eˈmeːl
ਈਦ	id
ਈਨ	iːn
ਈਨ ਮੰਨਣੀ	t̪iːn mənːəɳiː
ਈਨ ਮੰਨਾਉਣੀ	iːn mˈanˈʔon
ਈਮਾਨ	imaːn
ਈਰਖਾ	irka
ਈਰਖਾ ਕਰਨੀ	əɑːr kʰɑː kɐɾɐniː
ਈਰਖਾ ਭਰਿਆ	ɪɾkʰɑː pəɾɐjɑ
ਈਰਖਾਲੂ	irˈkʰlˈu
ਈਰਾਨ	iːɾɑːn
ਈਰਾਨੀ	ʔɪɾɔnˈniː
ਈਸ	iːθ
ਈਸਟ ਇੰਡੀਆ ਕੰਪਨੀ	ist ɪndiə kˈʌmpnɪ
ਈਸਰ	iːθɚ
ਈਸਵੀ ਸੰਨ	ist̪v̞ ĩ z̺ɐn
ਈਸ਼ਰ	iʃɛr
ਈਸ਼ਵਰ	iːʃʋɐɾ
ਈਸ਼ਵਰਵਾਦ	əʃʋaːɾʋɑːt
ਈਸ਼ਵਰਵਾਦੀ	iːʃʋəɾʋɑːd̪iː
ਈਸ਼ਾਨ ਕੋਣ	kiːʃɑːn koːn
ਈਸ਼ਾਨ ਦਿਸ਼ਾ	iː ʃɑːn d̪ɪʃɑːr
ਈਸਾ	isˈa
ਈਸਾ ਪੂਰਵ	isapurow
ਈਸਾ ਮਸੀਹ	iːθɑːm θiː
ਈਸੜੂ	iːt˦tsɯːr˧
ਈੜੀ	iːriː
ਉਂਗਲ	ʁngɑ̃
ਉਂਗਲ਼	ʊŋgə
ਉਂਗਲ਼ੀਆਂ ਤੇ ਨਚਾਉਣਾ	t̪oːŋɖɪjɑː t̪eːnʲ tɕɑːʋɑː
ਉਂਗਲੀ	ʊŋgəli
ਉਂਗਲੀ ਫੜਨੀ	ʊŋgəˈli pʰəɽniː
ਉਂਘਲ਼ਾ	uŋɣ̞raaː
ਉਂਘਲ਼ਾਹਟ	unɣləˈʔət
ਉਂਘਲ਼ੇਟਾ	ŋgoːˈliːt̪taː
ਉਂਘਲਾਉਂਦਾ	unglɑnda
ਉਂਜ	onʤɯ
ਉਂਜ ਹੀ	kundʒəiː
ਉਂਞ	ɯndip
ਉਂਞ ਹੀ	wndʒii
ਉਂਨੇ	uːnˈniː
ਉਂਮਸ	ɔːməθ
ਉਆਂ	uˈɑ̃
ਉਕਤਾ ਜਾਣਾ	əktɑː dʒaːɳa
ਉਕਤਾ ਦੇਣਾ	aːktaaː diːɳa
ਉਕਤਾਉਣਾ	uptɒunˈniˈ
ਉਕਤਾਹਟ	ʔkt̪aːrɑt̪
ਉਕਤੀ	ogti
ਉਕਤੇਵਾਂ	puktejvɑ
ਉਕਰਾਂ	ukrˈaː
ਉਕਰਾਈ	pokraːiː
ਉਕਸਾਊ	tʃi
ਉਕਾਈ	pokaːiː
ਉਕਾਉਣਾ	oko˥˥na˥˩
ਉਕਾਬ	pˈɑːb
ਉਕਾਬੀ	ukapji
ਉਕੇਰਾ	ukera
ਉਕੜੂ	ukːrɯ
ਉਖਾੜ	ukˈaɾ
ਉਖਿਆਈ	ɔːkɛˈae
ਉਗਮਣਾ	okˌɑmɾˈa
ਉਗਰ	ogɑr
ਉਗਰਤਾ	ugɛrtæ
ਉਗਰਪੰਥੀ	ogɾpəɳt̪
ਉਗਰਵਾਦ	ugɐɾəwaadu
ਉਗਰਵਾਦੀ	ogrˈʋatˈi
ਉਗਰਾਹ	ˌugɹaɹ
ਉਗਰਾਹੀ	ugraːɦiː
ਉਗਰਾਹੁਣਾ	ugrau̯na
ਉਗਲ਼ੱਛ	oglatsʲm
ਉਗਵਾਈ	oˌgˌoˈaɪˌi
ਉਗਾਲ਼ਦਾਨ	ogɒˈɾˈldɒˈn
ਉਗਾਲ਼ੀ	əgɑːliː
ਉਗਾਹ	ʊgɑɾ
ਉਗਾਹੀ	ʊgːaː
ਉਗੇਲ਼	ogɛð
ਉਗੜ-ਦੁਗੜ	ʊgːɐɺdoːgɐɾ
ਉਘਾੜ	poˈgaːr
ਉਘਾੜਾਂਗੇ	ʊgɑɑɺɑːge
ਉਘੇੜ	toɣˌard
ਉਘੜ-ਦੁਘੜ	ugːɑːɖdugːɑːɾ
ਉਚਰ	eɣitʃoɾ
ਉਚਰਨਾ	utʃɑrna
ਉਚਰਿਤ	ojtɕiɾetl
ਉਚਾਟ	ʊtʃaːʈ
ਉਚਾਣ	ʊtʃəɳ
ਉਚਾਰ	ʊtʃə
ਉਚਾਰਤ	t̪oːtʃaːɾt̪
ਉਚਾਰਨ	utʃaɾən
ਉਚਾਰਨ ਢੰਗ	ʊtʃaɾan ʈaŋg
ਉਚਾਰਨਾ	aːtʃaħaɾna
ਉਚਾਵਾਂ	utʃaːmaː
