"сэ" жызыӏэ	sˈa ʒˈɛzˈa
дыщэ щӏыӏу	dˈɛstˈɛsˈtˈw
дыщэджэд	ðˈɵsˈɑdʒet
дыщэдзэ	diʃatʃe
дыщэплъ	dˈəʃˈɛpz
дыщэплъыфэ	dˈiʃapsˈifˈ
дыщэпс	dˈɛʃapz
дыщэпс егъэфэн	ðə ʃɛps jɛʁafɛn
дыщэпс хэгъэуэн	ðə zʃəps hˈɪrɛɔn
дыщэпскӏэ гъэщӏэрэщӏа дыжьын къамэ	tɪ̞ʃæps tʲɑχæ ʃɑɾaʃä dɪ̞ʒɪ̞nqämɯ̞
дыщэр дыщэ зыщӏыр пщӏэнтӏэпсщ	tɪ̞ʃːær dɪ̞ʃːɛ zɪ̞ tʃʊ̞rpʊ̞nː tɑpʂ
дыщэр зи бжаблэ и лейм йобэкӏ	dɪ̞ʃɪ̞r zipʃæ bɪ̞ðæj zæm jʊ̞b bʊ̞tʃ
дыщэр куэншыбым хэлъкӏи улъийркъым.	tɪ̞ʃɪ̞ɾɪ̞ kʰæːnʃɪ̞p ɢæɮ tɕiw̜ o̙χiːr ɪ̞m
дыщэр къыщыщӏахми щылъапӏэщ	tɪ̞ʃɪ̞r qɯ̞ʃɪ̞ʃ ɑhmʲi ʃɪ̞ʃɛɢɑ pɔ̙ʂ
дыщэр уэсу къесмэ, уасэ иӏэнтэкъым	dʏ̞ʂɫʲɑr wæsʊ̞ qæjsmæ wæsæ ɪ̞ʔɑntɯ̞ ɪ̞m
дыщӏэкӏынущ	dʊ̞sʊ̞rtʃɪ̞nʲɪɣ̞s
дэ	dˈa
дэбагъуэхэ я къуажэ	dabah ɣaha jɑquaʒ
дэбзыкӏын	tɛbzɪtʃin
дэбэкъуеин	dɑpbɑqlɑjɛn
дэбэнэн	dɛbɛnæn
дэбэч	dabɛtʃ
дэгу	dˈɛgum
дэгу зыщӏын	dʒʉzʊ̞n
дэгубзагуэ	dˈɐguːbzagwˈɛ
дэгузэвэн	dagˈuzavˈɒnˈ
дэгум жиӏэн егъуэт, нэфым игъуэтыр екъуз	dˈa gˈom ʒyˈʁɑn jˈaqwaːt nafəm jˈaqwaːt ljˈaaqaʒ
дэгум псори дэгу фӏощӏ	dɛ gumb sɔri dɛ gɔʃ
дэгум щхьэкӏэ гъуор лейуэ джэркъым	dæ kʏmʧ ahadtʃɛ χor jewɛ dʒɑr ɯ̞m
дэгушыӏэн	dˈɛgʊʃˈan
дэгуэн	dægwˈɛn
дэгуӏэн	dˈɑːgəlɑːn
дэгъуэ	dʌɦu
дэгъуэ дыдэ	dæɫ ʁɑdɪ̞ð dæ
дэгъуэлъхьэн	dɑgælħæn
дэгъуэтэн	dɒvɒtɒn
дэгъэгъукӏын	dahaqytʃim
дэгъэжын	daʁaʒˈin
дэгъэжыхьын	dagədʒˈham
дэгъэзеигъуэ	dɑɢɑzɛjɢo
дэгъэзеин	daʁɑzɛ
дэгъэзея	dɢɒze̞jæb
дэгъэкӏуэн	daɣakwɑn
дэгъэкӏын	dagadʒyn
дэгъэнэн	dˈɑˈʁanɛn
дэгъэпкӏэн	dɒɾɒptjɒˈn
дэгъэпщкӏуэн	daɣapskwɑn
дэгъэпщӏэн	dapʃoˈn
дэгъэткӏуэн	daʁatkwɑn
дэгъэувэн	dˈɑˈroːvɯn
дэгъэукӏуриен	dawokɔdiːjɛn
дэгъэукӏуриикӏын	dɐrɐɵɔɢɔriːn
дэгъэуфэрэкӏын	ðərauːfɑːrɛdʒɪn
дэгъэуэн	dagʁan
дэгъэхуэн	dˈˈʁafoˈnˈ
дэгъэхъуэн	dɑɣɑːkɔ̞n
дэгъэхьеин	daʁˈaħɑjˈin
дэдзеижын	dʲɛʲʂɪ̞ɴ
дэдзеин	dʒɛinst
дэдзыхыншагъэ	detsʲxɛnʃar
дэдзыхыншэу	tɨadzʲixnʲiʂau̯
дэдзэн	dɛzɑn
дэдэн	dɛden
дэжеин	dʒaŋˈ
дэжей	taʒˈej
дэжын	dˈɛʒyn
дэжыхьын	dgħæn
дэжьеин	dʒeimˈ
дэжьей	tˈɑʒˈeɪ
дэжьей баш	dʒbʃ
дэжьейӏэрысэ	dæʒæjɛrɪ̞sæ
дэзекӏуэкӏэ	tʲɛʲzʲekuaɪ̯tʃɪ
дэзекӏуэн	dɛzɨqwɛn
дэзэрыгуэн	dæzærjʁwˈɛn
дэзэрыхьын	dizɾˈħɑːn
дэзэрышеин	dezreʃaːjin
дэзэрышэхын	dæzrʲiːʃæhɪ̞n
дэзэшыхьын	duzˈðʃexˈhɪn
дэку	dɛk
дэкуэн	dækʊin
дэкъузэн	dæˈqɯzæn
дэкъуэн	dɑqwɑn
дэкӏеин	dætʃʰiʕin
дэкӏуашэ	dekuaʃ
дэкӏуеин	dˈɐqeɪn
дэкӏуэгъуэ	dˈɛkwawɔˈa
дэкӏуэн	tækwæn
дэкӏуэтэн	dakwatɛn
дэкӏуэу	dˌɛkwˈaʊ
дэкӏуэщын	tækwæsɵn
дэкӏуэщэн	ð̞ekues̺en
дэкӏыжын	dɒtyʒyn
дэкӏын	dætʃyn
дэкӏыпӏэ	dʒəˈʔupˈɑl
дэкӏэн	dedʒœn
дэлъапсэщӏэкӏ	dˈɛsjasˈaʒˈɛtʃ
дэлът	dɛlt
дэлъху	dælʲs
дэлъху щӏын	dæsç tʃuŋ
дэлъхьэн	dælħæn
дэлъын	dæɕin
дэлъэтеин	dæstæjɪ̞n
дэлъэфеин	dæ̹lfʲeʲin
дэлъэфэн	tæʃæfɛn
дэлэл	dɛzɛʃ
дэмыпсэужын	dæmɪ̞psɑwʒyn
дэн	den
дэни	læni
дэни дыщыӏащ	deni dɪˈʃi ɑʃ
дэнкӏэ	dɒndʒɒ
дэнэ	dænæ
дэнэ къыщыпщтар?	dænæ ɢɯ̞ʂɯ̞p ʃtär
дэнэ уздэкӏуэдыр?	tænæus dækwædɪ̞r
дэнэ уздэщыӏэр?	tɛnɛuz dɛ ʃʏ̞ɛr
дэнэ укӏуэда?	dænæw kɔtɛ
дэнэ ущыпсэур?	tɛnɛwɨʃɨp sɔr
дэнэ ущыщ?	dænæ ʏ̞sʏ̞s
дэнэ ущыӏэ?	dænæu ʃuː æ
дэнэ щыщ?	dænæsʲɪs
дэнэн	dænæn
дэпкъ	dˈɑ
дэпкӏеин	dæptʃiːn
дэпкӏын	dæptʃɪ̞n
дэпкӏэ	tep-tʃø
дэпкӏэн	dæptʃiːn
дэплъеин	dɑpʃejiːn
дэплъын	dɛpsɪ̞n
дэплъыпӏэ	dæpsʲɪpɑ
дэплъэн	dæpsæn
дэпсэун	dæpsæɵɪ̞n
дэпхъэн	dapˈxan
дэпхэн	dæpχæn
дэпщеин	dæpʃejiːn
дэпщхьэн	tɑtˤʃˤaħˤan
дэпщын	dæpsʏ̞n
дэпщыпӏэ	tɛpsypɑ
дэпӏытӏэн	dæpʊtɑn
дэс	dˈɛs
дэсын	dæsɪ̞n
дэсэн	dæsæn
дэт	dæt
дэтхалъэ	dˈʌtxaʃa
дэтхэн	dætχæn
дэтхэнэ	tɛthanɛ
дэтхэнэри мамыр гъащӏэ фыщимыгъащӏэкӏэ!	də tixɔŋeɾi mɛmirgɑwɛsof ʃimuʁɑw ʒodʒə
дэтын	dɑtɪ̞n
дэтӏысхьэн	dɑtˤʰɑsˤħn
дэубгъуэн	dɔbʁɔn
дэублэн	dæubʒæn
дэубыдэн	dæwbɪ̞ðːæn
дэубыкӏын	dæwbʏ̞tʏ̞n
дэудын	dæwdɪ̞n
дэудэн	dæwɨtæn
дэукӏуриен	d̪eokulian
дэукӏын	dæwʲtɕʏ̞n
дэупкӏын	dæwptʃɵn
дэупсеин	dæwpsæjɪ̞n
дэупщӏэн	dau̯psɵn
дэутхэн	dəojtχən
дэуфӏеихьын	dafahjɑħɑn
дэуэхын	dæwæxɪ̞n
дэфэхъуеин	dˈafˈxˈhˈajin
дэфэхъуэн	dafæxˈwan
дэхузэн	daffɛsˈan
дэхун	dafɣɛn
дэхуэн	daxoˈn
дэхуэрзэн	dæfɑrzæn
дэхуэха	dɛufɔxˈa
дэхъун	daxun
дэхъуэн	dæˈhwan
дэхыжын	daxʊ̞ʒɵn
дэхын	dæxɪ̞n
дэхьеин	daħæm
дэхьэжын	dˈæħjɪn
дэхьэн	dˈɑsˈn
дэхьэпӏэ	dˈɑħabqa
дэхьэхын	dħæxæn
дэхьэшхын	daħɑʃkɛn
дэхьэшхэн	dħæʃxɑn
дэцӏыкӏу	dɛtsɨk
дэцӏэлэн	tɛtsʲɑtʃan
дэчын	dætʃɪ̞n
дэшеин	tˈɪʃʃaɪn
дэшхуей	ðɪʃkweɪ
дэшхуейурэ си пхъэ вакъитӏым сынырокӏуэ.	dæʃχoiwra si pʰahabqijtam sˈnˈdʁokwɑ
дэшхуэ	dæʃxɔ
дэшхуэджыг	dˈɛʃkˈudˈiʒ
дэшхэн	dæʃχæn
дэшын	dæʃɪ̞n
дэшыӏэн	dæʃææn
дэшэн	dæʃæn
дэшэхын	dæʂæxɪ̞n
дэщтэн	dæʃtæn
дэщхьэхын	dælˈsçɪn
дэщэщэн	dæstæʃæn
дэщӏыхьын	dæzˈħæn
дэщӏэ	dˈɛzwˈɑ
дэщӏэн	dɒzɒn
дэӏун	dæʏ̞n
дэӏуэн	dæɵn
дэӏуэнтӏэхын	dæɑntɑxɯ̞n
дэӏэбеин	dˈæɪbeːˈʔiːn
дэӏэбыкӏын	dɑʔabɑtʃɪ̞n
дэӏэбэн	dɑɑbɑn
дэӏэпыкъун	dpqon
дэӏэпыкъуэгъу	dʒˈɑsapəqaːɣ
дэӏэтеин	dˈæˈteˈn
е	d̪e
е вындыжь хэшэнщ, е жьуджалэ хэшэнщ	jæw iŋdɪz χɛʃɛns jɑ zudʒɑʎɑ χɛʃɛns
е зигу илъ	jæzʲi kʏlʲ
е зыхэлъыр хьэгъуэлӏыгъуэм мэятэ	æzɪ̞χæe̞ɮɪ̞r häɢɞ̙ɮʊ̞ɢɔ̙ɔ̙m mæjætɪ̞
е махъшэ лӏэнщ, е махъшахъуэ лӏэнщ	jɑmɑhʃɑ sɑˈnʃʰ jɑmɑhʃɑ ɑχuːs ɑˈnʃʰ
еба	jæbæ
ебгъуанэ	jˈɒˈbˈʁˈɒnˈə
ебгъэ	ɪabˈra
ебгын	jæbɢʏ̞n
ебгынэ	jæbgʲɪnæ
ебгынэж	jˈɛblgɛnˈɛʒ
ебдз	jɛbiz
ебж	jˈab
ебз	ʁabθ
ебзеин	æbzæ̹iːn
ебзей	jæbzʲe
ебзыщӏ	jɑbɯzʏz
ебиин	jæbʲiːn
ебланэ	jɛbˈzianˈ
еблэ	jebzi
еблэгъэн	jæbʲtsæʁæn
ебэкъуэн	jæbʲɑqwɑn
ебэкӏын	jæbʊ̞tʃɪ̞n
ебэн	jæbæn
ебэнын	jæbænɪ̞n
ебэун	jæbɪ̞uɪ̞n
евмыт	jævmæt
евмыту здэнукъым.	ja vmɛtws dˈɛnˈaːm
егиин	jˈɑːgɪˌən
егугъу	jeguʁ
егугъун	iˈɛːgʊɹvˈn
егулӏын	jægʏ̞sʏ̞n
егуоун	jægɫɯ̞n
егупсысауэ	iɢupsisɑɫɐ
егупсысыжын	jˈagzˈɛstsˈeʒˈyɲ
егупсысын	jæʁʏpsɛsɛŋ
егуэкӏуащ	dʒaglkwas
егуэуэн	jægwæwɑn
егъазэ	dˈiʁʁˈaz
егъакӏуэ	ðæˈrɑʊkwɯ̞
егъашхэ	jɐʁaʃqɐ
егъащӏэрей	iaχasuaˈliː
егъуэт	ɑˈʁɑt
егъэблэгъэн	jɑʁɑbzaqaːn
егъэбэн	jˈæˈʁæbæn
егъэгупсысын	jæʁɑgwpsisɛn
егъэгъуэтын	gɑʁɑgwɑtˈɛŋ
егъэгъэщӏэгъуэн	jæʁægɑsɑˈgɑn
егъэджакӏуэ	ɣ̞adʒaakwa
егъэджакӏуэр бзагуэщ, еджакӏуэр дэгущ	ja ɣadʒaːkwr bizaːgwʃ ja dʒaːkwr dʒgwʃ
егъэджэн	iaːrðʒæn
егъэджэным	aʁɑdʒenim
егъэдыхьэшх	jaːɢætħæʃx
егъэжьапӏэ	jaɣadʒɑp
егъэжьэжын	iaʁasagɛ̃nˈ
егъэжьэн	iaːˈʁadʒɑn
егъэзыгъэкӏэ	jæʁæziʁɑdʒɑ
егъэзын	jɑrɑzɯm
егъэзыпӏэ	iaʁasˈepˈɛʁ
егъэзыха	iːaʁaziːxa
егъэзыхауэ	jaˈgɑzixaˈwa
егъэзыхыгъуэ	jɑɢɑzɯkˈɯgɯ
егъэзэгъын	jæʁæzɑʁɯ̞n
егъэзэуэн	jaɣazæwæn
егъэзэшын	iaʁaseseim
егъэкъун	jɑɣɑqyn
егъэкӏун	iːæɢæe̞kyn
егъэкӏуэкӏын	jaʁakwatˈi
егъэкӏуэтэлӏэн	jærakwætˈhæzɑn
егъэлеикӏын	jɑʁɑdʒeʁitʃyn
егъэлеин	jæʁɛjlejin
егъэлеищауэ	jaχɛllɛjsau̯ɯ
егъэлеищэн	ʁalˈeʁˈˈɑn
егъэлеяуэ	iɣɑnɪjɑwɑ
егъэлеяуэ жьапщэщ	jaɣoziʝaːvazapʂas
егъэлъагъун	jɑʁɑsɑgɵn
егъэлъеиж	ˈaʁəsˈɛstˈ
егъэлэлэхын	jæʁæzæjzæhɪ̞n
егъэмащӏэ	jeɣɑsɑrˈsɛ
егъэмысэ	jæʁæmɪ̞sæ
егъэпшынын	jæʁæpʃønæn
егъэпшынэ	jaʁɑpʃˈynə
егъэпщэн	jɑrɑpʃɑn
егъэпщӏын	jɑrɑpsɵn
егъэсэн	dˈɑsˈn
егъэтхьэлэн	jæɢætχɑʃɑn
егъэтын	ɑgɑtɪ̞ŋ
егъэтӏылъ	jɑgɑtɯ̞θ
егъэтӏылъэкӏын	jæɢætʃɛdʒɛn
егъэтӏылъэхын	jɑʁɑpɪ̞ʃɛhɪ̞n
егъэтӏыс	hijɑʁɑtsɯ̞s
егъэтӏысылӏэн	jaɢatɯ̞sɯ̞pɑn
егъэубыдылӏа	jɑrɑuːbɯ̞tʲɪsɑ
егъэувэлӏэн	ɟakvasaːn
егъэувэхын	järäuvɯ̞hɯ̞n
егъэукӏуриехын	jɑʁɑɵkɵrjækɪ̞n
егъэукӏуриилӏэн	ɢäɢrɪw̜ɪn
егъэуэлӏэн	jɑhɑwɑsˈn
егъэуэн	ʁauɑn
егъэфэн	iaħafæn
егъэхуэхын	jæʁæfˈɑqɯˈn
егъэхъулӏэн	jæʁɑχʊ̞zɫɑn
егъэхьын	jɑɣæħæn
егъэщӏын	jæʁäːsun
егъэщӏыпӏэ	jɑχɑsupːɑ
егъэщӏэн	jæʁaʃqɑn
едауэ	jædaʋɛ
еджа	ɪ̞gæ
еджагъафэ	ɛtjˈəʁafˈ
еджагъэшхуэ	jedʒaːxæʃxoːˈʃ
еджакӏуэ	jɑdʒɑːkʋɑ
еджапӏэ	ɪˈɛgeˈapɑ
еджапӏэм	jædʒːɑːpɔm
еджапӏэм кӏуэн	ɪˈʒaːpɑ mkoɑn
еджэ	edʒi
еджэгъуэ	jedʒɑʁu
еджэгъуэр	jedʒɑːr
еджэжын	iladʒøʒyn
еджэкӏэ	jædʒɒtʃɒ
еджэн	jækɛn
еджэныгъэ	jedʒənɪgɑ
еджэцӏэ	ɪ̞jɪ̞dʒɛtfɑ
еджэщ	jɛdʒɛs
едзыгъуитӏ	etˈtsˈˈeˈʁˈʊt
едзыгъуэ	jɒtzɒˈgɒˈ
едзылӏэн	jæzʲæsɑn
едзын	jæðˈzʲin
едзыхын	jɛ̀dzɪ̞xɪ̞n
едзэгъун	jˈɛtzɑʁˈin
едзэкъэн	jət̪zəɾtan˧
едзэкӏ	jæzʃæk
едзэкӏа	jetʃetʃɑ
едзэкӏын	jɛtzætʃyn
едыгъуэн	jˈədˈiʁˈɔn
едэуэн	jædæwɛn
ежьу	dˌiːzə
ежьужьудз	jezuzʋuz
ежьэжын	jæzætʃyn
ежьэн	dˈiːsən
ежэжьэн	eʁøzøn
ежэн	læʒæn
ежэхын	jæzʲɪkʲɪn
езгъэлъагъун	iːzraːʃjaɣun
езы	jɛzi
езым	jyːzɪm
езыр-езыр	jæzʲɪrjæzʲɪr
езыр-езыру	jæzʲɪrjæzʲɪru
езэгъын	jæzæʁɯ̞n
езэуэн	jæzwæn
езэша	jɛzɛʃæ
езэшыжын	hæzæxdʒʌn
езэшын	jæzæʃɪ̞n
езэшыр пшынэ йоуэ	jæzæʃʲɪr pʃʲinæ jɔʋɪ̞
еигъэ цӏэпапщӏэ	jɛjɛrbɛs ɑpapʃo
ейр	jeɾ
екун	jækʏ̞n
екхъу	lˈɛkk
екъузылӏэн	jɑqozuzɑn
екъузэкӏауэ	jaquzɑdʒɑwu
екъузэкӏын	jɑquzɑdʒyn
екъун	jæqyn
екъупӏэ	jɑqupːɑ
екъуфын	jæqof̞ɨn
екӏапцӏей	jætɕɛtsɪ
екӏапцӏэ	jætɕiɑptsɯ
екӏужын	ʁakujˈyn
екӏун	jækɫ
екӏуу	ɛkːu
екӏуэкӏа	jæk˨wa˧˧tɕ˥a˥˧
екӏуэлӏапӏэ	jakbwɛtpɑpɔ
екӏуэлӏэкӏэ	jækwæsɑjtʃø
екӏуэлӏэн	ɟakuaːn
екӏуэтылӏэн	jækwɑthɪ̞sɑn
екӏуэщэн	kækˈlˈɑsæˈn
екӏэпцӏей	jɑtʃɛptsɛ
екӏэпцӏэ	ɪ̞jɪ̞ʃɪ̞ptsʊ̞
елдар	æ̹ldær
елеуррэ абисалрэ	jɪlɪwrɯ aːbisaːre
елъыхъуей	jɛʂtʃɛːgwɛ
елъэн	jæsæn
елъэсэхын	jɛsæsækʲɪn
елъэтэхын	jæʃætɛkɪ̞n
елъэфылӏэн	jæʃæfɦɑsˈqɑn
елъэфэжьэн	ʃaːfajʔan
елъэфэлӏэн	ɪ̞ʃɛɪ̞sʔɑn
елъэфэхын	jæʃæfækɪ̞n
елъэщэкӏын	jæʃæʃætʃɪ̞n
елъэӏун	jæsæʏ̞n
елыркъэш	jæzɪ̞rqɑʂ
елэ	jæsæ
елэжьын	jæzæʒɪn
елэн	jælɛn
ем «сынокӏуэ» жиӏэркъым	jæm snɒwˈ kvɒˈ ʒuˈ jɒɾim
ем щыгъуэ бжьэдыгъухэр зэшщ.	jæm sɔʁɑ bɛzadɛʁ hær zæʃ
емыгугъуу	jemɣuɣu
емыгупсысыжу	jˈəmˈə-gupsəsˈeʒˈuʁ
емыджа	jamɨdʒa
емыжьэхауэ	dʒemʃaxˈaːvɯ
емыкӏу	jamk
емыкӏу зекӏуэкӏэ	jɛmɛ kʏsɛj qɑjɑq
емыкӏу зытемыгъэхуэн	jæmɯ̞ kʏðɪ̞ tʲeɢi̠ mʊ̞ʁɑwɑjɯ̞n
емыкӏу къегъэхьын	jamatq raħn
емыкӏу къихьащ	jæmɑq haʃ
емыкӏу къытехуэн	jæmɪ̞k ʊ̞tɪ̞fɛn
емыкӏу къэхьын	jomakaaħa
емыкӏу лъэгъун	jɛmɪ̞ kɵθæʁɵn
емыкӏу хуэщӏын	jæmɪ̞ kʊ̞fæʃɯ̞n
емыкӏу щӏын	jæmɯ̞ kʏsɫɯ̞n
емыкӏукъэ?	jæmækæ
емыкӏуэлӏэну къыжраӏащ	jɛmɪ̞kwɛz ɑnɯ̞q ɪ̞ʒɾaː ɑs
емылъытауэ	jˈɑmɪsjˈutːaːvˈ
емылыдж	jæmʲiʃ
емынэ	jæmɪ̞næ
емынэжь	ʒˈə-mɛnəʒ
емынэм ихь	jæm ne jæh
емынэм къелар хъумбылейм ехьыж.	jæmɪ̞næm qɛjðär χɵm pɪ̞zɪ̞m jæhʲɪʒ
емынэм укъихуа?	jæmɪ̞næm ʊ̞qɯ̞jhɑ
емынэу	jɛmmiːnnæw
емыувэлӏэн	jemuvɛrse
ентӏыр	jɛntɪ̞r
еныкъуэкъун	jænɯ̞qɑqũn
енэб	iːnˈb
енэгуеигъуэ	ianakʰai
енэгуеин	nˈnˈɑgyn
енэкӏэуэн	jænʲɛdʒʌwɛn
енэпэфэуэн	jænæpːaːfwn
енэцӏын	jænɛtsɨŋ
епкӏэн	jæpʃørn
еплъ	jˈɛps
еплъыгъуэ	japsʲoɣa
еплъыкӏэ	jæpʃɪtʃø
еплъын	jæpʃɪ̞n
еплъыхын	jɑpɑχixɪ̞n
еплъэкӏуэн	jæpʃaqwan
еплӏанэ	jˈɑːbslˈaːnə
епсалъэ	jæp̚sæːʃɪ̞
епсых	jɛpsɨx
епсыхын	æpsæçɪ̞n
епсэлъыхъуэн	jæpsæʃæχwɑn
епсэлъэн	jæpsæɕæn
епха	jɛpχɑ
епхауэ	jakxaˈuɯ
епхъуэн	jepʁˈɔn
епхын	jæpxɵn
епщыкӏубланэ лӏэщӏыгъуэ	ja pʃɪkʊpʲˈjana sɑ ʒɔɫɑ
епщылӏэн	jæpʃɪ̞ðɑn
епщыхын	jæpɕiχɪ̞n
епщэбэуэн	jæpʃabɨwɪ̞n
епщэн	jæpʃɛn
епщэнкӏэ	jæpʃænʲtʂø
епщэудз	jɛpʃawɨdz
епщӏанэ	jɒpzoɾnɒ
епщӏылӏэн	gɛpzussɑn
епщӏын	jæpˈsʏn
епыджын	jæpʲɪdʒyn
епэгъуэгъуэхын	jæpæqɑwaɦɯ̞n
епэгэкӏын	jæpʲɪgʲɪdʒʏ̞n
епэм	jæpæm
епэмын	jæpɛmɪ̞n
епэр	ɪ̞pɪ̞ɾ
епэрудз	jæpɾʊ̞wɪ̞ð
епэщӏэуэн	æpæʃɫæwn
епӏэскӏун	japas̺kɵn
епӏэстхъын	jɑpɑstqən
ер	jɛr
ер вы бжьакъуэм къокӏ	jer ðebʒaːqum qotʃ
ерагъ	ɪˈɾar
ермэлы	jɛrmɛʑɪ̞
ермэлыхьэблэ	jærmæsʲɪχæbʲi
ермэлыхэр зыдэс къуажэ	jɛrmæsɪ̞ hɑrz ðɛs qɑɑjʒɯ̞
ерокъуэ	gəɾɑqbɑːr
еру	jˈɛrʊ
ерыскъыр	jɛrɪ̞sqɯ̞r
ерыщ	ɪ̞jɪ̞rʊ̞ʂ
ерыщагъ	jæɾʃɑʁ
ерыщыр щыту малӏэ	jɪ̞ɾɪ̞ʃɪ̞r ʃʊ̞ tʏmäzɫɯ̞
ес	jˈɛs
есагъэжь	jesɑɣəʒ
естынукъым	jæstɪ̞nɪ̞ũ˥ən
есурэ	æsʏ̞rɛ
есыкӏэ умыщӏэмэ, ӏупщӏа псыми уитхьэлэжынщ	jæsætʃɑwɯmɪz rɑmɑ ʔubzɑp simɨ uʔitɑhællɛrʒɨmiz
есын	jæsæn
есэжын	iˈesˈaʒˈyn
есэн	jæsæn
есэнтӏыгу	jɛstantʃiq
есэп	jæsæp
ету	jæˈtuː
ету зытедза	ja tɔz tæˈdˈsˈa
ету тедзапӏэ	jˈə tˈoː tˈɛdʒad pˈˈɑ
ету тедзэн	je to tʰeˈzæn
етурэ	jatoɾəjatoɾə
етхуанэ	jˈatwˈaːn
етхъулӏэн	jætxʊ̞zɑn
етхъухын	jˈətrˈolkɛn
етхьэусыхылӏэн	jatahusxɑsˈrɑn
етыжын	ˈɛtʁdˈiʒˈɛn
етын	jætɪ̞n
етэн	jætæn
етӏанэгъэ	jɛtɑnɑʁɑ
етӏуанэ	jætwɑn
етӏысылӏэн	jtʃtʃɔ̙tlɑn
етӏысэкӏын	itɯ̞sɑtʃɛn
етӏысэхауэ	jatakseˈxaɫo
етӏысэхащ	ˈjatˈɪsˈoχɑʃ
етӏысэхын	jətəsɛxɪ̞n
етӏэкъуэ	jatɛqo
етӏэхъун	jətɪ̞gχʊ̞n
еуб	ʝˈɛvən
еубзэн	jæv̞uːbzæn
еубыд	ʝˈɛˈʌb
еубыдыр	jɑwβidiɾ
еубыр	jɛʏɪ̞bjɑʏ
еубэрэжь	ʝˈaubˈaɾaʒ
еувэкӏын	juɔˈtn
еувэлӏэжын	jɯɬfätlɑʒɯn
еувэлӏэн	jɯvːatlɑn
еудзэгу	jaudsəˈgu
еудыхын	jɪ̞ʊ̞tɪ̞xɪ̞ŋ
еудэкӏын	newdʒtm
еужьэрэкӏ	juʒaɾetʃ
еукъуэдий	jɑwħwɑdʲi
еупсеин	jɛʋɪ̞psʲæjɪ̞n
еупцӏын	jɯptsɯŋ
еупщӏыжын	jixtsvʲaʐɨn
еупщӏын	ɪ̞ʊ̞pzʊ̞m
еупщӏэтэхын	ɪ̞wʊ̞psʊ̞tʊ̞hɯ̞n
еупӏэпӏ	ljopap
еус	ʝˈauː
еусыр	jɛwɪ̞sr
еутхын	jɯ̞uːtkɯ̞n
еутхыпщӏ	jɑʏtχɪ̞ps
еутӏыпщауэ	nʲau̯tʊpɕaoɫɯ
еутӏыпщын	jevtɔpʃim
еущиен	juˈʃiˈjæn
еущын	juʃən
еуэ	jɛuɛ
еуэжын	ʁauaʒyn
еуэкӏэ	jɒvɒtʃi
еуэлӏэн	jɑwɑzɑn
еуэн	ɪ̞ɒuɪ̞n
еуэхын	jæwɑχɯ̞n
ефа	jæfæt
ефакӏуэ	ifakwa
ефапӏэ	jafapo
ефащ	ɛfæʃ
ефиин	jæfːiːn
ефт	jɛft
ефыгъуэн	dˌiːzəfɛʁˈɔn
ефэн	jæfæn
ефэн щыгъэт	jˈafˈn ʃaˈgˈt
ефэнды	jæfændi
ефэндыр	jæfæntɪ̞r
ефэрей	jæfæɾe
ефэхъуэхын	jæfæχɑχɯ̞n
еханэ	jɑhɑnɯ
еханэ лӏэщӏыгъуэм лъандэрэ	jɛχxɛrnɨz ɑʃɑʁɑm ʃɛndiri
ехмэ, ӏэпэ залэщ, къелыжмэ, ныбжьрей хъуэнщ	jækmæ apɑza dʒɑsqeʃi dʒʲmɑn apsɾiːja xwams
еху	ef
ехужьэн	jˈˈɛxʊdʒˈan
ехузылӏэн	jɒχuzytlɒn
ехухын	jæχuχɛŋ
ехуэхыгъуэ	jæfahɪ̞ʁɑ
ехуэхын	jæχäːhɯ̞n
ехъуар	jɑxˈvɑr
ехъулӏэн	jæxˈnɑn
ехъулӏэныгъэ	jɑχo̞sɑnɯ̞ʁɑ
ехъумпӏын	jahumpɯn
ехъумэ	jɑχumɑ
ехъуэн	jexɑn
ехъуэнын	jæxʊ̞nnæn
ехъуэпсащ	jɒːbsɛʃ
ехъуэпсэн	jɒqɒbsɒˈn
ехъуэхъун	jæqqoχuːn
ехыгъуэ	jæχæɢwˈ
ехын	jɛχɪ̞n
ехыпӏэ	jɐxɪpːa
ехь	jæ
ехьч	ɪˈɑht
ехьэжьэн	jæħːadʒan
ехьэлӏа	ɪ̞ˈʃɪtˤɑːh
ехьэлӏауэ	jaħadˈʔɑwɑ
ехьэлӏэн	ænħɑsˈɑn
ехьэхын	jæħːæːxan
ечэнджэщын	jɛ˨˩˦tɕʰɥœn˧˥
еша	jæʃæ
ешкӏурэхын	æʃkʏraxɪ̞n
ешх	ʃo
ешхэ-ефэ	æʃχæjæfːæ
ешхэ-ефэ нэхърэ джэгу	jaʃ xajaf nuxre dʒɑgu
ешыхьэкӏын	jæʃaħaːʒan
ешэ	æʃæ
ешэкӏын	jæʂædʒyn
ешэлӏэн	jæʃhæsɑn
ешэхауэ	jaʃaxˈavɑ
ешэхын	jæʃˈɛçˈinˈ
ещанэ	irʃaːnɛ
ещанэм	jæʃɑnæm
ещхь	jˈɛʃ
ещхькъым	ɪˈʃæm
ещхьу	jæʃħoː
ещэкӏуэн	iˈeɪsɪkwˌaɪn
ещэн	jæʃæːn
ещэрт	jæʃærθ
ещӏ	jes
ещӏыбэуэн	jaʃukɐwɑjn
еӏ	jˈɛt
