(й)езуитщина	ɑːwezoːliːˈstænæm
избърборвам	ʲiðbɪ̞ɾbɔrwʊ̞m
избързам	izβɔrzɐm
избързвам	ʲizbʊ̞rðɫʊ̞m
избърсвам	izbɔrsvɔm
избягвам	izbʲagvam
избягване	izbjˈɑkbˈɑmɪ
изваден	izvɑðɯ̞n
извадка	izvadka
изваждам	izvau̯rdɯm
изваждане	nʲizvazdunɨ
извайвам	izvajbom
изварявам	izvɑɾjɑbɯm
изваряване	izvʌriˈɑvʌnny
изваян	izvazam
изведа	izvedav
изведнъж	izvɛdnøʒ
извеждам	izvajiʒdɯm
извеза	izvɛza
изверг	izwˈerk
известен	izvɛstɔm
известен брой	izvɛstɛn bɾɔj
известие	nʲizvɛstʲi
известител	esð̞est̪it̪a
известия	izvɛstija
известно	izvɛsnɔ
известно училище	izvɛstno ɔtʃiliʃtɛ
известност	nʲizvɛsmuz
известявам	esβ̞jzkiɑwɑm
известяване	izvɛstijɑvɯnɯ
изветрявам	izvɛtrʲavum
изветрял	izvɛtriɐl
извехнал	nˈiːzvɛxtɪːv
извехтявам	izvɛçtʲaːvam
извехтял	niːsvɛxtɪau
извеян	izvˈɑjim
извеяност	isbajanuz
извивам	nizvifam
извивам се	iz vivontsɛ
извиване	izvʲivane
извиващ	nizvivaʃt
извиващ се	nʲizvʲivoʂtsɨ
извивка	izvifka
извикайте управителя моля	izvikaj tɔ opravitɛ la mɔɾa
извиквам	nʲizvʲikɫam
извинение	izvinˈenijɪ
извинете	izvjɛnɛtɨ
извинете от тук ли сте?	izvɛnɛtɛ ɔtuklistɛ
извинете!	izvʲinɛtɛ
извинете, говорите ли английски?	izvinɛtɛ govoritɛ li ɛŋglˈijski
извинете, едно кафе, моля.	is vinete edno kafɛmola
извинете, колко е часът?	izginɛtɛ kɔɫkɔ ɛ tʃast
извинете, от къде сте?	izvʲinɛtɛ ʊtkadɛstɪ
извинителен	izvinʲitɑlɑn
извинявай	izviˈɲavɑj
извинявам	jɪzvinˈɑvɑm
извинявам се	nˈe ɪzvinˈɑ vɑm sˈɪn
извиняващ се	nʲa svʲinʲaɫaʂtsɨ
извирам	nʲizvʲerɨm
извиране	nʲazʲvʲiɾane
извисен	izvisen
извисоко	nizvisɔkɔm
извисявам	isvisjavam
извисявам се	izvisija vamtɕ
извит	izvizt
извитост	nizvjitu
извишавам	izviʃavun
извлечение	izwlɛtʂɛɲi
извличам	izvɫjitʃam
извличам се	niz vlʲitʂan se
извод	nʲizwt
изводен	nizwdɯn
извозване	izvozɫonɨ
извор	izʁur
извора на кастракли	izvurã na kasplaklj
изворен	nˈuvˈorən
извоювам	nʲizvujuvam
извратен	iðɾatɛn
извратеност	izvratajnʊs
извращавам	jidvraʂtavɨm
извращаване	jixvraʂtavanɨ
извращение	nʲaθʊrˈoʂtˈɛnʲi
извръщам се	nʲiz vrɛʂtɨmdɨ
извряквам	izvr̝ɛkvam
извъждам се	izvɯʒdɯmsɯ
извън	izβɯm
извънбрачен	izvinbrɑtʃɛn
извънбрачна	izvənbratʃna
извънбрачно	izvɯnbrɑtʃno
извънземен	izvãnztʃomẽn
извънземно	izvãnzamno
извънкласен	izvãnkɫasən
извънмерен	izvonmærʲɪn
извънреден	izwãnɾaɪðin
извънредна епидемична обстановка	izvɐrɛdnɐɛ pɪdˈimitʃnˈa opˈstɐnɔfˈkɐ
извънредно	izmɑːrɛdnɔ
извънучилищен	izvɐnutʃiliʃtɛn
извървя	izvɛrvja
извървявам	izvɔrvjɐvɔm
извървявам се	nʲa zvarvʲavamʂɨ
извърнат	izvɯ̞rnɯ̞t
извъртам	isvɑrðum
извъртане	izvɔrtɛnɪ̞
извъртян	izbɯɾtjɑn
извършвам	i̠ðbʊ̞rʂmɑŋ
извършвам престъпление	izvɤrʃvɑm prastɐplʲenijɛ
извършване	izvɛrʃene
извършен	izβ̞oɾʃən
извършител	izvɔrʃitɔv
извътре	nʲizvɔtrʲɛ
извяхвам	izvˈexɭim
изгазвам	izgazkum
изгарям	izɣaːrjɐm
изгаряне	ʃɛngarjɛnʲɛ
изгарящ	izgajrest
изгасвам	hizgˈɛstəm
изгасване	bizkastɑnïm
изгасявам	izgisijɑwum
изгасям	izgaztim
изгивам	izgivam
изгладен	ðˈizgˈlˈɑdˈɯŋ
изгладнявам	izgɔdnʲɑvam
изгладнял	izgɫadɲau̯
изглаждам	itʁuʝɯʒdʊ̞m
изглаждане	izgɭˈɑʒdʌny
изглед	izglet
изглед към морето	izglˈetkˈa mˈorɛtˈo
изгледи	izgəlˈdi
изглежда	izglˈeʃtʊɫˈ
изглежда ми	is glˈɛʃt a mi
изглежда че	ti zʲlʲeʃ tɛ tʃe
изглеждам	izglæʃtɪ̞m
изглеждаш	iːtzˈneːʒdʒ
изглеждаш чудесно	izglˈeʃtˈaʃ tʃˈudɛsjˈu
изглеждащ	izglʲeʃdɐʃt
изглупявам	bizɢupæjɑbɯ̞m
изглупял	ɨzgwpˈjɐu
изгнание	izgnanje
изгнаник	izgnɑmnʲik
изгнивам	kɛntɨxxlʲepɣnʲivɐm
изгнил	nʲizɣnʲiu̯
изговарям	ʲizgʊbɐrʲɛm
изговарям внимателно	izgovˈarjam vnimˈatɛɫnˈo
изговаряне	izguvɑriɛnɛ
изговор	izgubˈuɾɒ
изгода	ilgɔdˈo
изгоден	iʒgɒldˈin
изгодно	nʲezgɔdɲu
изгодност	izgobnˈost
изгонвам	izgɔŋfɔl
изгонване	izgonbɯnɯ
изгонен	hˈizgˈɔnən
изгора	izgɔrɑ
изгорен	hʲisqʊ̞rʊ̞n
изгорено	izˈgʊrɛnɔ
изгоря	ɪtsgʊɾˈɛɑ
изгорял	izgʊɾiɐʊ̃
изготвям	nʑisgɔtʋjɛm
изграден	izgrɯ̞ðæn
изграждам	izgɾaʒdum
изграждане	itʲgɾaʒtɒm
изгребвам	izgɾaɪbɪm
изгрев	igrɛt
изгризвам	izgrizvam
изгрявам	izgɾˈiːɑvum
изгубвам	zguˈbˈvon
изгубвам се	izqyp vunsɯ
изгубен	izgubɯn
изгълтвам	β̞ɾʲizgʊltfɑm
изгълчавам	nʲiz̺gɵɫtʂaɫa
изгърбвам се	jʏ̞zgʏ̞rpɯ̞ntsʏ̞
изгърбен	ɪsgɔrbɪn
изгърмявам	izgɯrmæjɑwɯm
изгърмяване	izkɐrmjɐvɐne
издавам	izdavɑm
издавам се	izdavɛn sɛ
издаване	izdɑbɑnɯ
издавям	izdɑvjɛm
издаден	izdɒˈdɒmi
издаденост	mʲisdɑtɑnost
издайник	mɨztajnʲik
издайнича	bizdaɪ̯nitʃɛ
издайнически	jisdajnʲiktʂɨstsʲːi
издайничество	izdajnitʃastɨ
издалеч	izdalɛtʃ
издание	izd̪aːn̪e
издател	izdatˈɛl
издатина	izdɐtʃinɐ
издатък	izdɑtɯ̞k
издаянвам	izdajnvam
издебвам	izdɛvɔmɪ
издевателство	nʲazdavatou̯stvau̯
издействувам	ðɛsdɛiftvælum
изделие	iˈzˈdeːlɪ
изделия	izdɛlɪo
издигам	izdʲiqim
издигам се	izd̪igɯmsɯ
издигане	izdʲiːgənɪ
издигнат	izdɛgnat
издигнатина	ɪ̞sdɪ̞gnætĩːnɛ
издигнатост	izdˈignɐtost
издирам	izˈdirʌm
издирвам	isðˈervʌm
издирване	izdʲirvanɨ
издишвам	izdˈiʃvɐm
издокаран	izdukɑrɯm
издокарвам	biːzkoɾɯvɑn
издокарвам се	ist do kaːr bˈan se
издоявам	ʝsd̪unumeɾoaβ̞ãŋ
издрасквам	jzdrastkom
издребнявам	izdrabʲːavɨm
издребнял	xlʲsdrɛbʲːau̯
издрисквам	izdrisklam
издрисквам се	izdrisˈkvam se
издръжка	ˈizdrˈɑjʃkˈ
издръжлив	nʲaztraʐɫʲiʂ
издръжливост	jsdrʌʒlʲejvˈust
издрънквам	izdrɔnkɔm
издувам	izduɫɯm
издувам се	izduvam sɨ
издуване	izduɣene
издумвам	izdou̯vɑm
издут	izdut
издутина	izdutina
издутост	istutust
издухвам	tutzduxvam
издухване	izduxvɛnɛ
издълбавам	izdau̯bavɨm
издълбоко	izdau̯bogu
издължа	ʲisdau̯ʐa
издължавам се	izdau̯ʐa vamsɨ
издължение	izdɔu̯sɛɲiɛ
издънвам	izdaŋvˈɯm
издънвам се	es dˈɑn vˈomzɑ
издънен	izdɒmin
издънка	izdɐnkɐ
издъно	izdonu
издържа	esðəɾʒa
издържам	ɪ̞zdɪ̞ɾdʒɑm
издържам се	istɔɾgɛm sɛ
издържан	izdɪɾʒɑn
издържаност	izdarʒanust
издържлив	istɪ̞rʂliːf
издържливост	izdarʒɭejvˈust
издърпвам	izd̪ɯrptɯm
издърпвам се	izdrpvam se
издърпване	izdɑrpɯzɑnɯ
издъхвам	izdaxvam
издъхнал	izduxno
издялан	iztɪɑuɑn
издялвам	iztijaɫvɐ
изедник	izɛdnik
изехтявам	izɐxtjɐvɐm
изживелица	izdʒiːbæliːtsɑ
изживявам	kɪzɪrjaːbɐm
изживяване	izdʒivjabɔne
изживян	bizʒivjɑn
изживяно	izivjano
изжулвам	izʒuɣum
изжулен	izʒulɛn
изземам	izˈzˈemum
изземвам	izdenvɯn
иззидан	izzʲiːdæn
иззиждам	izdʒiʃdem
изигравам	ðiʁrɑwɯm
изиграване	jediɣravanɨ
изискан	jeðʲiskɯ̞m
изискано	jisʲkano
изисканост	izʲizkɯˈnust
изисква се	izˈis kɭˈɑsɯ
изисквам	izizkvamm
изискване	bizjˈɪzqɛnˈeɪ
изисквания	iziskvenija
изискванията	eseskepavest̪
изискващ	jisʲtsʲispɫɨʂtɨ
изискуем	jazjˈɑzɑkˈojɑm
изискуемост	jeziskoɛmust
изказвам	ɯzgɑzɯn
изказвам се	ʃiʃkɑ ʁɯŋsɯ
изказване	isgazone
изкалвам	ʲiθkɑlʋum
изкалъпвам	bʲesqɯ̞ɫɯ̞pʊ̞m
изкалъпен	isˈkɑlɯpˈin
изкалян	i̠ðːkæɫæm
изкарам	kaskaram
изкаран	ʲiðkɑrɯ̞n
изкарвам	i̠ð̞kaɾwɯ̞m
изкарвам наяве	bʲizkɑrbʊ̞m nɑjɑbɯ̞
изкарване	izgauane
изкате ли да се срещнем на кафе?	iskɐtɛli da sɛ srɛʃnɛm na kɐfɛ
изкатервам се	bʲeskɪ̞ pærwʊ̞m sɯ̞
изкачвам	iskatʃɔm
изкачвам се	ʏ̞sʏ̞tgɯ̞ɴ sʏ̞n
изкачване	isˈkˈatʃˈvanɛ
изкашлям	ne̞fˈgæɑʃˈlɯm
изкашляне	is̻kaɑʃɫænɪ̞m
изкикотвам се	is̺kik ɑpˈsɯms̺ɯ
изкипявам	i̠θkɪ̞pjɑʋɯ̞m
изклинчвам	miːsplˈintʃvum
изключая	iskluːtʃaːjɛ
изключвам	iskɫjutʂvam
изключване	jsplʲutʂvonɨ
изключващ	iskluːtʃvɜsd
изключен	ʃuːlˈʊtxən
изключение	isklutɨɲɛ
изключено	isklɨtʃano
изключи	eskˈutʃi
изключителен	is̻kɫjutʃae̞t̪elẽn
изключително	isklutʃiton
изковавам	nɪskuvaʋɔn
изковаване	kɛnkɛzɣuʋaʋanɨ
изконно	siʃkono
изконтен	ifkɔntɛn
изкоп	ɪskuːp
изкопавам	iskupeaβan
изкопаемо	iskupamu
изкопи	iskupi
изкопчвам	iskɒplˈʃˈvɒm
изкопчвам се	liz kaptʃ vɯzɯm
изкоренявам	iskɔrenjaːbam
изкореняване	iskoːˈrenjaːuaːnɛ
изкормя	iskɔrmiɔ
изкормям	iskormjɐm
изкорубвам	izkɔrubvɑm
изкорубвам се	jsgurupvamse
изкочи	iskoˈtʃe
изкочи ми	isko tʃemi
изкрещявам	izkɾɛʃtjɐvɐm
изкривен	ĩskɾiβ̞an
изкривеност	iskrivenos
изкривявам	isˈkɾiːvjɐvɐm
изкривявам се	iskɾiːvjaːbɐm se
изкривяване	iskɾiːvjaːvone
изкрънквам	iskrɛŋkɔm
изкрясква	iskɾiːaskɔ
изкрясквам	iskriassɟum
изкупвам	iskopˈɑm
изкупване	iskupfene
изкупващ	iskuptˈvasˈt
изкупителен	ʔizqupɪtɛlɛn
изкупителна жертва	i skupitɛɫ na ʒɛrtvɐ
изкупление	nisguplɛɲiɛ
изкупувам	izkupuvam
изкупуване	izkupuvane
изкусен	iskˈusʌmˈaˈɫ
изкуситeлно	iskusɨitɛunu
изкусител	neskusiˈtɛ
изкусителен	isqusʲitɪlɛn
изкусно	iskuzlõŋ
изкуствен	ʲisqʊ̞sʊ̞n
изкуствена	iskustvɛna
изкуствена засада	iskustvɛna za sɑːdo
изкуствени сълзи	iskustvɛj nisɛlzi
изкуствено	nˈesgˈustvʌnˈu
изкуственост	iskuztvɛrɔz
изкуство	isˈkustvɔ
изкуствовед	iskustvuvɛt
изкусурявам	seɾɪjɑbɯm
изкуфял	ʃkˌuviˈaːv
изкуфялост	iskʊfiɑost
изкушавам	i̠s̺kuːʃaːvɑm
изкушавам се	iskuʃaˈvɐm se
изкушаване	ʔizkʼuʃaːvɑnɛ
изкушение	jɪskuʂɛnˈi
изкушител	eskustʃtɛl
изкълчвам	ɪtsgoːtʃˈoːm
изкълчване	nˈɪsgˈoʊtʃvɒnˈnɛ
изкълчен	ʃtʃɛkau̯tʃən
изкънтявам	iskˈantftʃaːwˌɛm
изкъпвам се	niːskp fɒŋsi
изкърпвам	esskrpːam
изкъртвам	isqirtwɑm
излагам	izuɐgɐm
излагам в детайли	izɫagam v dɛtajɫɯ
излагам се	izɫɑgɯm sɯ
излагане	isuaːgɒnɛ
излаз	izuaz
излайвам	ʃtɾɛsʃɔɫɐjbɔm
излайване	izuaivane
излак	izɫɯ̞k
излапвам	eslapθoŋ
излежавам	izɫæʒɑˈbɑm
излежавам се	izɫɪ̞ʒɑɫɑmsɯ
излез	izliz
излезе	iznˈezi
излезем	izlɛzɛm
излезте по изход 1	iz lɛz tɛ pɔ i sxɔtɛ dnɔ
излезте по магистралата на запад	izljɛstɛ poˈmɑgistrɑvatɑ na zapɑd
излезте по първия изход	iz lɛstɛ poˈ pɔrvi jɑ izxɔt
излезте по третия изход на кръговото	iz lɛstɛ po tɾɛtjɐ izxotna krɤgobɔtɔ
излеко	islɛkɔ
излекува	nizljkovo
излекувам	izlʲikovam
излекуване	ʲidlʲɛkʊʋɐnʲɪ
излет	iz̺ɫæt
излетник	izlətniːk
излетява	izlædjɑvɑ
излечим	izletʃim
излечителен	iznɯtʃtʃiːtɯlɯn
изливам	iznevim
изливам се	izlʲivam se
изливане	igɫevini
излиза	jilizun
излиза ми солено	iz ljizam je solɛnɔ
излизам	izˈliɪˈðɯm
излизам наглава	izlʲizam mʲetsʲ gɫɛva
излизам налице	izlʲedam dzʲe lʲitsɛ
излизам наяве	izlʲedim nʊ̞jɑwɯ̞
излизам от кожата си	izlʲizabut koʐɛtasʲi
излизам от строя	izlizam ot stroja
излизам от употреба	izlʲizomu to potrɛba
излизан	izlɪsɛn
излизане	izlizane
излизат пингвини	izlizat pɛŋvini
излизащ	izˈɫizɐʃt
излизвам	izlizbam
излинявам	izlʲenijamɨm
излитам	izlʲitam
излитам се	xʲizɫʲitɐm sɨ
излитане	izvɨjtanɨ
изличавам	izlʲitʃavam
изличаване	izljiːtʃavone
изличим	izlʲitʃim
излишен	izlʲiʂæn
излишество	ɪzɫˈiʃistvʌ
излишно	izliʃmi
излишък	jðlʲiʃk
излияние	izliːjɑːniː
излиятелен	ɪðɫejɑpɯ̞ɫɯ̞n
излиятелност	fiðlʲiatɑβũŋus
изложба	nʲazɫɔʒba
изложбен	izvɔʒbɛn
изложбена	izvɔʒbɪnɑ
изложен	izɫɐʁʲɪ̞m
изложена	izuɔʒɛnɔ
изложение	iɣɫuʐɛnːʲi
излоквам	izuokvam
излочвам	izvɔtʃɔbɔm
излъган	izɫɯ̞kɯ̞m
излъгвам	izɫʊgvam
излъгвам се	ɛ zˈvɔ gˈvɔm sɛ
излъгване	jisɫaɣvanɨ
излъжеш	izʏɛzɨʃ
излъскан	iz̺ulɑz̺kɑn
излъсквам	iztˈvˈoskˈvˈam
излъстявам	izɫastʲjavam
излъчвам	iztˈvˈoːtˈvɑːm
излъчвам се	ʔiːz wəʒvɒm se
излъчване	isvˈɔdʒvonˌe
излъчващ	izɫɯtʃvaʃt
излъчено	ʔizuʔɛtʃenʊ
излюпвам	izlʲupvɑm
излюпвам се	izlʲubˈfɑmsɛ
излюпване	izljuptvane
излющвам	izlʲuzdvam
излягам се	iz lˈagɐmˈsɐ
измазвам	izmatsʲvam
измайсторявам	izmɛjsturgavam
измама	bʲesmama
измамвам	isɛmaːnvɔm
измамване	izmaːmvõːnɛ
измамен	lizmamɛn
измамлив	izmamlev
измамник	izmamnʲik
измамница	izmamljitsa
измамнически	ɪzmaːmnɪtʃɛski
измамно	izmɑːmno
измацвам	ismattsvɔm
измачквам	izmatʃkvam
измежду	izmɛʃdu
изменвам	izmenvɨm
изменен	izmenen
изменение	izmenajni
изменлив	izmeːnlˈif
изменник	izmænlik
изменнически	ɪzmɛnːitʃəski
изменничество	izmɛnnitʃɛstvɔ
изменчив	nizmantistˈ
изменчивост	izmæntsʲivust
изменявам	izmjɛnjɑvɑm
изменявам се	izmɛɲawɔm sɨ
изменям	nʲazmɛnʲe
изменям се	izmænijɛmsɯ
измервам	izmɛrbamuz
измерване	ʲizmærwɔnɪ
измерването	izmɛrvanɛtɔ
измервателен	izmɪrvatɛlɛn
измерен	izmæren
измерение	izmjɛrɛɲi
измерим	izmeɾi
измерителен	i̠ðmæɾʲitælæn
измествам	izmæstfɑm
изместването	izmjɛsdvɛnɛtɔ
измет	izmɛt
измивам	nɛsmivɑm
измиван	isnj
измий си ръцете!	izmiˈsi ratsɛta
изминавам	izmʲinavam
изминал	izminɐ̃ʊ̃
измислен	bizmizslun
измислил	ˈeˈɛmˈɪkˈiʁˈɑ̃
измислица	izmjsɫʲitsɯm
измислям	izmɪlim
измит	jˈɪzmɪt
измитай се	biz mʲetajsa
измитам	izmitɐm
измитам се	izmʲitams
измишльотина	jizmiʃlɯatijinɯ
