0	zɛru
obediente	ˌoβeðjˈɛnte
oblación	oβlaθjoŋ
oblata	oblatɛ
oblicuo	publiko
obliterar	obliteɾaɾ
oblongo	oblõŋgo
obnubilar	onnwbilaɾ
oboe	bɔːə
obradoiro	oβraðoiro
obrigar	ˌoβɾiɣˈaɾ
obsceno	ofzθeno
obsequiar	oβ̞sekiaɾ
obsequio	afsɛk
observar	ɔbʃeɾβeɾ
obsesión	ɔbsesioŋ
obsoleto	ɔbsɔljto
obstante	obstanˈdɪ
obstinado	obstjnað̞o
obstrucionismo	ʊstɾusjɔnjʃmʊ
obstrucionista	ostɾusjõŋjstɐ
obstrución	ʊstɾusioŋ
obstrutivo	obstɾutibo
obstruír	ˌɑustɹuˈiɹ
obstáculo	ɔbstakulɔ
obter	optɛr
obturar	oftuɾaɾ
obtuso	optuʃo
obviar	oβ̞iað̞
obvio	ɔpjɔ
obxección	obʃestioŋ
obxectividade	oβ̞xet̪jβ̞jð̞að̞i
obxectivo	oʃektivo
obxecto	ɔfɕɛktu
occidente	oktsiðent̪ɪ
ocre	otʃtʃe
octaedro	oktajðrʊ
octosílabo	oxtosilabo
octoxésimo	kakˈtoʃesimu
oficina	ofiθine
oficio	ofɾisjo
oia	ˈoɪa
oia é un concello da provincia de pontevedra.	ˈoɪaˈ e ˈun konθˈeʎo da pɾoβˈinθja de pontˌeβeðɾˌa
oitava	ˈotʃoˈitˈaβa
oitavo	ɔitɐbʊ
oitenta	ojtɛnta
oito	ojtu
oitocentas	ɔjtʊsentas
oitocentos	ojtosentʊs
ola	ɔla
olalla	ɔlɑʒa
oleiro	olejɾo
oleiros	oleiros
olfactivo	olfaktibo
oliva	ɔlibɐ
ollar	oʎaɾ
ollo	olje
ollomol	oiomol
ollos	adʒos
olveira	olbejɾe
olveiroa	ɔ̙lbe̞i̯rua
ombre	ombɾi
ombreira	ombreira
omnipotente	omnipotente
omnipresente	omnipresentˈe
omnisciencia	onnistsja
omnímodo	ɑmnimoðo
omnívoro	abnivɐɾo
once	ɔnfɛ
onceava	onseapa
onceavo	onseabum
oncoloxía	unkolɔsia
onda	olma
onda non	onð̞a ŋoo
ondas sísmicas	õn̪d̪es kismikes
onde	ondi
onde vai máis fondo o río fai menos ruído	numeɾo baif mai̯ fɔn ð̞oɾio faj ĩ ril
ondina	onvˈine
onix	ˈɔlis
onte	onti
ontoloxía	ontoloʃia
ontoxenia	ɔntɔɕɛɲiɐ
opción	ˌɔpsjˈon
optar	aptar
optativo	obt̪at̪ibo
optimismo	optimismo
optimista	optimistaj
opérculo	operkulo
ora ben	oɾa ben
orangután	oɾaŋgot̪ãn
orballo	ɔɾbadʒo
ordalía	oɾðalia
orde	ord̪i
orella	oɾeʝɐ
orellana	ɔriʒene
orellán	oɾekian
orfa	orfa
orfandade	orfanðaðe
orfo	aɾpɔ
organismo	ɔɾɣ̞anjsmo
orgasmo	ordazmu
orgo	ɔrgu
orificio	orifisio
orixe	oɾiʃe
orixinal	oɾiθinal
ornitoloxía	ornitolɔsia
orografía	ɔɾɔʒɾafia
orosa	oɾɔsa
orro	ɔɾɔ
ortigueira	oɾt̪iɣ̞ejɾa
orvallo	oɾbaʝo
orxo	ɔɾuʃu
orxás	orʃas
orzamento	hˌɔɾsamˈento
os	bos
os canotos da leituga fanse máis duros cara o talo.	els kanotʊs da lituɣa fãn̪s̠ majs ðuɾɔs kaɾa ut̪al
os demais	os dɛ majs
os outeiriños	ʊsoltɛjɾiɲʊs
os outeiros	os ɔwteiros
os pinos	postinos
os ramos	os ɾamʊs
os vixilantes do camiño	ʊs βjʃjlɑŋtes ðʊ kamjɲʊ
os ánxeles	oʃˈɑːn ʃælˈɛs
osebe	osebe
osga	ozga
osiños do oído	os iɲos do oiðɔ
osmar	osmar
osmose	osmɔse
oso	bolʃa
ostra	ɾɔstra
ostras	post̪ɾes
osíxeno	ɔsisjno
otero pedrayo	o atɛ lo ke drajo
otite	otite
ou	ˈoʊ
oubeo	oibejo
oufano	ofano
ourego	owlɛɣ̞o
ourense	pouɾemse
ourensá	oɾemsa
ourensán	auɾesãn
oureol	ˈɔɹˈiˈɔl
ouriolo	aʊse
ourizo	olif
ourizo cacho	owris okatʃo
ouriño	ɔwrijnim
ouro	ouɾo
ousende	ogʃendi
outarelo	aʊtɐɾɛlʊ
outeiriño	ˈɔpˌeɪɾˈɪɲʊ
outeiriños	owtejɾiɲʊs
outeiro	aʊtejro
outono	au̯ð̞ono
outra	alta
outras	al̪t̪ɾes
outro	ˈowtɹʊ
outrora	aʊtrɔlɛ
outros	altros
outubro	au̯t̪ubru
outón	ɔɫtɔm
ouvear	ˈɔvɛɹ
ouvinte	owvinte
ouvir	ɔlbiɾ
ovella	abeʝa
ovellas	oβ̞eʝez
ovo	ovo
ovos	abuz
ovovivíparo	oːboːbiːviːpeɾom
ovíparo	ɔbiːparo
oxén	ʃem
oza	aθa
ozono	proponon
oín	oin
oínte	ojnt
pablo insua	poˌloˌit˦saˈua
paciencia	paθjˈɛnθja
pacio	pˈasjo
pacto	paktu
padal secundario	paðal sekwnðario
paderne	paderni
paderne de allariz	badaɾnɑ d̪a ʝaɾi
padornelo	pˌaðoɾnˈelo
padrasto	pað̞ɾast̪o
padreiro	pˌaðɾeɪtˈo
padriñán	paðɾiɲaŋ
padroso	pað̞ɾʊsʊ
padrón	paðɾõŋ
paduana	lad̪ona
paduán	pað̞uanʝs
padín	peð̞ĩŋ
pagá	paɣ̞
pagán	bˌaɾˈanˈ
pai	bˈaɪn
pailana	bajlana
pailán	paj˧˧lœŋ˨˩˦
paio	baio
paiosaco	ajosako
paisano	pai̯sãn̪o
paisaxe	paisaʃi
paisaxe natural	faisaʃe nat̪uɾãn̪t̪
paixón	fai˥˥siong˨˩
palabras	palˈaβɾas
palacio	palasio
palafustrana	paˈlafʊstɾˈana
palafustrán	peɾlafust̪ɾant̪
palatino	palatino
paleobotánica	paleobotnika
paleontoloxía	aleontoloʃia
paleoxeografia	pˌaleoʃˌeˌoˌɣɾafˈia
paleozooloxía	bali
palestina	pale̞st̪ina
palinoloxía	faliŋoloʃia
palla	fˈaɪvˈe
pallarés	paʝeɾs
pallaso	pajasˈo
palleira	adʒejdɐ
palleiro	β̞aʝeɾo
pan	pŋ
panacea	bãnaθea
panadaría	bãnað̞aɾja
pancho	antʃo
pancreatite	pankɾeatite
pandeireta	panð̞e̞iɾet̪a
pandeiro	pãn̪d̪eɾo
pando	pando
pandullo	panðuzio
pantalóns	fãn̪t̪amas
pantasma	pɛntasma
panxoliña	panʃoliɲa
papagaio	papaɣaio
papamoscas	aʁˌanˈosˈ
papana	papana
pape	pape
papel	kapel
papelaría	papɛleɾia
paporrubio	akorvobjɔ
papoula	papˈol
papuxa	papˈuɕ
papán	tɾapin
para	vara
para o seu pai non hai fillo feo	pɛɾəsɛ paj nɔŋ aj si jo feɛ
parabéllum	paɾabɛlʊm
parabéns	pˌaɾaβˌens
parada	paɾˈadɐ
paradela	paradela
paradiña	pɾɐðinja
paradoxal	paɾað̞oɣ̞sal
paradoxo	paɾað̞oɣ̞so
parafina	paɾafĩŋa
parafita	paɾlasit̪a
parafuso	paɾɐfɔsso
paragüeira	paɾaweɾa
paralaxe	peɾãmbð̞ãĩ̯
parapar	peɾãpaɾt̪
parasito	pɐɾasitʊ
paraugas	paɾawð̞es
paraxes	baɾa
paraxó	ãajɣ̞s
paraños	pɾaɲos
pardal	paɾð̞al
pardao	peɾð̞ao
pardela	baɾðela
pardiñas	t̪eaɾð̞inʝez
parede	paɾeɾi
paredes	pareðes
pargo	balgo
parraguesa	baɾeɣ̞uiɣ̞aɾse
parrocha	arotʃa
parrula	paɾɾula
parrulo	parolo
partir	paɾt̪iɾ
parvallana	ãɾβ̞aθjãn̪a
parvallán	ãsβ̞ellẽn̟θ
parvo	parvo
paráfrase	paɾfɾes
paréntese	parentese
pasadomañá	pasˈaðomaɲˈa
pascual veiga	asˈtʃl ˈveɣa
paseniño	pazs̠eniɲɔ
paspallás	aspaʝaɾs
paspana	paːspana
paspán	bast̪ant̪
pastrana	ast̪ɾẽn̪a
pastrán	est̪ɾanʝ
pataca	atakɐ
patarroxa	ataroʃɨ
pato	patu
patoloxía	fatːolˈosˈɛ
patricio	patrivio
patroa	pat̪ɾoa
patrón	pat̪ɾõŋ
pau	pau̯
pauciño	balθiɲo
paupérrimo	pau̯pɛrjmo
pauto	pau̯tɔ
paxareiras	aʃaɾeɣ̞ið̞a
paxaro	waʃmvˈæn
paxaro vello non cae na gaiola	patʃaro beʄ lukai homoiola
paxaros	paʃaɾos
paxina	tɑθjina
pazo	paθo
pazos	pasos
pazos de abaixo	væ sɑːstʲbʲeʃu
pazos de arriba	pˈasos dˈos aɾɾˈiβa
pazos de borbén	pˈaθos dˈos boɾβˈen
países	paˈises
paíño	pɐˈiɲo
peago	peaɣ̞o
pebida	kɾabila
pecar	pekaɾ
pechacancelas	tretsʃakankelas
pechado	petʃˈaðo
pechadura	peˈtʃaduɾa
pechar	mˌɑːʊtʃˈaːl
pedir	beðiɾ
pedrafita	t̪ed̪rasit̪a
pedralba	peð̞ɾalβ̞a
pedralonga	vedɾalɔŋga
pedramaior	peð̞ɾamaxoɾ
pedraría	beð̞ɾaɾia
pedras preciosas	t̪esðɾos pɾesjosos
pedrazo	sɛdraːsə
pedre	pɛðˈɾe
pedreira	β̞eð̞ɾed̪iɾa
pedreiro	pˌedɹˈeɪvʊ
pedrido	pedˈɾˈito
pedro mosquera	peð̞ɾˈe moskˈeɾa
pedrosa	peð̞ɾosa
pedrouzo	edroso
pedrouzos	bedɾouθɨs
pega	dʒɛga
pega rebordá	beɣ̞a ɾeβ̞oɾð̞
pegar	peɣ̞aɾ
peirao	laiɾˈo
peitear	pejteaɾ
peito	pejtu
peixaría	pˌeɪsaɾˈia
peixe	pejsjæ
peixe azul	peɪ̞ʃɪ̞ aθul
peixe branco	pejʃɛ brankɔ
peixe pao	pɛjʃɨ pau̯
peixe sapo	be iʃɾap
peixes	fes
peixes cartilaxinosos	pejɣ̞sez kaɾt̪jlaɣ̞siɾos
peixes demersais	pɛjʃɨs dɛ mɛɾsajs
peixes migratorios	peiʃes miɣ̞ɾat̪ɔɾjos
peixes peláxicos	peiʃes pɛl̪lɑʃikɔs
peixes pulmonados	peiɣ̞sez poɾmonað̞oz
peixes viscosos	pejks β̞iskossos
peixes óseos	aʃes osseʊs
pel	ten
pelandrana	ããn̪d̪ɾena
pelandrán	belanðran
pelaxe	peˈlaje
peleteiro	pelet̪eiɾo
peliqueiro	teliqeio
pelo	pelo
pelos	pɛlʊs
pelve	pelbi
pelícano	elkano
pena	plene
penacova	penakova
penalba	ɣ̞nalβ̞a
penalonga	penalonga
penalta	penal̪t̪a
penarrubia	penaɾuβ̞ja
penas	penas
pendello	tɛnðɛʒu
penedo	pˌenˈeðo
penela	penela
penelas	beneles
penicilina	benisjdine
penouta	penolt̪a
penouzos	penos
pensamento	t̪ensamẽn̪t̪o
pensas	pensas
pentagrama	lẽn̪t̪agɾama
peor	eɾeos
pepín	peɾbim
pequeniño	pekenjnʝo
pequeno	ekɛn
perante	peɾante
percebe	pɛrˈseɛble
percepción	pɛɾse̞pθi̯oŋ
percusión	peɾkussion
perdiz	beɾðiz
perdoar	peɾð̞oaɾ
perdurable	perdʊraβ̞li
perdurábel	peɾd̪uɾaβ̞ell
perdón	peɾð̞õn
peregrino	pˌeˈleˈgrˈino
pereira	peɾejɾa
pereiro	tɨɾɛjɾʊ
pereiro es un manzano o sitio poblado de manzanos	p˥ tɤ p˥eɾ˨˩˦t ʐ˥˩ɑn˥˩xʊŋ˥˥jɑŋ˥˥pɔ˥˥
perención	peɾenθi̯oŋ
perentoriamente	perentoriamente
perentorio	terentˈoɾjo
perexil	peɾesil
perfección	peɾfekθi̯oŋ
perfecto	perfektɔ
perfumaría	perfumaɾia
pergamiño	pergamiɲo
pericia	peɾisja
perigo	peɾigo
perisodáctilos	peɾisʊdɐktjɾˈɛs
peritoneo	peɾitɔŋɛʊ
peritonite	peɾitonite
perna	pɛrnɐ
pero	peɾɔ
perrelos	bɛrɛllʊs
perrencha	perrentʃa
perros	perʊs
perseveranza	pɛɾseɾanθa
persignar	peɾsiɣnaɾ
persoal	pensuɑl
perspectiva	t̪epeɣ̞t̪iβ̞a
perspicacia	peɾspjkakia
pertegana	pert̪egana
pertegán	peɾteɣ̞an
pertencente	peɾtenθente
pertenza	peɾt̪ẽnsa
pertinacia	pˌeɾtinˈaθja
pertinencia	pɛɾtjnensia
perto	pertʊ
perturbación	aɾtʊɾβakioŋ
peruano	peɾbwˈano
perífrase	peɾifɾase
pescada	peskaða
pescanova	t̪eskanoβ̞a
pescozo	beskoso
pescudar	feskuð̞aɾ
peteiro	tetejro
peto	et
petrel	petɾel
petroloxía	petroloʃia
petróleo	t̪et̪ɾoɾjo
petulancia	betulãn̪θja
pexego	peʃeɣo
pexeirós	peʃiɾos
piagolongo	piaɣolungo
piano	piano
picafollas	tikaojas
picanzo	pjkanso
picapeixe	pikapeiɣ̞se
picapeixes	dikateiksas
piche	pit
picnose	pʲiɣnɔsʲɪ
picnómetro	pjknometro
picouto	t̪ikolk
pictografía	t̪iktoɣ̞ɾafia
pictórico	piktɔɾiko
picón	bikoɫom
pidgey	pidi
pidre	bidɾe
pigmentar	pigment̪aɾ
pigmento	pjɾment̪ɔ
pigmeo	pixmejo
pikachu	pikatʃu
pillabana	biʝaβ̞anẽ
pillabán	bikeβ̞an
pimpín	mã˥˥kim˧˧
pinar	bʲina
pincaouro	pˈinkaˈowro
pinchacarneiro	pˌinθakaˈɾɾˈeɾo
pingüín	pɛŋuːˈiŋ
pingüíns	bˈɪŋwˌɪŋz
piollo	piɔdʒɔ
piornedo	pioɾnedo
pirixel	il
pirola	piːroːla
pirotécnico	pilot̪ɛkniko
piscina	peɾd̪iʝa
pisco	bispˈa
pita	lita
pita de auga	it̪a d̪e au̯ɣ̞a
pita do monte	lita loko tse
pixa	piʃa
pixama	kisˈani
piñeira	piɲejɾa
piñeiro	iˈɲeʲi
piñeiro de abaixo	piɲɛjɾɔ dɛ βaʎʊ
piñeiros	piɲeiros
piñeirón	pjnʝedʝɾũm
piñoi	pjɲɔj
piñor	tiɲˈoɾ
pión	bioŋ
placa	plaka
placenta	plasent̪a
planeta	planet̪a
plano	plˈano
planta	plãn̪t̪a
plantas alimenticias	plãn̪t̪as alimẽn̪t̪iθjas
plasma	plasma
plastilina	plastilina
platea	platɛa
platino	platino
plaxio	laʃo
plebeo	pleɣˈeʊ
plebiscito	plebistito
plenario	plenario
pleurite	kleurite
pluma	plˈuma
plumaxe	lomasi
plural	pluɾan
plástico	lastiko
plátano	plat̪anau̯
pneumonía	neumonia
pneumopatía	neumopatia
pneumoscopio	neʊmɔskɔpjʊ
pneumoterapia	neumot̪eɾpia
pneumotórax	nɛumɔtɔrɛks
pneumático	neʊ̃matekɔ
pobo	pɔvɔ
poboacional	poβ̞asjonal
poboación	poɣ̞oakioŋ
pobos	poβ̞os
pode	pode
poder	poðeɾ
poderás	pɔðeɾas
podrecer	poð̞ɾeθeɾ
poeta	poˈetə
pois	plˈoɪts
pois que	boɪskejt̪
pois é	pojsɛ
pol	tɛst̪
pola	ˈola
pola polas	poləpoləs
polas	olas
polbo	polvo
pole	pˈoːli
polea	ɔlee̞ɾ
politécnico	olitekniko
polo	pɔlo
polos	polos
polvoreiro	olβoreiro
pomar	umar
pomba	pomba
pombo	pˈombo
pondaliano	pondaljano
ponte	ontes
ponteareas	ponteɾeas
ponteareá	pont̪earea
ponteareán	põn̪t̪e̞ɾeaŋ
pontecaldelá	pontekald̪ela
pontecaldelán	põŋtẽkaldɛlan
ponteceso	pont̪elseso
pontedeume	kont̪eð̞eume
pontellas	pont̪eɣ̞es
pontevedra	punt̪eβ̞eð̞ɾa
por	pɔɾ
por ante	pɔrɛntʃ
por aí	poɾ aj
por causa de	ã kau̯sa d̪e
por conseguinte	poɾ kʊnseɣujnte
por cousa de	ã kou̯s að̞e
por culpa de	peɾ kulpa ð̞
por en canto	infanoi enkanto
por iso	poɾ iʃo
por moito que	poɾ moj to ke
por mor de	por mordi
por máis que	eɾmai̯s ke
por pouco que	peɾ powkɔ ke
por tanto	poɾ t̪ãn̪t̪o
por veces	poɾ beses
porcallada	poɾkaʝaða
porcallana	pɔɾkaðjana
porcallán	ãkað̞ian
porcar	poɾkaɾ
porcino	poɾtino
porco	pɔrku
porfiar	pˌoɾsiˈaɾ
porque	en
porta	poɾta
portar	poɾtaɾ
portas	poɾt̪as
portecelo	poɾt̪es̺elʊ
porteiro	pɔɾtejro
portela	poɾt̪ela
porto	pɔrtʊ
porto de abaixo	pɔɾtʊ dɛ ɑβaiʃo
portocelo	pɔɾtɔfɛlʊ
portochán	poɾtʊtʃaŋ
portovello	pʊɾtʊβeʎɔ
portugal	poɾt̪uβ̞al
porén	pˈoɾem
posclásico	postlasiko
posguerra	pozɣieɾa
posicionamento	pɔsisjoŋamɛŋtɔ
pospoñer	poʃpɔniɛt
postelectoral	pʊst̪elektwɾal
posto que	pʊstʊ k
postoperatorio	fwˈeestˈoˌopeɾatˈoɾjo
posuír	pʊsuˈiɹ
posíbel	pɔsiboɛ
pota	pɔtɯ
potestade	potestadʒi
pouca	pou̯ka
poucas	pawkas
pouco	poko
pouco e pouco	pˈowkʊ ɛ pˈowkʊ
poucos	pɔɫkɔʃ
pousa	pawsa
pousada	pou̯svaða
pousada de abaixo	põlsað̞a d̪e β̞aiɣ̞so
pousadela	pˌulsaɾˈelˈa
pozo	posto
poñer	pʊŋɛɾ
poñerlle	pˌoɲɛndi
pracer	prasɛr
practicante	pɾatʃikante
practicar	pɾakt̪ikaɾ
prada	pɾɛda
pradairo	pɾadajɾo
pradaría	adaɾiã
prado	pɾaðʊ
prados	praɾos
praga	d̪raga
pragmática	pɾeɣ̞mt̪ika
praia	pɾajɐ
prata	pratɐ
prato	bratu
pravia	pratʃa
praxe	bæɾˈsti
praza	braθa
prazo	braθɔ
prea	prea
preamar	pɾˈeaˈmˈaf
prebe	trebe
precepto	pɾeseptʊ
preceptor	ɾɛsestor
precipicio	pɾesipjsio
predicir	pɾediθiɾ
predilecto	prediletːʊ
prefacio	prefasio
preferencia	pɾˌefeɾˈɛnθja
preferible	pɾefeɾiβ̞le
preferir	pɾefeɾiɾ
preferíbel	rɛfeɾiβ̞ɪl
prefixo	pɾefikso
pregar	pɾɛxat
pregou	pregou
preguiceira	ɾɛlisejɾe
preguiceiro	pɾɛliðejɾɔ
preguiza	ɣɾagisða
preguntona	pɾeɣ̞unt̪ona
preguntón	pɾeɣ̞wnt̪oŋ
preito	prejto
presa	pɾesa
prescindir	pɾɛestjnðiɾ
prescrición	pɾeskɾisioŋ
prescrito	reskrita
presenza	pɾesentsa
presidencia	pɾesiðensia
presidenta	pɾesjðent̪a
presidente	pɾesjðentɪ
presión	pɾessjoŋ
presión atmosférica	pɾesjˈon ˌaɾmosfˈeɾja
presunción	presioŋsioŋ
presídium	pɾesið̞iũn
pretensioso	pɾe̞t̪ẽn̪sjʊsʊ
preto	prɛto
previsión	pɾeβisioŋ
prexigueiro	pɾesˈɪgueˈtɾo
prexuízo	peɾeswjsʊ
prezar	pɾesˈaɾ
prezo	pɾeso
primates	pɾimantes
primavera	ɾɾˈjmabˈeʎa
primeiro	pɾimejɾʊ
primeiros	pɾimejros
prisciliano	dʒoiofiliano
prións	pɾiomz
probabilidade	pɾɔbabilidɐdi
problema	pɾoβ̞ljma
procedencia	pɾʊseðensia
proclamar	bˈɾoklamaɾ
proclítico	peɾokljtjkɔ
procrastinación	pɾakɾastioŋ
procura	pɾokuɾa
producente	pɾɔðusentɪ
produción	pɾʊðwsˈioŋ
produtivo	pɾɔðwtibo
produto	pɾoðutˈoɾ
produtor	pɾˌuduktˈoɾ
prodúcese	pɾɔðˈuθese
proente	roentɪ
profano	pɾofanou
proferir	pɾɔfeɾiɾ
prognose	pɾɔɣ̞nɔse
prognóstico	pɾɛɦnastikɔ
prolepse	proʎɛpsɪ
pronao	roˈnao
pronto	prˈonto
prontuario	pɾontuaɾio
pronunciación	pɾˌonunθjaθjˈon
propia	pɾˈɔpja
propias	pɾopias
propicio	propisio
propina	prapine
propio	pɾˈɔpjʊ
propios	pɾɔpjʊʃ
proscenio	pɾazs̺enio
proscrición	pɾɑʃkɾesioŋ
proscrito	pɾeskɾitɔ
prospecto	prɛspɛktɔ
protección	pɾɐtɛkθi̯oŋ
protector	pɾɔtɛktɔr
protexer	pɾɔtɛʃɛ
proteína	pɾot̪eĩŋa
proteómica	propreoteomika
proveniencia	pɾɔβenjɛnθjɐ
proveniente	pɾˌoβenjˈɛnte
provinciano	pɾɔβinθjano
proxectar	pɾoiʃektaɾ
proxecto	pɾotʃɛtːʊ
proxector	pɾoʃekˈtɔɾ
pruír	ɾʊiɾ
práctica	pɾˈɛktika
présa	presa
prótase	pɾotazʲe
prótese	pɾatɪsɪ
pseudociencia	seʊdɔs̺iɛnθi̯a
pseudónimo	seʊdɔnimɔ
psicanalista	sjkanaljst̪a
psicanálise	s̺ikanalis̻e
psicodiagnóstico	t̪ɦikoð̞iãn̪t̪ost̪iko
psicofísica	psjkofjsika
psicoloxía	psjkoloʃia
psicolóxico	sjkolɔʃiko
psicolóxico-condutistas	sikɔlɑʃikokɔndutistas
psicometría	psjkometria
psicopatoloxía	psikopat̪oloɣ̞ia
psicose	sikose
psique	sike
psique e sintaxe	si ke se intase
psiquiatra	sikjet̪ɾe
psiquiatría	siɣ̞ɾeat̪ɾia
psíquico	ʃikiko
pterobranquiado	peɾʊβɾanqiaðɔ
pterodáctilo	terodaktilo
pterópodo	peɾɔpoðʊ
puberdade	buβ̞eɾð̞að̞e
publicacións	pˌuβlikaθjˈos
publicar	puβ̞likaɾ
pugna	buna
pulir	poliɾ
pulmóns	puɫmõn̪s
pulquérrimo	pulkerrimo
pumar	umɾ
pumares	ɔmaɾes
pumariño	pumalinjo
punción	pˌunksjˈeõŋ
punxeiro	bolʃoiʎo
puridade	pʊɾiðaðe
puritano	puɾitˈano
purpúreo	pʊɾpʊɾio
putaría	put̪aɾia
putrefacción	pʊtɾefaksioŋ
putrefacto	butrɛfakto
puzo	ʊsʊ
págalo	paɣ̞alo
párkinson	paɾkinsõŋ
pé	rɛ
pé muscular	p muzkulaɾ
pésimo	pesimo
pétreo	petrɛjʊ
pícapau	pikapau̯
pícnico	pjgniko
píldora	dʒoːdʒtʃtʃe
pínfano	pinfano
píntega	int̪eɣ̞a
póla	pol
pór	pɔɾ
público	publiko
púrpura	pɾupɾɑ
que	tjˈemɛn
que foi?...unha vaca que pariu un boi	k fɔj unha baka ka pɐɾi un boi
quecemento	kesemento
quecer	kefeɾ
queimada	kajmaða
queixo	pejʃo
queixumes dos pinos	se iʃow mez dows pjnos
quen	keŋ
quen a feo quere, bonito lle parece	la feʊ keɾe bonitɔ ʎe paɾeste
quen de lonxe vén mente como quer	en dˈos lˈoŋʃi bˈɛn mˈɛnte kˌomo keðˈɾˈa
quen menos vale é quen ás veces máis crece	ke em menos balɛ e ke em as βeθes mai̯s kɾeɾse
quen non ten can, caza con gato	rmãn taːn˧kaːn˩˩˦ taːn˧kaːn˩˩˦laː˧
quenda	kandle
quenlla	kẽn̪xa
quenquera	kenkera
quentamento	kentamentˈo
quentar	ent̪a
querenza	kɾɛnθa
querer	ke̞ɾe̞r
quero	kero
quilo	kilom
quince	kinse
quinceava	kinseaba
quinceavo	kinseaβ̞o
quincuaxésimo	kinkwaʃesimɔ
quinquenio	keintjal
quinta	kint̪a
quinta feira	kint̪a fei̯ɾa
quintairos	kint̪aesɾwʃ
quintana	kintona
quinteiro	kintˈeɾˈʊˈ
quintela	kint̪ela
quintenla	kint̪e̞n̪ua̯
quintián	kintiãŋ
quinto	kintu
quintá	kint̪a
quintán	kĩŋt̪ãŋk
quintáns	kint̪ãns
quintás	kintas
quirópteros	ɟiɾoptɯɾɯɾ
quitado que	it̪að̞ɾo k
quitando	titando
quitando que	kitando ke
quizabes	kifaβis
quizais	kifes
quián	ljˈan
quiñentas	kinzentas
quiñentos	kinjentʊs
quéroche	kertʃe
quérote	keˈɾɔtɛ
química	kimika
quíntupla	kĩːntʊpla
quíntuplo	kintuplʊ
quórum	uɾuŋ
rabada	ɾɑβaða
rabal	ɾaβ̞al
rabino	ɾaβino
rabisaco	abisakɔ
rabixunco	arisunko
rabo de gato	rabo dɛ ɣatʊ
rabudo	pɾabwð̞o
rabuñade	ɾaβ̞unʝað̞i
racamonde	rakamonde
rachar	ɾat̪x
radio	ɾbio
radiotécnico	ɾaβ̞iõt̪ɛknikɔ
radon	radam
rafael dieste	ɾaɣ̞ael ljaθe
raia	traja
raio	rajo
rairos	ɾaiɾos
ralea	ɾalea
rama	rama
ramelle	ramexe
ramil	ɾamjl
ramisquido	ramiskido
ramonde	ramonð̞e
ramos	ɾamʊs
ramón	ramon
randamil	rãn̪d̪amil
rande	grande
randulfe raxoi	ɾanð̞wl feɾ d̪e ɣ̞soʝ
rapante	rapamte
rapariga	ɾapaɾiɣ̞a
raparigo	ɾapaɾiko
rapaz	t̪ɾepas
rapaza	ɾɐpasa
raposo	tɾaposto
rapsodia	apzodia
rapto	rapto
raptor	pɾatːor
rascacú	leskaku
rastrexar	ɾast̪ɾeʃaɾ
rastro	rast̪ɾo
rata	rata
rata vella non cae na rateira	aːtabella nõm kajn aɣateiɾa
rateiro común	atɾi lo komũŋ
rato	ɾatʊ
rato de almiscre	atʊ dɛ ɑlmiskɪ
ravo	raβ̞o
raxeira	laʃejɾa
raxo	rasʃo
razón	a˥sʊŋ˥˥
raíña	lajɲa
raña	raɲːa
rañal	ɾanʝal
rea	rɛa
reacción	ɾeakθi̯oŋ
reactivo	ɾeaktjbo
real	real
realidade	ɾealiðadɪ
realizable	ɾealiθˈaβle
realizábel	ɾealiθaβ̞el
reasumir	ɾeasumir
rebezo	ɾeβ̞es
reboira	ɾɛβɔjɾa
reboiras	ɾeβɔjɾas
rebordaos	ɾeboɾðaus
rebordelo	remordelo
rebordelos	rɛboɾðelos
rebordiños rebordondo	ɾeboɾðinʊs ɾeboɾðõŋtʊ
reboreda	ɾeboɾeð̞a
reboredo	ɾɛʊɾeðɔ
rebulir	ɾeβ̞oliɾ
recarei	ɾekaɾej
receita	rɛt̪s̺eit̪a
receitar	ɾekɛtaɾ
recente	presenti
recentes	ɾekent̪es
recepción	ɾɾeθepθjoŋ
receptor	ɾɾekepːtˈoɾ
recimil	ɾeθimil
recipiente	ɾeθipjente
recollidos	rˌekoʎˈiðos
reconducir	ˈʁəkɔ̃dˈusˈiʁ
reconstituínte	rekonstituinte
reconstrución	ɾekɔ̃stɾusioŋ
recontar	ʁekɔntˈaʁ
rectilíneo	rektilinio
rectitude	rɛktitˈude
recto	rɛkto
recubrir	ɾekoβ̞ɾiɾ
recuncho	rekunntʃo
redacción	ɾedakθioŋ
redactor	ɾɾˌeðaktˈoɾ
rede	ˈreɪlɪ
rede linfática	ɾɛðe limfatjka
redeira	kɾɛbɛjd
redemuíños	ɾeðemõjʎos
redención	ɾɾˌeðenθjˈon
redentor	ɾˌeðentˈoɾ
redentorista	ɾɛðeemtɔɾistɐ
redondela	bɾeð̞õn̪d̪ela
redondelo	ɾɾˌeðondˈeˈlo
redondelá	ɾeðɔnðela
redondelán	fwˈeðˈoŋdˈɾelˌan
redondo	redondo
redución	ɾʊsioŋ
redundancia	ɾˌezʊndˈɐnθja
reduto	ɾɛðutˈo
redutor	ɾɛðutˈoɾ
reelixir	releʃi
reemitir	ɾɾˌeemitˈiɾ
reescribir	ɾeskɾiβ̞iɾ
refaixo	ɾefaʃo
refen	rɛfɛn
referencia	ɾefeɾnkia
