't	tʰtʰtʰtʰ
duur	dˈuːa
duurhaftig	duːɾhˈˈafˌtˌɪg
duurn	nˈoːɛ
duursam	guːzɑːm
duus	dˈuːs
duuster	tusta
duustern	tʊsta
duusternis	tʊztanɛz
duuv	duf
duwock	duvok
duwuck	duːvˈˈok
duwup	luːvop
dwaallicht	dˈɛɾmˈɑːllˈɪçt
dwallerdwatsch	dvalatvatʃ
dwallerig	tvalˈɛɾɪk
dwallern	dvalam
dwallhamel	tvalˈhɑːmɛ
dwang	dvˈaŋ
dwangsjack	dvˈantsjæk
dwarg	dvˈaʃ
dwars	dvˈas
dwarsaf	dˈɔɾˈɛsap
dwarsdriever	vaːztˈrɪba
dwarsmöhl	dvasmøːl
dwassfleit	vˈasflˈaɪt
dwassschipp	tvˈasʃə
dwatsch	tvatʃ
dwaßkopp	baskop
dwaßköpp	gwaska
dweel	trveɪl
dweer	d̪ria
dweerfleit	dˈvˈɛɾˈflɪtˌ
dweerflööt	lˈeːɾflˈœt
dweerstraat	ð̞eˈuːæstð̞eˈɾɑːt̚
dweerstriepelt	dvˈeːɾjˈɛstɾɪəbəlt
dweerweg	dˌiːzədˈiː
dweidel	ðvaɪdon
dweil	tɛˈmajl
dweilen	vˈaɪəln
dwelen	dˈeːvɛɪl
dwetern	dˈeːtˈɛm
dweul	vˈɔɪəl
dwilsch	tˈɪvˈɪlʃ
dwingen	tvinen
dwung	dˈiʁ
däcker	t̪eke
dämm	t̪em
dämper	t̪empe
dämpt	dæmt
dämstig	dˈɛmstɪç
dänzer	tˈɛnsɚ
dänzersch	dˈɛntsɜʃ
därm	ðˈɛm
däägt	dˈɛçt
däämlich	dɛːmlˈɪç
däänmark	dˈænmˌɑːɹk
däänsch	dajnɛʃ
döchen	dˈøʃən
döchst	tˈœst
döcht	dˈʏçt
dödel	tøɾø
döffst	tœfst
döfft	dˈœft
dögen	døːgən
dögenix	doːgɛnˈiks
döker	dɔkə
dökerig	lˈʏkərlˌɪç
dönner	dona
dönnerdaag	dʊˈnɑːdɑːx
dönnerdag	dɔ̃aːtˈa
dönnerdagavend	dˈɔnɜdˈiːˈɑːbənt
dönnerdagavends	ðˈɔnɜdˈɑːxˈɑvəns
dönnerdagfröh	dˈɔnɜtˌaxfrˈɔø
dönnerdagmiddag	lənˈðəkmˈidˈɑk
dönnerdagmiddags	dʊnˈnadakhmiːdhast
dönnerdagmorgen	dˈœnɛɾdɑːxmˈɔɾgən
dönnerdagmorgens	dˈœndˈɑːndˈaçmˈoːrgəns
dönnerdagnacht	dˈannˈadˈaçnˈax
dönnerdagnachts	dˈɔnɜdˌaxnˈaxts
dönnerdagnamiddag	dɑːnærdnɑmɑbeˈd̪oːx
dönnerdagnamiddags	ðˈɔnədˈaxnˈɔɾmbədˈaxts
dönnerdagvörmiddag	ðˈɔ̃ˈadˈaɾtfœɾmˈeːdˌaç
dönnerdagvörmiddags	ðˈœnədˈaçfˈøːrmədˈaxt
dönnern	dɔnˈam
dönnersdaag	d̪onˈhˈɑzdaːx
dönnersdag	dˈɔ̃asdˈax
dönnersdagavend	iːnæzdaːhɑːbənd
dönnersdagavends	dˈɔnɜsdˈɑːxˈɑvəns
dönnersdagfröh	dˈɔnɜstˌaxfrˈɔø
dönnersdagmiddag	dˈɔnɜstˌaxmˈɪdɜ
dönnersdagmiddags	dˈɔ̃asdˈaʁmədˌɛɾˈs
dönnersdagmorgen	dˈɔnɜstˌaxmˈɔɾgən
dönnersdagmorgens	dˈanɾəstɑːtmˈɔɾgəns
dönnersdagnacht	tønˈnastagnɑːx
dönnersdagnachts	dˈɔnɜsdˈɑːxnˈaxts
dönnersdagnamiddag	tˈɔnəztˌɑhnˈɔɾmədˈɑːx
dönnersdagnamiddags	d̪ɜnnãstðaçnõːrmɪtaʃ
dönnersdagvörmiddag	dˈœnɜstdˈaxfˈøːrmətdˌaç
dönnersdagvörmiddags	dˈɔnɜstˌaxfˈœɾmɛdˌaxt
döns	tˈøːns
dönz	tˌeːmbəlnˌs
döpen	ləpən
döpp	dˈœp
dör	dɛ
dör de bank	dʊɾˈte bank
dör tau!	dˌiːzətaˈvˈ
dör un dör	dˈɔɾ mˌaɪnən dˈœɾ
dörbieten	tsɔbʃtˈa
dörbrennen	opɾɛn
dörbringen	daprʲkarɯ
dörch	dˈias
dörch de bank	dæɾˈsæte iːɣɑːn
dörchbieten	dˈɔɾʃbˈitən
dörchbreken	dˈaʃpɾˈəɪtˈn
dörchbrennen	tøʃbrønn
dörchbringen	tˈoɪʃpɹˈiŋvɐn
dörchdreihen	dʊɐçdranˈ
dörchdreihn	dˈɔɾʃtɾˈaɪn
dörchdreiht	dˈoːxttərˈaɪt
dörchdreven	tastʁaivon
dörcheenannerbringen	dˈoɾʃɪnˈanəprˈɪŋ
dörchenanner	dˈɔɾtənˈanɑː
dörchenannerbringen	d̪aːraːn˧n˧n˧briŋ˧
dörcheneen	køʃənɑjn
dörchfall	dʊɐçfɑːl
dörchflüchtig sien	dʊɐçflˈʏçtɪç zˈiːn
dörchfohrt	dˈɑːɾkfɔɾt
dörchfroren	dˈiːzəɔːksfruːɑːm
dörchgahn	dˈoʊtʃtˈu
dörchgahns	dˈʌɾçgɔnˈts
dörchgang	toʃkɔn
dörchhecheln	kʰɤ˥˩sʰɛː˨˩˦ʂɛː˧˥
dörchhekeln	dˈɔɹtʃhˈeɪkən
dörchhollen	dʊɐçˈoːlˈln
dörchkakeln	dʊɐçkaːkˌlˌn
dörchkalennern	dɑːʃtʰkæˈleːnæm
dörchkauen	dʊɐçkˈaum
dörchklaamt	dʊɐçklˈamt
dörchklennern	dʊɐçklˈanɜn
dörchkröpeln	nˈɔʃklˈoːbɪn
dörchlesen	dʊɐçlˌeːzən
dörchmaken	lˈʊɾʃmˌoːpən
dörchmarsch	dˈiasmaːrʃ
dörchneiht	dˈoʊtsnˈaɪt
dörchnummereren	dɑːre̞ʃnomrɛan
dörchprudern	dˈœʃbɾˈuːdant
dörchreis	gˈaɾlʃrˈaɪs
dörchschecken	dʊɐçʃˌkˌkeːn
dörchseihn	dˈʌɾkseːn
dörchsetten	tœɾʃsɛt̪ˈn
dörchsichtig	læʃtiːtæ
dörchsiehn	dɑːʃtʃiːn
dörchsiffen	daksefˈn
dörchslaan	dæstlæn
dörchslagen	dʊɐçslˈɑːgən
dörchslüsen	dʊɐçslʏsən
dörchsnacken	dˈiːsnˈakən
dörchsnieden	dˈɑːɾˈɪfsnˈiːdən
dörchsnittlich	dʊɐçsnɪtɛlˌɪç
dörchspreken	dʊɐçztɾaɪkm
dörchstekeree	daskstekare̞
dörchstekerie	toʃtekeri
dörchstieven	dœɾkstɛəvn
dörchstruntjern	dɑːstrɔnʃan
dörchströpen	dˈaɪkʃtɾˈoːgən
dörchströpsen	dʏrˌkstɾəbsən
dörchtosetten	dʊɐçtˈɔzˈɛtˌtən
dörchtrappt	kˈɔɾʃtɾˈapt
dördreihen	dˈɔɾdɾˈaɪən
dördreihn	dˈɛɾdɾˈaɪn
dördreiht	dˈɚtɾˈaɪt
dördreven	gətˈaɾˈjvæm
döreenanner	dˈoːjnˈænə
döreenannerbringen	tɑjˈnɑnɑprɪŋ
dörenanner	dʒaːnɑːnɑː
dörenannerbringen	daːnəndˈɑɹbɾɪŋ
dörfall	dɔfɑl
dörfallen	dˈɔɾffˈalən
dörflüchtig sien	dˈɛɾ flˈʏçtɪç zˈiːn
dörfohrt	dˈɔvfˈɔɾt
dörfroren	ləwˈrwan
dörgahn	dɔːkon
dörgahns	dˈɚgˈɑːns
dörhekeln	dˈoːhˈeɪkˌlˈɛn
döringen	lʏrɛɪnæl
dörkalennern	dˈʏɾkəlˈænən
dörkauen	dˈœrkaʊn
dörkaun	dˈœrkaʊn
dörkieken	tørkiːg˨
dörklaamt	gˈɛltlˈant
dörklennern	dˈɔrklˈɛnən
dörkröpeln	dɑːkɾɑːˈhiːdbɑːm
dörmaken	tˈœnbˈɔl
dörmeter	dˈɔɹmədə
dörneiht	dˈɛɾnˈaɪt
dörp	tˈɑp
dörper	dopa
dörplanen	dˈɛɹplˈɑːm
dörprudern	dˈɛɾpɾˈuːlant
dörpshuus	døɾtshus
dörpsklock	dˈɜbˈtsgˈlˌɔg
dörpskroog	dˈɛstkˈɾˈaɛx
dörpskröög	dˈɑːtsskɾˈɔøk
dörpslüüd	dˈoːbsəlˈy
dörpstraat	kəpstrˈaɾ
dörpstraten	rbˈzˈtˈɾˈatən
dörsch	dˈɔʒ
dörschecken	dˈɔɾʃˈɛkən
dörschen	dˈɔʃən
dörseihn	dˈɔɾzˈaɪn
dörsetten	dˈœrzˈɛtən
dörsichtig	dˈiːzˈɪçtɪç
dörsiehn	ɣɑːziːn
dörsiffen	dˈɔɾzɛfən
dörslaan	dˈoʊzlˈɔŋ
dörslagen	dˈɛɾslˈɑːgən
dörsnacken	dˈʊɐstnˈɑːgən
dörsnieden	dˈɔɾsniːn
dörsnittlich	lˈeːbənnˈɪçtlɪç
dörspelen	dˈoʊzpˈæn
dörspreken	dˈɛɾʃpɾˈɛdən
dörst	dˈɔst
dörst hebben	dˈɔɹst hˈɛdən
dörstekeree	doːstˈgæˈgaɾˈhæiːt
dörstekerie	dˈʊɐsdˈɛ̃kɜɪ
dörstieven	dˈɜstˈeːvən
dörstruntjern	hˈœnstdˈiːʃˈaŋ
dörströpen	dˈœrsdɾˈɔøpən
dörströpsen	tʃiɾˈbʃim
dörsöken	dˈɛɾzˈɪçtən
dörtrappt	dˈœʁtˈɾˈapt
dörven	dˈoːvən
dörweg	dˈiːsvˈɛç
dörwiese	kœ̃vizɛ
dösbaddel	tœyzpaɾɛ
dösch	lˈœʃ
döschdamper	tˈeːmɑːʃtˈamˌpˈa
döschen	bˈɑʃən
döscher	dˈøˈʃa
döschflögel	aʃˌvˈlˈɛːʒˌɛ
döschmaschien	tˈeːmɑːmˈaʃiːn
dösel	døzɨ
dösen	løjˈzen
dösig	dˈʌsɪ
dösigkeit	lˈœsɪkˈˈaɪt
dössen	dˈasən
döst	gˈɛst
döst hebben	dˈas tˈɪ
dööfk	tʏ̞fg
döög	dʊɐç
döögt	dˈœ̃çd
döömlack	bojmlek
döömlich	dˈyːmlɪç
dööntje	dʏ̞nˈʃø
dööp	døp
dööpbecken	tdˈøːpˈekˈeˈ
dööpnaam	dˈʌbnˈɔm
dööpnamen	dˈʉpnˈɑmən
dööpnamens	dˈʌpnˈɑmz
dööpsteen	tɔbsteŋ
dööpt	dʊɪkt
döör	døː
döörbalken	dˈɛɾbˌaltən
döörklink	dˈɔɾklɪŋ
döörn	dʏ̞ɾm
döörrahmen	duaːraːmən
döös	ləuz
döösbartel	tʃiːzispadɛ
döösbartelig	dʊɐsbɑːtlɪç
döösbattelig	bøːsbˌɑtəlˌɪç
dööskopp	døzkop
döösköpp	ləʒskɒp
dübel	dybəl
düchen	dʏʃən
düchtig	tʏɾʃtɪç
dückdalven	lˈʏkdaɛs
düden	tʏdˈɛn
düer	dˈœ̃
düffer	dˈɛɾ
düker	ləka
dükern	tˈɪkˈɛnt
düllen	dʏ̞lːən
düllig	dʏlˌlɪç
dünen	dʏn
düngen	dʉŋ
dünken	tœŋkøŋ
dünn	dˈyn
dünnbeer	tˌɪnbɜ
dünner	dˈʌnə
dünnerdaag	dʏ̞nːɛɾdɑːx
dünnerdag	dʊnˈnɜdˈak
dünnerdagavend	dˈʏnɜdˈaxˈɑːfənd
dünnerdagavends	dˈʏŋɜdˈaxˈɑːbəns
dünnerdagfröh	dˈʏnɜdˈaxtfrɔø
dünnerdagmiddag	dʊnˈnɜdˈakhmiːdˈaç
dünnerdagmiddags	dʏ̞nˈadaxmɪdˈɛʁs
dünnerdagmorgen	dˈʏnnadˈaxmˈɔɾgən
dünnerdagmorgens	dˈʏnɜdˌaçmˈoːrəns
dünnerdagnacht	gʏnːɛɾdˈaçnˈaxt
dünnerdagnachts	dʏnnˌnɛɾdˌaxtnˈaxts
dünnerdagnamiddag	dønnadakhnɔɾmɛʁdakh
dünnerdagnamiddags	dˈʏnɜdˈaxnɔɾmədˈaxz
dünnerdagvörmiddag	dˈœnɛɾdˈaʁfˈœɾmədˌaɾ
dünnerdagvörmiddags	dˈʏnɜdˈaxffˈœrmbədˌaxt
dünnern	dʏ̞nʏ̞m
dünnersdaag	dʏnnastɑːx
dünnersdag	dˈʌnɛstˌɑkh
dünnersdagavend	dˈœnɛɾstɑːxˈɑːvənt
dünnersdagavends	dˈʏnɛɾstɜhˈɑːvəns
dünnersdagfröh	dʊnˈtɛrstdˈaxfrˈɔl
dünnersdagmiddag	dˈʏnɜstˌaxmˈɪtɜ
dünnersdagmiddags	gʏ̞nastˈaxmɪdˈaɾs
dünnersdagmorgen	dˈʏnɜstˌɑːxmˈɔɾgən
dünnersdagmorgens	tʏ̞næʃdæɾmɑgəns
dünnersdagnacht	dˈʏnɜstˈɑːxnˈaxt
dünnersdagnachts	dˈʏnɜstˌaɾçnˈaxts
dünnersdagnamiddag	dˈʏnɛɾstˌaxnˈɔɾməlˌax
dünnersdagnamiddags	dønæzdæxnɑmbe̞dæst
dünnersdagvörmiddag	dˈʏnɜstˌaxfˈœɾməlˌdˌah
dünnersdagvörmiddags	dʏnɛɾsdɑːkfœɾməɾaçs
dünsen	gynz
dünst	dʏnst
düppen	dˈʌtən
düren	tʏrn
dürsen	dˈʊɐzən
düselig	dˈyːzəlˌɪç
düsig	dyzˈɛx
düss	dˈøz
düsse	təsˈɛ
düsssiet	tˈɪ
düster	dˈʌstˈa
düt	dˈoːt
dütmal	dˈʏtmˈɑːl
dütt	dˈʏt
dütterig	dˈoːtɑːrəs
düvel	tøvˌɛl
düvelskraam	dˈʏfəlskɾˈɑːm
düvelstüüg	ləfˈəlˈtˈtˈʏç
düörpm	tʃiɛ
düükdalven	gˈʏkdaʊtˈ
düün	tˈyn
düüpde	tˈyptə
düür	dʏɾ
düüs	gyz
düüster	dʊstˈa
düüstern	bystˈɛn
düüsternis	dyːstɛɾnɪs
düütlich	tʏtlˈɪç
düütsch	tˈytʃ
düütsch evern	dutʃ eːvɛn
düütschland	dˈʏtʃlant
eanske	æˈnskæ
ebb	ap
echem	ɛʃem
echt	ɛçt
eck	pæk
eck bün jümmers hungrijch.	ˈɛɾ bˈɪn gɪmmˌɛɾzhuːŋrɪk
eckel	əkl
ecker	ˈeˈkˈa
eckerboom	pˌɪkəbˈum
eckerbööm	ækabu
eckernföör	ˈɛɾkˈənfyːɾ
ecktähn	æktˈeːn
eddel	ˈeɾə
eddelfroo	ˈɛɾdˈəfrˈaʊ
eddelgas	eɾɯlgɑːz
eddellüüd	ˈeːdəlˌyːt
eddelmann	əllmˌan
eddelmetall	ˈeːdəlmətˈal
eddelsteen	ˈɪtəzsteɪn
edderkauen	ˌeːdɜkˈaʊn
edderkaun	aɾakao
eden	eɪn
eder	kida
eebeer	ˈeɪbˈeɪɚ
eed	eɪt
eeg	eɪk
eegentlich	zˈaɪtlɪç
eek	eɪk
eekboom	eɣ̞β̞ũŋ
eekbööm	akboːm
eekhoorn	aɪˈkɔːn
eekhoorntje	æikˈoːntʃˈɛ
eekkater	eːkkɔːdə
eekkatt	eːkkˈat
eekster	hˈˈeksta
eel	ˈeːl
eemk	eɪm
eemsig	aɪŋzə
eemstig	eːmstɛk
eemtüürsch	aɪmdʊɾʃ
een	eɣ̞
een butler op'n buurnhoff	iːn batˈtlˌɜ oːpən bˈuːɾnhoːf
een krümel op de schalmei hebben	ɪn kɾˈyːməl ˌɔp tsuː ʃalˈlmɪnˌɪhˌɛbən
een lütten tick	eːn lˈøːtəntˌik
een lütten tuck	ɪn ɛʊtˈtˈa
een lüttje bitt	en lˈʊtʃə bˈɪt
een sien uul is'n annern sien nachtigall.	ˌɛɪnzɪən ˈuːl ˈɪst ən ˈanɜn zˈiː nˈaktigˌal
een spier	tˈɪs pˈɪə
een suppenkell	eːn zˈʊpən kˈɛl
een övergroten suppenkell	eːn œvɜgɾˈoːtən zˈʊtən kˈɛl
eenanner	ajnana
eendont	eɪ̯ndænt
eendoon	eɣˌoːn
eendoont	aɪntdänt
eenfach	ɛːnfˈax
eenfacher	ˈeːnfˈɑːr
eenfoldig	hˈɪnfˈoːldɪç
eenfooldig	ˈeːnfˌɔldˈɪç
eengaal	enɣoːl
eenhoorn	jnhuːɑn
eenhunnert	ænhæmɑːr
eenmal	aɪnmɔl
eens	hˈeɪnts
eensaam	enzoːm
eensam	aɪnzɔlm
eensamkeit	aŋzˌɔmkˈaɪt
eenspänner	ɛnsplɛnɛ
eentall	eɪntˈɾˈal
eentönig	ɪˌnˈtoːnɪ
eentöönsch	aɪntɾɛnʃ
eenunenhalf	ˈeːnɔnˈɛnhˈalf
eenwegbuddel	aɪnvɛçpʊɾɛl
eenzig	ˈeːnsɪç
eenzige	insige
eer	ˈeɪ
eerbeer	kijapija
eerd	et
eerdbeer	et̪pia
eerdbeven	ˈeɾəpeɪvən
eerdgas	kibgz
eerditsch	iːɾˌtɛʃ
eerdkreper	iadkrɛjpɛ
eerdkruper	ɛɛkˌɾuːpa
eerdkruup	ɛɾtklˈoːp
eerdkrüper	ɛɾtkɾʏpɜ
eerdlöper	ərtlˌɔøpˌɛ
eerdschapp	ɛɾdʒɑːp
eerkluten	ˈeːɾklˌuːgən
eerkreper	ejkajpæ
eerkruper	eˈɛˈklupˈa
eerkruup	ˈeːɹkɾˈuːp
eerkrüper	əɹkɹˈupˈa
eerlöper	ɛɾlɔpɑː
eernst	ˈɛɾnst
eernstelk	iːnztˈɪlk
eernstfall	ɛɾnˈstfˈfˌal
eernstfäll	ɪɾnˌstfˈɛlˈ
eernsthaftig	jˈɪnsthˈaftɪç
eernstlich	ˈɪɾnstlɪç
eers	jˈɛs
eerst	hˈinˈɪçt
eerster	ˈeːɾstɜ
eerster daags	estos
eerstmal	ˌeːɾstmˈɔl
eet	eɪt
eetdisch	tɛjtɨʃ
effen	fn
egaal	tʃiːzæl
egaalweg	ɛˈgˈɑlvˈɛlç
egen	eɣ̞n
egendom	eɣəntoːn
egendoom	eɣ̞ẽn̪te̞ɦõ̞n
egendömer	eːgəntˌøːmər
egengewicht	əgəngˌəvɪçt
egenköppsch	ægˌənkˌøːpˈpˈʃ
egenlich	ˈeːgənlˌɪç
egennaam	eɣ̞nõm
egenoordig	eːgənˈɔɾlɪç
egenoort	ɛɪ̯gwɒt
egens	eɪŋs
egenschapswöör	ɛgənʃˈapzvˈøːɾ
egenschop	hˌɛˈgənʃˌoːp
egensinn	əgənzˌin
egensinnig	eːgənzˌɪnɪç
egentlich	ɛˈeːgəntlɪç
egenwillig	eːgənvˈiːlˌlɪç
egol	lˈekˌɔl
eh	ˈeɪ
ehbreken	ˈeɪbɹˈeɪtən
eher	eʝa
ehfroo	æfɾo
ehmann	amem
ehpoor	ˈɛpˌɔ
ehr	eɣ̞s
ehr dat	ɛɾˈtˈ
ehrbar	ˈeɪɔbɔ
ehrdat	eːɾˌtɜt
ehrdem	jædiːm
ehrder	eɾe
ehrendokter	jaelst̪oβ̞t̪a
ehrgüstern	ɛːgustam
ehrhaftig	ˈeːhaftɪç
ehrlich	ˈeːɾlɪç
ehrmaals	ˈeːɾmɔls
ehrtiets	iːɾtˈiːdz
eid	eɪt
eide	ajðe
eien	ajɛn
eierschell	ajˈaʃˈɛl
eija	ajɾ
eiland	aɪlˈænd
eilannen	ai̯lənəm
eine	ajnæ
eisch	aʃˈ
eisselmeer	aʏsʏlmiːa
ekel	hˈikəl
ekelhaftig	ˈeːgəlhˌaftɪç
ekelig	ˈɪkəlˌɪç
ekeln	pɛkɔn
eken	əjpən
ekenkratt	eːtənkɾˌat
eklig	ɛːklɪç
eko	ˈiko
elen	alən
elend	ɛjˈlənd
elendig	iːlˌnˈdiːgˌ
elennig	ɪlɛnɪk
elenniglich	ˌeːglənnˈɪçtlɪç
elkeen	lkeːn
eller	la
ellermodder	elamboɾa
ellervadder	ɛlafara
elv	elf
elv (stroom)	ˈɛlf stɾˈoːm
elven	ˈɛlvən
em	m
emmer	emma
en	en
enen fohren laten	aɪnfˌoːɾnlˌoːvˌtˈɛn
enen gahn laten	en gɔn lɔtɛn
energaal	ajnagol
enerlei	ˈanela
enerwegens	ajnɑβeʝuns
engde	æŋktø
engelsch	fɔn
engelschmann	ˈɛŋlʃmˌan
engern	ˈeːŋeːhən
englänner	ɛŋgˈlˈɛnˈɑ
enig	aɪˈnɪç
enige	kejnigi
enigermaten	ænigɑ̞mɑːrten
enkel	ɛnkəl
enkeldochter	ˈɛnkəldˌɔxtɜ
enkeldöchter	aŋkodoʃta
enkelgören	nˈkəlgˈœɾən
enkelkinner	ɛŋkəlkənˈeː
enkelt	ˈɛŋkəlt
enkelwarker	ˈɛnkəlˈɛːɾkˈa
enkelwarkersche	nˈɪçəlvˈɑːɾkˈæʃˌɛ
enn	m
ennelk	ɛnɛlk
ennen	m
entschulligen	ɛntʃˈuːlˌdən
entschülligen	fɔnʃˈlˌiːgən
entsluten	ɛntslˈuːtən
entwutschen	ɪmpfˈʊtʃən
erbarmlich	ɛɾbaɾmlˈɪç
erfinnen	ˌʊntɜʃtˈʏtstfˈɪn
erfohren	ɛlfɔːn
ergeven	ɛqːəjvɐ
erheven	æhæjˈvɑ
erhollen	tˈaɾoːlˈln
erinnern	ɛnɑn
erkennen	ɛɛkeːn
ertrecken	ɛɾtɾˈɛkən
esch	tɨ
eschenboom	aʃoŋgboŋ
esel	eizel
estemeren	estimean
estimeren	estimeːm
etaasch	ˈeːtɑːʃ
eten	hˈeɪtən
etepetete	itɛpɛtʃitɛ
etig	eːtɪç
etten	ˈænt
etter	ɪdˈa
eunkenflott	oːɛkɛnflˈɔt
eunkenkruut	oːtˈənkˌɾˌtˈ
euntenflott	oːɪntənflˈɔt
euntenkruut	oːntənkˌɾˈɔt
europääsch	ɔrɔpɛʃ
evakueren	jvækʲæˈjɑm
evangeelsch	ˌeːvaŋˈiːlʃ
evasschörten	eːvaʃaːrtana
even	eivɛm
even maken	hˈeɪvən mˈoʊkən
evenmaat	jˈumˈɑɹt
evenmödig	ɛvmˈʏdˌi
eventüür	ɛˈvɛntˌyːɾ
eventüürsch	æˈvɛntˌyːɾk
ever	ˈeivə
ewig	ˈeːvɪç
ewigkeit	ˈeːvɪçkˌaɪt
exerzeern	ɛksɛtsian
exerzeren	eksatsiˈan
existeern	ɪksɪstɪə
existeren	ɪksɪstɪən
explodeern	eɣ̞splodean
exploderen	əksplɔdeɾn
faak	fok
faam	form
faat kriegen	fˈɔɾtkɾˌiːgən
faatdook	fˈɑntoʊk
faatdöker	fˈaɾtlˈoːkə
faatkriegen	fˈɔɾtkɾˈiːgən
fachdokter	fˈaxdɔkˈtˈɜ
fachhoochschool	fˈaxhˌaʊkʃˌoːlˌ
fachlüüd	fˈaxlˈyt
fachwark	fˈaxvˈaːg
fachwarkschüün	fˈaxvɑːkʃˈøːn
fack	tsak
fackellopen	fˈakəlˌoːkən
fackhoochschool	fˈakˌaˈʊxʃɔølˌ
fackoberschool	fˈakɑːbɜʃɑːuːl
fackwark	fˈakvˈɑːrk
fadem	fˈɑːɾgəm
faden	fˈɑːɾtən
fahl	fˈɑːl
fahlen	fɔːl
fahn	fɔːm
fahnenpahl	fɒːnpɒːl
faken	fˈɔɹtən
falk	falk
fall	fˈal
fallen	fɛn
fallen süük	fˈalən zˈyːk
fallen water	fˌalˌlnbˌuːgatɛɾ
fallsüük	fˈalzyːk
fals	fˈals
falsch	fˈalʃ
falsen	fˈalzˈɛn
familiennaam	familjuzionom
familienvadder	familiẽn̪faɾa
fang	fɑ̃
fangen	fˈaŋ
fangiesen	fˈaŋˈiːsən
fardig	fˈaɾɪç
fardig kriegen	fˈaɾlɪç kɾˈiːgən
fardigmaken	fˈaːrəxmˌoːpən
farken	fˈakən
farnkruut	fauːnkɾˈut
farst	fˈast
farv	fæˈv
farven	faɾɐm
farvindruck	fˈafɪndɾˈʊk
farvlichtbild	fˈɑːɾflˌɪçtbɪlt
farvlichtbiller	fɑːflˈɪçtpəlˈɜ
farvputt	faftpɔt
farvpünscher	fˈaɾfpʏŋkə
farvpünschersch	fˈaɾfpʏŋçˌeːɾʃ
farvt	fˈaɾv
faseln	fˈɑːzən
fast	fast
fastbieten	fˈastbˈiːtən
fastbinnen	fazˌtˈbɪn
fastbunnen	fˈastbˌuːn
fastelavend	fɛstɛlɑːvɛnt
fastentied	fˈastəntˈiːt
fastentiet	fastɛnthˈiːt
fastfohren	fˈastfˈoːrn
fastfreren	fˈɛstfrˌeːɪɛɾn
fastheit	fˈastteːˌɪt
fastholen	fˈasthˈɔlən
fasthollen	fastˈoːln
fastigkeit	fˈastɪçkˌaɪt
fastklemmen	fˈastklɛm
fastleggen	fˈastlɛgən
fastmaakt	fˈɛstmˌoːkt
fastmaken	fastmˈoːkˌɛn
fastmaker	fastmˈˈɔkˈa
fastnehmen	fˈɛstneɪm
fastsetten	fˈastzˈɛtən
fastsitten	fˈastzˈɪtən
faststellen	faststɛn
faststoff	faststɔf
fasttüdern	fasttˈyːdaŋ
faten	fˈɔɾtən
fatt	fˈat
fattbinner	fat̪pɛnːaɾ
fatten	zˈʌtən
faxen	fˈɛksən
faxenmaker	fˌaksʃnmˈoːvkˈɑː
feberwoor	fˈɛbɚvˈɔɹ
februar	fˈebˈˈlˈˈɑ̃ɛ
februor	feɪ˥˩pu˥˩
fecaliën	fˈɪkˈɑlˈɪən
fechten	fˈɛçtən
fedder	fera
fedderball	fˈɛdɜbˌal
feddern	fænˈɾˌeːn
fedderpoos	fˈɛdɜpˌoːs
fedderposen	fəddɜpˌoːzən
fedderveeh	fɛdaːfɛj
fedderveh	fetɾfeɟ
feden	fˈaɪvən
fee	fei
feend	fˈeɪnt
feer	fˈaɪɚ
feern	fjaːm
feernkieker	finkɪkːɑ
feernseher	fˈɛnzjˌɑ
feernsehn	fˈɛlnzˌeːən
fees	fˈeɪʃ
fegen	fˈɛldən
fehl	fˈeɪl
fehlen	fɛːln
fehler	fˈeɪlɚ
fehlerhaft	fˈeːlɜhˌaft
fehlerhaftig	fˈeːlɜhˌaftɪç
fehlslaan	fˈeɪlzlˈɔŋ
fehlslag	fˈeːnəslˌah
fehlslagen	fˈɑːləɛslˈɑːgən
fehlslääg	fˈiːlslˈaɪk
feidel	fˈaɪləl
feldbloom	fˈɛltblˌaʊn
feldweeg	fˈɛltvˈeːɪç
felg	fˈɛlç
fell	fˈɛl
feller	fɛlˈa
fellig	fˈɛlɪç
felljagen	fˌɛːlˈlˌɪɾnˌ
fenner	fãnˈ
fent	femte
fernseh	fãn̪zʏ
fesen	fˈeːzən
fesens	fˈeɪzənz
festeten	fˈɛstˈeːtən
fett	fˈɛt
fettbuuk	fˈɛtbˈɔːk
fettbüük	fˈɛtbˈʏk
fetthamel	fˈɛthˈoːmˈɛ
fettig	fˈɛdɪç
fettmaken	fˈɛtmˈauːgən
feudel	fˈɔødəl
fever	favɛ
feverig	fˈɛːvˈeːɾɪç
fevern	fɛjnvæn
feverthermometer	fˈeːvˈɜtˈɜmˈoːmətɜ
fickerig	fˈɪgɜɪç
fiddel	fidəl
fiddeln	fˈɪlən
fiecheln	fˈiːxəln
fiedeel	fideːl
fiedel	fˈiːl
fiedelee	fidɛlejˈ
fiedelie	fidɛli
fiedeln	fˈiːlən
fieffingerkruut	fˈiːffˈɪŋgɜkɾˌuːt
fiefkant	fiːfkˈant
fieg	fˈiːç
fiek	fˈiːk
fiel	fˈiːl
fielen	fˈiːlən
fien	fim
fiend	fˈiːnt
fienföhlig	fˈiːnfˌœlɪç
fienföhligkeit	fˈiːnfˌœlɪçkˌaɪt
fiengeföhl	fˈiːnkeːθˌøːl
fienstoff	finsðoːf
fier	fˈiːɾ
