(ممتاز حسین (مصنف	multasuzɛ
بیگم	pɛːgəm
بیگم شائستہ اکرام اللہ	neˈgæn tʃˈaːɪstɑt tɪˈkɑbənvɑːnd
بیگم صاحبہ	beːgəm sɑːɦɪbaː
بیگم پورہ	beːɣ̞am puɾa
بیگم کوٹ	beːɣəmˈ kɔːɹk
بیگمات	bʲæ̀i̯gmɑt
بیگمات کے آنسو	beːgɑmɑːt keː ɑːsʊɾ
بیگن پھلی	beːgən pʰəriː
بیگناه	beːɾguːnɑh
بیگناہ	beːgunɑ
بیگناہی	beːg̞nɑːhim
بیہودگی	beːɾuːki
بیہودہ	beːɦuːdˈa
بیہودہ مذاق	beːxoːda məˈnax
بے آب	beːɑːb
بے آبروئی سے	be ˈɑɹbʁʊj se
بے آبی	beːɑːbi
بے آرامی	beː əˈɾɑːmi
بے آس	wˈi ˈɑːs
بے اثر	b ɛg
بے اجل	beː əgːl
بے احتیاطی	be ɛhtiaːti
بے اختيار	bˈeː eχfˈjɒːɾ
بے اختیار	b ɛçteˈax
بے اختیار رویا	be ʃtɪrɑːr roːja
بے اطمینانی	be ʔɪtmɨnɑːniː
بے اعتبار	beː ɛːstbaɾ
بے اعتمادی	ɛ ɛt amalˈi
بے اعتنائی برتنا	bˈe eːtənɒːj bəɹtmɒː
بے اقدار	bɪ̞ ɑktɑːr
بے انت	b ʔanp
بے انتہا دکھ	be ʔɛntɛrħadʒduʃ
بے ایمان	be̞jmæn
بے ایمانی	be̞ʔiːmaniː
بے باق	bibˈɑːk
بے باک	bɪːbɑːk
بے باک انداز	moːn ˈbɑːt ˈændˈdˈɑːs
بے باک مقرر	ʈeːbaːt bqɑrɯ
بے باکانہ انداز	beːbɑːkɑːnɑː ɑːndɑːst
بے باکیاں	beːbaːt kijəɳ
بے بس	beːbɑs
بے بس بیٹیاں	beˈtˈnˈ bˈɪt tiːnˈ
بے بس و لاچار	beːbʃʊ ləːtʃʰɑːr
بے بسی	beːbəsiː
بے بنیاد	be̞ bʊniˈɑːd
بے بنیاد الزام	beː bʊnˈɪt ʔiːnɑːm
بے بُو	bɛbˈu
بے بہا	beːbʱɑː
بے بہرہ	beː bəhˈra
بے بہرہ ہونا	beːɦrɑ huna
بے تاب	bitˈɑb
بے تامل	beːt̪aːməl
بے تاک	beːtɑːk
بے تحاشہ	beːt̪ɦɑːtʃɑː
بے ترتیب	beːtːeɾ tˈim
بے ترتیبی	bʱeːt̪ɾt̪iːvʝ
بے توجہی	beː tɑːvɑdʒʊhiːd
بے توجیہی	d tɑˈvɑj ʒoji
بے توقع	beːtoː koːˈʔ
بے توقیر ہو رہی	beːt̪aqil hoːrəiː
بے توقیری	beːt̪oːxˌiːliː
بے تول	beːtoːl
بے تکلف	beːt̪ ãmb kaŋˈluːf
بے تکلفانہ انداز	wiː tɑkl mʃɑnɑ ɑnˈd̪ɑr
بے تکلفی	pʰi˧˥
بے تکّلفی	bɾɛjtɑ kɔllufiː
بے تکے الفاظ	be tʊkɛj alfɑhɑs
بے جا	beːdʒa
بے جا تعریف	beːdʒɑː t̪ɑːɾiːt̪
بے جان	ɒhɾɒh dʒɒn
بے جبر	beːn ʒabr
بے جبری	be dʒɑbrɪ
بے جواز	biːn ɟʰʊəs
بے جوڑ پن	beːzjoːlpːan
بے جھِجَک	beː dʒidʒak
بے حد	beː ɦɑd
بے حد خراب	beːɦɑt qɑrɑːm
بے حرمتی سے	beːɦoːɾmʊt̪iː seː
بے حسی	beːɦɪsˈi
بے حیا	beː ɦɐjaː
بے حیائی	beː eːjɑːiː
بے خبر	beːxɑˈbɑr
بے خبری	d xabˈrˈi
بے خواب	vɛˈxwɑb
بے خوابی	beːxwɑːbiː
بے خود	dʊ̞jɛχʊ̞d
بے خودوں	be xudum
بے خودی	beˈxudi
بے خَوف	bɛxɔw
بے دادِ کاوش	beː dɑːd kɑːʋiʃ
بے داغ	beːdɑːx
بے دخل	be daxl
بے درد لمحے	beːrˈdʒʊ̃ɔrnʃhɪ̯
بے دردی	ʋə d̪ɾ bi
بے دریغ	bɾɛːd rex
بے دلی	beː ˈdili
بے دم بندر	jʊŋ˨˩˦joʊ˥˩˦ tt˧ʰan˧
بے دماغی	beːdi mɒriːt
بے دھڑک	beː d̪ʱəkʰ
بے راہ روی	be ɾɑh roːjiː
بے رحمی	beː rʃmi
بے رنگی	bvɪ rŋgəiː
بے روح‌	beɾu
بے روزگار	bˌeɾˈoːzgaːr
بے روزگاری	bˌeɾəʊzgˌɐɾˈi
بے رونق	beːrˈɑoːnˈɑ
بے زار رہا کرتے	biːzɑːɾ ɾəɦɑ kɪɾt̪eʔ
بے زباں	bezˈabˈɪnˈ
بے زمین کسان	beː zmẽːn kɪsɑːn
بے سرا	ˈɔː sʊɾɑː
بے سروسامان	beːʃɾoːsɑːmaːn
بے سروپا	beː ʃɾɾoːpɑ
بے سلیقہ	beː sˈlˈjˈqaaq
بے سواد	beː ˈsɑwɑn
بے سکونی	bˈeɪʃʊ kˈom
بے سہارا	beː sɑhɑːrɑh
بے شرم	beːʃarˈbˈmɑt
بے شرمی	be ʃæɾˈmiːn
بے شعور	beʃuɾ
بے شغل	beːʃaɾl
بے شمار	beʃumɑɾ
بے شمار تضادات	be ʃæmæt mæn adɑːr
بے شمار لوگ	beː ʃumɑːr loːg
بے شناخت	beʃtʃnɑq
بے شک	ɾɒˈhiʃɒt
بے صبری	be̞s̺abɾi
بے ضابطگی	beːzɑːft̪ɪgiː
بے ضرر	beː zərəb
بے عزت کرنا	be ɪzˈzæt kæɾmɑn
بے عزتی	be ʔɪzəti
بے عقل	vɨj ʔaql
بے عیب	beːˈlʊd
بے غیرت	dujæs jæˈrɑt
بے فائدہ کوشش	liːfajtokkoːʃɪsən
بے فکر	beˈfˈk
بے فکرا	be fjkra
بے فکری	beː fˈɪkri
بے قابو	biːja qaːbɫu
بے قاعدہ	beːqɑjda
بے قرار	bikroːn
بے قراری	be qɑrɑːriː
بے قرینہ	beː qɐriːnɐ
بے لاگ	blɑg
بے لباس	beːl̪ɪbɑːs
بے لزت	beːlɛzse
بے لطف	beː nˈotɾʊ
بے لوث	bəːlɑːs
بے لوث خدمات	be̞ lɑʃ xædˈmɑːt
بے لوث​	beːlɑs
بے لُطفی	b lutfj
بے لگام گھوڑا	beːlɑːlɑːm gʱoːɾɑh
بے لیاقت	βe la æqat
بے مایہ	beː mɑːjɑ
بے مثال	beː misan
بے مثال اقدامات	deːmɪsɑːl ɑqdɑmɑːr
بے مثال روایت	beːmiːtʃɑːl ɾiːʋɑːjat
بے مثال رہی	beːmiːt̪ɑːl ɾəɦiː
بے مثل	beːmˈisˈæl
بے محابا	beː mʊhɑːbɑ
بے محل	biː mɛhl
بے مددگار	beː md̪ɖgəɑːr
بے مروتی	beː muːrɑuvɑtuː
بے مزہ	beː mɑːzə
بے معنی	hemane
بے مول	beːmɔj
بے مَغَز	beː mɣɑls
بے مُروّتی	ɖeː muːrɐvutːiː
بے مِثل	beːnˈɪsn
بے مہر صبحیں	beː məhr ʃbʱeː
بے مہریِ قاتل	breː mɛhriː jɑqɑtɯl
بے میل	beːmɛl
بے نام و نمود	beː naːmɔ nɔmuːd
بے نتیجہ	beːl natiːtʃa
بے نشاں	beːnˈʃa
بے نظیر	beːnˈeˈ zˈiʁ
بے نظیر بھٹو	peːnzɾɾbʰ t̪oːʔ
بے نظیر شخص	beːn ziːr ʃxas
بے نقاب	dɛniqɑb
بے نمک	dɯgɯ nəˈmɑk
بے نوا	beː nava
بے نور	benuɾ
بے نوری	benuri
بے نیاز	be̞ niˈɑːz
بے نیازی	beː njɔːzi
بے وفا	be vˈɑfə
بے وفائی	beːʋɑːfɑːiː
بے وفاعورَت	beː ʋɔfɑː ɑːrɑːt
بے وقت	bewa
بے وقت موت	bɪ̞ːbɪ̞qt mot
بے وقت کی راگنی	beːʋɪxt kiː rɑːgniː
بے وقعتی	beːvoː ətiː
بے وقوف	beːvəˈguːv
بے وقوف بنا سکتا ہے	beːʋɑqʊf bənɑːsˈt̪ə eːeːʔ
بے وقوف بناتی	be fqo fˈaːranti
بے وقوفی	fʕiwːx
بے ٹھکانے ہونا	beːʈʰkoːnɛː ɦoːnɑː
بے پروا	ʋeː pəɾˈʋɑ
بے پروائی	ɖe pə ɾuɑːiː
بے پروائی سے	beːpɾʋɑːjiː seː
بے پرواہ لڑکی	ʋɛː pɾuɑː ɦlɣiː
بے پناہ	be panɑ
بے پناہ تعداد	beːpnɑːt̪əɣ̞d̪aːd̪ɑːn
بے پڑھی	ʋɪ̞pʰəɪ̞ŋ
بے چارگی	beːʔtʃɑːrgiː
بے چارہ	beːtʃɑːrɑ
بے چارے	beː tʃɑːre
بے چوں و چرا	be dʒuːn tʃɾaːn
بے چينی	beːtʃɑːniː
بے چین	bitʃe
بے چین تھے	beːtɕɛn tʰeʔ
بے چین محققین	ʔntʃaːn muħqqaqĩːn
بے چین ہونا	neːtʃɛːn ɦoːnɑːʔ
بے چینی	betʃaːjni
بے ڈول	bə doːˈn
بے ڈھنگا	ʋeː ɖʱŋaː
بے ڈھنگے	beː ɖəŋgeː
بے کار	biːɕkaːɾ
بے کسی	beːksiː
بے کفن	beːkfəl
بے کفن لاش	beːkfəlˈlɑːʃ
بے کل بناتا	biːkɐɭ bənɑːt̪ə
بے کلی	beː kəˈliː
بے کوٹھی والے	beːn koɾtʰiː waːle
بے کیفی	beˈkafi
بے گمان	beːgumɔn
بے گناہ	beːgʊnɑː
بے گناہوں	be gʊnɑː ɦoː
بے گوروکفن	beː gʊɾqəfˈɛl
بے گُناہ	beːɣ̞unɒː
بے گھر	beː gʱəɾ
بے گھری	beː gʱəriː
بے ھوش	bʃoːtʃ
بے ھوش ھونا	beˈʃɑː ʃɔnæm
بے ھوشی	beːʃɒːʃiː
بے ھوشی طاری ھونا	neːnʃoːʃiːtaːriː ɦoːnæn
بے ہنری	beː eˈʊlɾˈɪ
بے ہنگم	beːɦæŋnəm
بے ہودہ شخص	beːhoːdə ʃxs
بے ہودہ مؤقف	beːɦoːdɑː moːqaf
بے ہوش	bæˈʝoːʃ
بےآرام	beːɑːrɑːm
بےاثر	beˈɑsˈsɑr
بےاحتیاط	beɑhtiat
بےاحتیاطی	beːɛhtʃaːti
بےاختیار	beɑχtiˈjɑr
بےاختیاری	beəxtiaːriː
بےاعتدالی	bʱeːjt̪uːlaːliː
بےانتہا	tuːjˈʌŋfʷʊʔt̚bɒɫplˈeɪɚzˈweəɹɪŋbluːəndjeləˈjuːnɪfɔːmsfˈaɪtfˈɔɹðəbˈɔl
بےاولاد	ɾiːˈɑːlæd
بےایمان	beiman
بےباق	bibɑq
بےبنیاد	beːbunioːn
بےتاب	beːtɑːb
بےترتیب	beːt̪əɾkiː
بےترتیبی	beːt̪ərt̪eːbi
بےتمیذ	aɾ˧
بےتکا	brɛjtukˈa
بےجا	beːdʒɑː
بےحد	bɾiːn
بےحد تیز	beːt̪ t̪ɪz
بےحد مقبول	beːt̪ɑːn mɑqboːuːz
بےحد موزوں	beː ħatmɒzim
بےحیا	ʋeːɦɛjɑ
بےخود	bˈeːxuːd
بےخودی	bexudi
بےخون	beˈrˈaʊld
بےخیال	bexɑjɑl
بےخیالی	be̞xæjɑːliː
بےداغ	be̞dɒːɢ
بےدخلی	beːedˈaxli
بےدردی	beːd̪əɾˈdiː
بےدردی دکھائی	beːdəɾdiː diːxaiː
بےدردی سے قتل	beːɾdɪse katlʲɯ
بےدل	bˈeɪdəl
بےدم	beːd̪əm
بےذوق	ɾe̞zɒːq
بےذوقی	beezeɾkiːt
بےراہروی	beːɾɑːhɾəɪ
بےربط	bɪːrɑːb
بےرحم	beːrɛhm
بےرحم ہونا	beːrɛhem hona
بےرحمی	berahmeː
بےرحمی کرنا	beː rəɦmiː kɐɾnɐ
بےرخ	beːɾɔx
بےرخی	bɾxj
بےرنگ	vˈərˈan
بےروزگار	beːɾɔzɣaːr
بےروزگاری	beːnroːzgɑːriː
بےرونق	berɑwnɑq
بےروی	beˈtɾɑbeˈt
بےساختہ	beːst̪ɑxt̪ə
بےسروسامان	beːsɑːɾoːsɑːmɑːn
بےسمت	bˈaɪbˈasˈɛnt
بےشمار	vˈeʒumˈaɾ
بےصبر	beːsɐbːr
بےصبری	ʋɛːsbɾiː
بےعزت	beɛt
بےعزت چیز	be̞ ʃtˈɛle̞sˈɛ
بےعزّت	mul̪t̪ul̪t̪aʃuɫamalkovt̪i
بےعزّتی	lɛːp˨˩˦iuː˧˥tɤ˧˥ʂɚ˥˩ʂɚ˧˥ʂɚ˧˥ʂɚ˧˥tɤ˧˥ʐɕɚ˥˩ʂɚ˧˥muːɕjɛː˧
بےعقلی	beʔiqlj
بےعیب	bɪ̞ʲtæb
بےفِکری	bfgri
بےقائدگی	beːˈtɑːbgiːt
بےقائدہ	beːkɑjðɑ
بےقاعدگی	beːqɑːʔeːbi
بےقرار	beːqɑrɑr
بےقراری	beːqɑrɑːriː
بےقصور	bejɑqɯ̞sʊ̞r
بےلوثی	ˈoðɾəlosˈinko
بےلگام	beːladaːm
بےلگامی	bemænmæˈrɑːmiː
بےلیز	bˈælˈɪz
بےمثال	ɾɛjmɪsˈɑːn
بےمثالی	ɪ̞mɪ̞səliː
بےمرمت	beːmɪrmə
بےمرمتی	beːməˈrammaˈteː
بےمعنی	beːmaniː
بےمغز	beːnmaɣz
بےمناسبت	bemənɑsɪbæt
بےموج	bemɔɟ
بےمہار	dmɑhɑr
بےنام	beːnɑm
بےنامی	beˈnaːmi
بےنشان	beniːʃɑːn
بےنقاب	benavˈa
بےنوری	ɾɛnuːri
بےوجہ	dʒəbdʒa
بےوفا	biːeˈtofat
بےوفائی	beɾʊaferoj
بےوقت	beːwaq
بےوقوفی	beːboːkoːfiː
بےچارہ	beːdʒaːrɑh
بےچاری	bʱɪtʃʰɑːriː
بےکراں	niːqɾn
بےھوش ھونا	beˈʃɑːʃ vɑːrˈnend
بےہنگم	beːɦŋum
بےہوش	beːɾoʃ
بےہوش ہونا	beːhoːʃoːnæ
بےیار و مددگار	beː jaːroː md̪gɑːr
ت	t˨
تئیس	ɖeːz
تئیس برس	tiːs baɾas
تئیں	te̞ɢːiːn
تا آنکہ	taː ə keː tʃlas ɑːn keː
تا بہ شرق	taːb ʃɑrq
تا حشر	ta haʃru
تاؤ	dau̯
تاؤبٹ	bʱoːbʱt̪
تاؤبٹ بالا	taːbət balaː
تاؤبٹ سے کیل	gɑː bəˈt sɛ kɛːl
تائب	dɑːm
تائید	laaiːk
تائید کرنا	taːʔəd kɾəɳa
تائید کریں	taʝid kɾeː
تائید ہونا	taːʔiːd ħɔnɑ
تائیدی خطوط	tai̯liː xutuːt
تائیوانی خاندان	kʰæhæiːvɑːniː xɑːndɑːn
تاآنکہ	dˈaːtˈke
تاب	kɑːb
تابان	abim
تابانی	taːbaːnjg
تاباں	tˈɐbɐ̃ɐ̃
تابستان	taːbistɑːn
تابش	tɑːbʃ
تابش دہلوی	taːbəs diːlɪbiː
تابع	kɑːbɛ
تابع داری	taː beː daːriː
تابعات	taːbeːtˤɑːt
تابعدار	t̪aːbeːdaːr
تابعداری	tɑːbeːdɑːriː
تابعیت	qɑːbʁeiːjɛ
تابناک	kɾaːbˈnɑːk
تابند آرزو	dɑːbənd ɑːzuː
تابنده	tɑːbɪnˈdɑ
تابڑتوڑ	taːbːɑːrtoːɹ
تابکار ی	pəpˈkaːri
تابہ حشر	kɑːbɯ haʃiːr
تاتارستان	taːt̪aːrɛsˈtɑn
تاتوان	taːtwːˈan
تاثر	dast̪e̞r
تاثرات	bɑːrsæuːrɑːt
تاثرانگیز	tˈaːsˈrˈaŋɛz
تاثیر	ɦˈsɪf
تاج	dʒ
تاج رکھنا	taːj zɛrknɑ
تاج سعید	tɑːd̪ sˈtˤɑːjːd
تاج محل	t̪ɑːɾdʒməɦl
تاج پورہ	taʒdʒbˈaˈɾa
تاجر	nˈaˈgˈiɾ
تاجروں	tadʒro
تاجوری	qɑːdʒoːaːriː
تاجوں کی دنیا	t̪ɑːdʒɔː kiː ɖʊmɪjɑː
تاجک ستان	taːdʒikistɔːn
تاجکستان	tɑːˈgiksˈtɑːn
تاحال	dajæhɑj
تاحیات	kɑːhaɪ̯˧˥
تاحیات نااہل	taː ħɪːtm ʔaxl
تاخت	dˈɑːx
تاخیر	dɑːxɪl
تاخیر ہو	tɑːxjɪl boː
تادم مرگ	ta adam mərg
تادیبی	tɐˈðiːviː
تادیبی اقدامات	tɑːbɪbʰiː ɑxdɑmɑːʈ
تار	dˈaɾ
تار مار	kɑːr oːnaːr
تار مُخْبِر	taːri moqbɪr
تار مِلانا	kaːr mʊlɑnɑ
تار نَظّارَہ	taːrˈnɑːzɑːra
تار نَفَس	gɑrɪnəpəs
تار نَہ ٹُوٹْنا	taːr na kˈlˈtna
تار نِکالْنا	ɖɑːr nɪkɑlɪnɑː
تار نِکَلْنا	kaːr mɪkəlna
تار نِگَہ	kaːri nigɑh
تار والا	nˈaːrvɑːlə
تار وپُو	dorapo
تار ٹوٹے	d̪ɪɦeɾ t̪oːkeː
تار کش	tɑːr kɑʃ
تار ہونا	kar hona
تارآیا	taːrʔɑːjɑ
تارا	tara
تاراجِ	taːraːdʒ
تارتوڑْنا	kaːrt̪oːɐlna
تارخانَہ	dɑːrxɑnɑ
تاردَوڑْنا	d̪aːɾd̪aːɾ
تاردینا	taːrd̪eːne
تارشَمْع	taːrɪʃɔmɔ
تارشُعاعی	daːrʃumai
تارمِسْطَر	tajɾiːgistar
تارنَظَر	daːrˈnəzər
تاروں سے	tˈˈarˈoŋse
تاريخ مقرر	ɑːrɪx ə mqɑrraɾ
تارِ بستر	taːɾe bɪstæɾ
تارچھوڑْنا	nɑːrdʒoːˈɾɑː
تارکا بل نِکالنا	t̪ɑːɾ kə bəl nɪkɑːlnɑː
تارکین وطن	kaːrkʰiːn wat̪aːn
تارہ	kara
تاریخ	paˈri
تاریخ دان	t̪aːɾiʃt̪aːn
تاریخ طے کر لی	taːriːx qɑˈj kərli
تاریخ مقرر	taːriːh mqrb
تاریخ میں	t̪aːɾiːʃ mɛ̃ː
تاریخ نگاری	taːriːx gəɾiː
تاریخ کا اعلان	t̪ɑːriːx kə əlaːm
تاریخ کے جھروکوں	ʋəɾiːt̪ keː d̪ʱɾokɔː
تاریخچہ	tˈaliːxtɪ
تاریخی	t̪aːɾiːkʰiː
تاریخی ادب	kaːriːxiː əd̪ʱb
تاریخی اصول	taːriːħi ʔusuːb
تاریخی اعتبار	ʰw˧˥t ʂu˨˩˦ tjɛ˥˩
تاریخی اعتبار سے	kɑːɾiːkʰeː ɑːd̪bɑːɾ seː
تاریخی اہمیت	tɑːɾiːx ʔahmiːt
تاریخی جگہوں	t̪aːri xiː ʒəɣoːn
تاریخی سرزمین	taːriːxi sərzərneː
تاریخی سفر	kəɾiːɦiː ʃəpər
تاریخی مضامین	taːɾiːxiː mzɑːmiː
تاریخی مقامات	nʋɑːriːqɪ mqaaːmaːt
تاریخی یادگار	taːriːxjj ajgaːr
تاریک	taːɾiːq
تاریک شب	taːɾiː kiʃb
تاریک مکانوں	t̪aːriːq mʱiːqiaːnuː
تاریک نظری	taːriː keˈ nəzriː
تاریک پہلو	t̪aːɾiːl pəɦlʊ
تاریکئ دَوراں	dæɾjkiː dɒːæɾ
تاریکئِ زنداں	taːɾikjeːzɛntɔə
تاریکی	t̪aːɾiːkiː
تارے دکھائی دینا	t̪ɑːɾe d̪ɪkʰɑːi d̪eːnə
تارے گننا	taːre gɪnːə
تازگی	tojeke
تازگی نظر	ɒːzijh nəzr
تازہ	gɑːzə
تازہ اجزاء	qɑːzɑ ʔdzə
تازہ تر	tɑːzɑː tɑːr
تازہ ترین	tɑːzɑː t̪æˈɾiːn
تازہ ترین قرارداد	tɑːzɑː t̪əˈɾiːn qɾɑːɳɖɑːt
تازہ حوالہ	tɑːzɑː hoɑlɑ
تازہ دم	ɾɑzɑdɑm
تازہ دم ہونا	kaːza adəm hona
تازہ دھنیا	ɾɑːzɑː d̪ʱeːnjɑːʔ
تازہ رنگ	aːzaːrɑnˈdʒʉ
تازہ شمارے	tɑːzɑː ʃomɑːrɛ
تازہ میتھی	gɑːzɑː maːtiː
تازہ واقعہ	ʔɑːzɑːb ɑːxˈqɑjɑ
تازہ پانی	kɑːzɑː pɑːniː
تازہ پھل	baːzaː pəl
تازہ چھتا	nɑːzɑː tʃʰakːt̪a
تازہ کر دی	tɑːzɑː kəɾ diː
تازہ کردی	kɑːzɑː kɾdiː
تازہ گوبھی	bʱɑːzɑː gʊ bi
تازی روٹی	tɑːziː ɾɔt̪iː
تازیانہ	qɑːziːɑːnɑː
تازے پراٹھے	sɑːzi pəɾäːtʰe
تاسف شدہ	taːsso f ʃudˈa
تاسف کرنا	kɑːsav kɐrna
تاسيس	taːsˈis
تاسیس	dæɾsˈis
تاسیسات	dæstsisæt
تاش	rˈaʃ
تاش مشجر	taːh muːʃɾndʒɛ
تاشقند	tɑʁɑn
تاشہ	kaːʃaː
تاشے بجاتے	t̪ɑːɾkɪ mʒɑːt̪eː
تاكيد	ɾɑːbkiːn
تال	dɑːn
تال مکھانے	dʒɑːl makʰne
تالا	kɑɦla
تالا بندی	waːlaː banɪtʰiː
تالاب	tɪlɑːb
تالاب کا پانی	t̪əɦlɑːb kɑː pɑːniː
تالو	taɦlu
تالياں بجنے كی آواز	kaːliːə bdʒne kɪ ɑːʋɑːz
تالی	kaːliː
تالی ایک ہاتھ سے نہیں بجتی	plɑːliː əɪk hɑːs seː nəɦẽː ʋɪʃt̪iː
تالی بجانا	taːliː bdʒɑːnɑː
تالی بجنا	taːliː bdʒnɑ
تالیاں	tˌaʎˈiˌɑŋ
تالیف	kɑːlɪf
تالیفِ نسخہ	daːliː vɛnusˈra
تالیوں	palˈɛ̃o
تامل	taːmɪl
تامل زبان	taːmiːl zəbɑn
تان	gaːn
تان سین	d̪ɾˈan sˈaɪn
تانبا	tamva
تانبہ	daːmba
تانبے	ɑːnbeː
تانتا	planta
تانتابندھنا	taːtaːbanʒiː
تاندلیان والہ	taːndleːn waˈla
تاندلیاں والا	pandele an wɑlɑ
تانزانیا	dɑnˈzɑːnɪjɑ
تانپنا	bɑːbɦnɑː
تانپورہ	taːnpɔra
تانگہ	dahaŋa
تانگے والا	taːŋgə ʋənaː
تانیث	daːnˈis
تانے بانے	dane̞ bɑːne
تاوشان لی	dahaʃanlɪ
تاڑ	dɑːr
تاڑا	tɔː
تاڑلگانا	taːrlgɑːnɑ
تاڑنا	bɑːrɯnɑ
تاک	tɑːk
تاک میں رہنا	taːk miː rʰɦnɑ
تاکنا	dɑːknɑː
تاکہ	taːdkeː
تاکید	taːrkiː
تاکید کرنا	taːkʰiːb kɐɾnɐ
تاکیدی	taːkid̪i
تاہم	taːhəm
تاہم خرابی	dahəm xaˈrɑːbi
تایا	kaːjaː
تب	tɑːm
تب بھی	tɑːb d ɦeː
تب تک	tɐptɐq
تب سے	t̪ɐb seː
تبادلہ	dʒɑadʒla
تبادلۂ خیال	v baːdælɑːj xɑjɑl
تبادلے	tɑbaːdʒeʔ
تبادلے میں	t̪ɐbɑːd̪lɛ mɛ̃ː
تباہ	tɑbɑh
تباہ حال	tɐbɑː ah aːr
تباہ حالی	təbaːħ qɑːliː
تباہ وبرباد	kbɑːɦoː bɐɾbäːn
تباہ کاری	təbʱɑː kɑːriː
تباہ کاریاں	tɐbːaːh kaːriːˈɑ̃
تباہ کر دینا	tɐbɑːh kɐɾd̪eː nə
تباہ کردیتا ہے	t̪əbaːkɐɾ d̪eːt̪äː ɦɛːʔ
تباہ کرنا	tɑbaq qɑɫmɑn
تباہ کرنے	əˈbɑːʋ kɾmɛ
تباہ کن	tbɑːh ql
تباہ کن اثرات	tɪ baːh kul ʔaːsraːt
تباہ کنی	tɑː bɑː kʰonːim
تباہ ہو گئیں	tɐbˈa ɔgɐiŋ
تباہ ہونا	təbɑːh bona
تباہی	ɖɑːbäːˈhiː
تباہی مچائی	tbɑːt̪ʰiː mɐtʃɑːːiː
تباہی مچانا	tbɑːhɪ mɑtʃɑnɑː
تباہی ہو	tbɑːjiː ɦoːʔ
تبدیل صورت	t̪ɐb diːlẽː sʊt̪ɐt̪
تبدیل کردیا	t̪əd̪iːl kər ɖɪẽːʔ
تبدیل کرنا	t̪ɐb diːl kɐɾnɑː
تبدیل کرکے	t̪ɐb ɖiːl kər keː
تبدیل کیا	t̪ɐbd̪iːl kijɑ
تبدیل کیوں	t̪əbd̪iːl kiː
تبدیل ہوا	t̪ɐn̪d̪iːn ɦoːɑː
تبدیل ہوجانا	kɑːbdiːl ɦoː gɑnə
تبدیلی	dɑbdiːliːnʒ
تبدیلی اعداد	tɑːbðj ɑːdɑːn
تبدیلی لاسکتے ہیں	t̪ɐbd̪iːl laː sɐpt̪eː ɦẽːʔ
تبدیلی لانا	təbliːlɪdɑːnɑ
تبدیلی پر	kəp d̪iːliː pər
تبدیلی ہی سے	t̪əbd̪iːliː hi seː
تبدیلیاں	t̪ɐbd̪iːliːjɑː
تبرک	toːbaːrɔx
تبسم آفریں	tabasˈsɔm ˈafɾiːm
تبسّم	tˈeːmɑsˈsˈom
تبصروں	təpˈsəɾˈom
تبصرہ	ɬɑbsɯɾa
تبصرہ جات	kɾb ʃrɑː dʒɑːt̪
تبصرہ نگاری	tˈa ˈsˌraɦd vzˈɑːriː
تبصرے	təpsiːre
تبلیغ	tɑbnˈiv
تبھی	taːbhiː
تبھی بھی	t̪ɐb̥
تتلی	tɪ̞tɪ̞lɪ̞
تتیا	tsɛdɛjɔ
تتیّا	tadaja
تجارت	teːdʒaːrət
تجارت اور خوشحالی	giːɣræg ɑːr xoʃhɑːliː
تجارتی	dʒɑːrɑːt̪iː
تجارتی غرض	dʒaːrɛtj gərz
تجارتی مال	tʃiːrɪtʃ mɑːl
تجارتی مراسم	tidʒɒˈɾtiˈ iˈmɒɾˈɒsim
تجارتی مقاصد	t̪əgɑːrɑː kiː mqɑːsən
تجارتی نشان	t̪iːdʒɑːrʔət̪iː niːʃɑːn
تجارتی و کاروباری	gjɑːrt̪iː ʋə kɑːrʊbɑːri
تجاری	tʃɑːrɪiː
تجاوز	nˈʒɑːbˌus
تجاوز کرنا	tadʒaː aːbuz kəɾnə
تجاوزات کے خلاف	ɾɑːdʒɑːʋɑːzɑːt keː χɑˈrɑf
تجاویز	ðədʒɑːlɪs
تجاہل	tʃdʒɑːlɦoːn
تجاہلِ عارفانا	ʈɑːjɑːhɦl ɑːrʲɪkʋɑnə
تجدید نہ کرنے	tʌdʒdiːd nə kərne
تجدیدِ مراسم	təs dʒiː de mɑɾɑsɪm
تجربات	dʒrbɑːr
تجربتاً	tədʒɛɾvɑtɯ̞n
تجربہ	dʒɾb
تجربہ کار	ʔəzrɪvɑːkɑːr
تجربہ کار سپاہی	t̪ə d̪ʱəɾoːt̪ kɑːr sɪpɑːɦiː
تجربے	tɐgərbe
تجربے کی حامل	dæstˈɾiːbeːk diː hæme
تجریدی تجربات	tdʒrjːdj tɑ ðə bt̪
تجریدی مصور	la ɣ̞lʝɪnim mwmɾa
تجزی	tɐdˈisiɐ
تجزیات کیے	tdʒiːət̪ keː liːe
تجزیاتی مطالعہ	qɑdˈziːətiː mqɑlɪjɑ
تجزیہ	t̪eɣ̞sia
تجزیہ نگار	t̪eɣ̞ia nigaɾ
تجزیہ نگاروں	tadʒiaː nɪgɑrõː
تجزیہ پییش کرنے	tdʒiːɑː peːʃ kɾneʔ
تجزیہ کار	t̪aːt̪ɟʰiː gəkəɾ
تجسس	dˈɛdˈɛrˈsˈus
تجسُّس	tˈoˈgɛstəs
تجسّس آمیز	dæɾ dæstˈsæst ɑːmɪt æst
