'arif	uʔib
jüzmäk	jʏ̞zmæk
jüzsüzlük	jˈusˈyːzdʏg
jüztürmäk	jʏ̞stʏ̞rmæk
jüzärlik	jʏˈzɛrˈlʏk
jüzük	jˈʊzʊk
jüzünč	jʊsʏntsɪ
jüzči	dʒʌstˈi
jüŋ	jˈun
jẹbäŋ	jˈibˌeɪŋ
jẹdi	jedi
jẹdinč	iːtˢiːntˢ
jẹdürmiš	jedyrmɛjʃ
jẹdürmäk	jedʏrmæk
jẹg	jˈɛk
jẹg adruq	nˈeːgə drˈuːq
jẹg ẹdgü	je gˈɛtl
jẹgin	ʃɛgĩn
jẹgin silig bẹg	ʒigintʃɪ̞lʲɪk bʲek
jẹgirmi	je˩˥ːgɪrme˥˩
jẹgirmi altï	jigɾme ɑɫtɯ̞
jẹgirmi bir	gɯɾmɯ bɪr
jẹgirmi bẹš	gʲiɾmʲi bʲes
jẹgirmi iki	igil miːkːi
jẹgirmi jẹti	jigir miːjˈtʃi
jẹgirmi sẹkiz	ˈigɾˈmi seˈgiz
jẹgirmi toquz	jɯɟɯɾmɯ tɔˈkʊz
jẹgirmi tört	jɯˈgɯrmʏ døɾt
jẹgirmi üč	jɯɾmi ytʃ
jẹgirminč	ɯˈgɯrmɪˌntɕi
jẹgirmä	jɪ̞gʲɪrmæ
jẹglik	jˈɛglˈiːk
jẹglämäk	jɪ̞gɫɛmæk
jẹglük	jˈɪklˈɛwˈk
jẹgräk	igrɛk
jẹgräk azu	iːkrɛk ɑzuu
jẹgrän	jˈɪgɾˌn
jẹgrän at	iːgɾænˈat
jẹgsiz	jˈɛksˈiz
jẹgäli	jˈgæli
jẹgü	jˈɛgˌ
jẹjim	jˈejˈin
jẹjimni	jɛjːymne
jẹk	nɪk
jẹklig	ʒaklik
jẹklig ičkäklig	et̪li̯g̊ inʃkætlɪ̞k
jẹklär	jɪ̞klær
jẹklär uluγï	jɪ̞kɫɛr ʊ̞ɫʊ̞ʁɯ̞
jẹklär uluγï-a, siziŋ qïzïŋïznï arčuni toŋa qunup ẹltü bardï. [ancient turkic dictionary]	jɪklɛr ulɑr sizɪz qɪzɨʁɪnni ʔardʒuni toŋɑ qunup bɪltu bɑrdi
jẹl	jˈɪl
jẹl bolmaq	jɪl bɯ̞ɫmɑq
jẹl ig	jˈɛ lˈik
jẹl qapmaq	jˈil jɑˈpmɑq
jẹl täŋri	jˈɛl tˈɛŋrɪ
jẹl tözlüg ig	nʲiltsʲɐs lʊgik
jẹl tẹg	jˈɛl dɛk
jẹl ẹsin	ʝˈɛnɛ sˈin
jẹlim	jɛliːm
jẹlkin	mʲilkʲint
jẹlkä bẹrmäk	jɪlkæ bʲirmæk
jẹlnämäk	jjɪlnɪ̞mæk
jẹlvi	jlɑj
jẹlvi küč	il bʲek ytʃ
jẹlvi küči üzä tört bölük sü bẹlgürtsär. [altun jaruq]	jelikutʃi yzˈɛtʁt bˈœlʒyʁ syʁˈbˈilˈgutˈɛrsɛʁ
jẹma täŋri ẹlig dintarlar birlä ẹki kün tün bu savlarïγ sözläštilar.	kimˈɒˈ tɒngɾˈi ɒliˈgiˈntɒɾlɒɾ bilˈdɒ ikˈi kyn tyˈbˈu sɒˈvˈiˈlɒɾiˈq siˈvlɒɾtiˈlɒɾ
jẹmir	jeːmiːr
jẹmirmäk	jemiɾmæk
jẹmiš	jemis
jẹmiš qavla	jɪ̞m iʲʃ qɑwɯ̞ɫɑ
jẹmä	jine
jẹmä joqaru qodï ilgärü kẹrü atï ẹšitilmiš. [türkische manikhaica]	jɪ̞mæ juqɑrɯ̞w qɑðɯ̞ ilgæ̹rɪ̞k jʏ̞rʏ̞ɑtːʊ̞ ɪ̞ʂɪ̞tjɪlmʲiʂ
jẹmä pändim alγïl: uzatma ämäl, ämäl ičräsindä busuγlï äǯäl. [ancient turkic dictionary]	jɪmæ pɛndɪmɑ uʁɯl ʔuzɑtmɑ ʔɛmæl ʔɛmæl ʔitʃiʁizdɑ tɑzɑ suʁlu ʔɛgʃɛl
jẹmä qutluγ ülüglüg oluγ ẹlig qan ol. [türkische turfan-texte]	jɪ̞mæ qwtɫʊ̞x ʏlʏ̞ɫʏ̞k ɫoχ ɪ̞lʲïk qɑnʊ̞ɫ
jẹmä tört ẹšiŋä ïdur mẹn sälam. [әхмәд йүгнәки]	jʏ̞nʏ̞tsʏ̞rt ɪ̞ʂiɪ̞ŋɪ̞ ɑðuɾ mʲin sæ̹lɛn
jẹmä ẹδgü tutγïl ẹlig asraqïγ, jegü ičkü bẹrgil bütür opraqïγ. (йосыф баласагуни)	jemɑth ɤtgʲujtutʁu ʔelik ʔazqɑrɪq jɪgɪ ytʃ køp bir gel bɪtir ʔopraqq
jẹmäk	dʒɛmmək
jẹmäk saγïzï	i̠mæk sɑʁɯ̞ðɯ̞
jẹmäklär	jʲimækɫær
jẹmür	mɪ̞r
jẹmürmäk	jɪ̞mʲɪrmæk
jẹnčü	jˈɛn˥
jẹnčü qapï	jintʃ oˈqɑpɯ
jẹnčü suvï bilän ötkürgü bẹrsär jẹg bolur. [zur heilkunde der uiguren]	jɛntʃiˈ sɯˈvʊ biˈrlæn ʉt kørgæ biɾsæˈɾ jec bulaɾ
jẹnčülüg	jˈɛntʃaʁʊk
jẹnčülüg mončuqlar	jentʃlyq muntʃɯqlɑr
jẹpüŋ sabarïr ẹrdinikä oqšadï. [altun jaruq]	gʲɪpjʏ̞ŋ sɑbɑrɯ̞ ʲir dʲinɪ̞kæ ʊ̞qʂɑdʊ̞
jẹr	jɪ̞ɾ
jẹr basruqï taγ, boδun basruqï bẹk. [ancient turkic dictionary]	jɪ̞r bɑsɫʊ̞kʊ̞ tɑʁ bʊ̞jʊ̞n bɑsɫʊ̞kʊ̞ bʲek
jẹr jarïlmaq	jɪr jɑrɯlmɑq
jẹr saγrïsï	jɪ̞r sɑʁrɑsɯ̞
jẹr täŋri törümiš	iɾtɛŋgriːtø røm iʃ
jẹr täŋri törümištä baj jẹmä bar, joq čïγaj jẹmä bar. [kalyanamkara & papamkara]	jɪrtæŋɪ̞ðʲi tʊ̞rʏ̞mʏ̞ʂtæ pɑj ʲimæ bɑɾ joktʃɪ̞ʁɑ jɪ̞mɛ bɑɾ
jẹr ẹrkän, ašïγ türtmä tẹrgi üzä. [йосыф баласагуни]	jɪ̞rɪ̞rkæn ɑʂɯ̞q tʏ̞rtmætʲi̯r jʏ̞zæ
jẹrdä	ɪ̞rdæ
jẹrig kẹzitmäk	iːrɪk gɛzʲitmɛk
jẹrig kẹzišmäk	jeˈriː kɛzɪʃmɛk
jẹrig sabanlamaq	jɪ̞rʲek sɑbänɫɑmɑq
jẹrilmäk	jɪ̞ɾjɪlmæk
jẹrin	jɪrin
jẹrintä	jɪ̞rʲɪntæ
jẹrkä	ɪ̞rkæ
jẹrkä sidip titikin alïp sügülkä jaqsar kẹtär. [zur heilkunde der uiguren]	ɪ̞rkæ si̠dʲɪk ʲitɪ̞kɪ̞n ɑɫɯ̞p sʏgjɪltʲæ jɑqsɑr kʲitær
jẹrči	ɪɾtʃi
jẹrči avïčγa	jirtʃi ɑwɪtʃɪqɑ
jẹrči suvčï	jɪrˈtʃi sɤuˈtɕe
jẹsün	iːəˌaʊxsøːn
jẹti	jˈiti
jẹti jüz	get jøz
jẹti jẹgirmi	dʒe tsijɛ gɪrme
jẹti künkä mün aš bẹrür mẹn.	jetʃikyn ke mynos berulmen
jẹti ẹrdinin ẹtiglig sarvaγïnta turu tẹginür mẹn.	jətʲi ɛrðʲiːn ɛtʲiklik sɑrʁɑːgɯn tɑ tʏrʏd tʲigɪn jyrmæn
jẹti ẹrdinin... sarvaγïnta turu tẹginür mẹn. [uigurische sprachdenkmäler]	jætɪ̞ ɛr dʲinɪ̞n sɑrʊ̞ɑqɯ̞ntɑ tʊ̞rʊ̞t tʲeʲɪgʲɪnʏ̞rmæn
jẹtildi	etjldi
jẹtilsä äǯäl, bitilmiš bolur bu äǯälgä äzäl. [ancient turkic dictionary]	jɛtjlsɛ ædʒæl bitilmiʃ bulaˈr bu ɛdʒælgɛ æz æl
jẹtinč	jɪːtvɪntʃ
jẹtip	etʃ
jẹtkil	jetkl
jẹtmiš jašïma öntüm.	jˈɛt miːʃ jˈaʃ maː ɪnˈtym
jẹtmiščä	jɛdmɪɛʑtɕe
jẹtmäk	jˈɛtmɛk
jẹtrü	jɛtrʉ
jẹtrü bilmäk	jɛdrɛp bilmæk
jẹttim	etim
jẹttäči	jitːɛtʃiː
jẹtärmẹn	jetergæn
jẹvig	iːvˈk
jẹvig tizig	je bʲek tʲizʲik
jẹŋlär	jˈinglɒr
k	kɛ
k-k	k
kafur	afur
kalbüd	kɑɫbʏɾ
kaqab	kɑqɑp
karmaput	kärmäputt
kazγandum	qɑzʁɑndum
kazγanïrmẹn	qɯ̞zʁɑnɯ̞rmʲen
kazγanγïl	qɑzʁɑnʁɑl
kaγad	kʁad
kaγïd	kɑɣət
kigür	kigur
kigürmäk	kigurumek
kim	kɪm
kim qaju	kʲim qɑjuː
kim ẹrsä bu sözkä adïnlar sözin, tẹŋläsä tẹŋlädi dürüstkä bädäl. [әхмәд йүгнәки]	kimi ɪrsæ bu søzkæ ɑdɯnlɑɾ søziɪn tɪŋɪlɛsæ tingɫɛdi gyryzt kɛbɛdɛl
kimi	kˈimi
kimi sẹvdüm ẹrsä, sẹvüg ǯanča tuttum. [йосыф баласагуни]	kimi sevdɪm ɛrˈsɛ sevik dʒɑntʃɑ tʊ̞tːʊ̞m
kimi sẹvsä ẹrmiš köŋül arzulap, tilin sözdä atï jorïr söz ulap. [йосыф баласагуни]	kimiŋsɪ ʔipsɛ tɤrmɪʃ køŋyl ʔɑrzulɑp tilin syl dɛ ʔɑtɯr jirursiz uɫɑp
kimiŋ jašï altmïš tükätsä saqïš, qatïγ bardï, andïn bašï boltï qïš. [йосыф баласагуни]	kɪ̞mʲiŋ jɑʂɯ̞ ɑɫtmʊ̞ʂ tʏ̞kætsæ sɑqɯ̞ʂ qɑtɯ̞q bɑrɯ̞nɯ̞n bɑʂɯ̞ bɔɫdɯ̞ qɯ̞ɾʂ
kimniŋ	kimni
kimniŋ burunta qan önsär, tïdu umasar. [zur heilkunde der uiguren]	kimnɨŋ buruŋtɑ qɑn ʔøntʃær tɯ̞dʊ̞ ʔumɑsɑr
kimniŋ burunta qan önsär.	kʲimni̠ŋ burun̪tɑq qɑn ʏ̞nsær
kimniŋ qoltïγï jïdïγ bolsar, övkani sökülüp üč kün jaqsun. [zur heilkunde der uiguren]	kimnɛn qoltʁiˈ jɯˈdɯq bɔlsɑr ʔøvkɛnɪ søkylyp ytʃ kyn jɑqsɯn
kindik üstün mẹŋ bolsar oγrï bolur. [ancient turkic dictionary]	kiˈndigyʃtʃɛŋˈ mæn bɯˈɫsær ɑˈhɾɯ bɑlur
kir	kɪ̞r
kirgü	kʲirgo
kirip ötrü tẹrgi ajaq bašlasa, anïŋdïn bẹgi aš sẹziksiz jẹsä. [йосыф баласагуни]	kilɪzbɛt yltyrɢi ɑjɑq bɑʃlasa ɑnɪŋdin beɣi ʔarsiz
kirlig	kɪliːg
kirsiz	kiksiz
kirürdä	kirɪrdæ
kit	kʲit
kitab	kɪˈtɑp
kitabnï tẹrgän kiši	kʲiðːadnɯt jɪrgɛn kiʃiː
kitabnï tẹrmäk	kiːtɒb na tiːrmɒkiː
kitap čïqarmaq	kitsɑt ʃɯ̞qɑrmɑq
kitär	kjtɛɾ
kivan	kiuɔn
kizlä	kizle
kizlämäk	kizlɛmɛk
kičig	kˈitʃik
kičig bačaγ	ki tʃik btʃaq
kičig ẹrŋäk	kiʧi kɪrnʲæx
kičigdä	kitsʧigdɛ
kičigi	kˌitʃigˈi
kičiglik	kitsʃiglik
kičigliktä jandïm qarïdïm bu kün. [ancient turkic dictionary]	kitʃiklɪktæ jɑŋdɯm qɑrɯzɯm jɛrdɛ kyn
kičimäk	kitsʃimæk
kiš	kis
kiši	kifˌ
kiši köŋli tüpsüz tẹŋiz tẹg turur. [йосыф баласагуни]	kisʃi køŋli typsusdeniz teːk tə rûl
kiši köŋlü tirlür bolur, qïzγu ẹŋ. [йосыф баласагуни]	kʲiʂɪ̞j kø̞ŋjlʏ̞ tjɪlɫʏ̞r bʊ̞ɫʊ̞r qɯ̞zʁu ʲin
kiši kẹδgüsi	ki ʃiːkˌeɾgjˈu siː
kiši oγlï	kˈiʃi jɒˈgglɒ
kiši oγlïnta üzä ẹčüm apam bumïn qaγan, i̇stämi qaγan olurmïš. [kül tẹgin memorial]	kisɯzɑʁliŋ tɑyʏzɛ ʔɪtʃyw muhim ʔɛpɑn βarɑq kɑʁan ʔistɛnmɪk kɑʁan ʔulurmuʃ
kiši söz birlä qopdï, boldï mülük.	kiʃiʃøz bʲirɫæ kɑbdɯ̞ bɯ̞ɫdɯ̞ mʏ̞jʏ̞k
kiši sözläšü, jïlqï jïδlašu.	kʲiʂʲi søzlæʃu jɯ̞ɫqɯ̞ nʲizɫɑʃɯ̞w
kiši toγdï, öldi, sözi qaldï, kör.	kɪˈʃi tɔgdɑ øl dɛ søzi qɑlda kør
kišidin kẹzik	kiʃɛ dˈinkɛzikː
kišidä	kʲiʂidæ
kišigä inanma, kẹsildi sözüŋ.	ki ʃigɛ inanmɑ ki si ldip søzyŋ
kišikä	kʲiʂɪ̞kæ
kišilik	kiʃiʃɪliːk
kišilik üčün at urundï kiši. [ancient turkic dictionary]	kiʃilix ytʃyn ɑt urɯnɯdɯ kɪʃi
kišilär	kɪʃɪlɛr
kišilär bašï	kiʃiˈdɒɾ bɒˈʃiˈɾˈ
kišilär sẹvinči	tʃiːzpˈɛdɾˈ sɛ biːntʃɪ
kišiniŋ	kisˌinɛn
kišičä	kʲiʂjɪtɕʲa
kolti	kɔlti
koron	kɯ̞rɑn
korär sẹn munï, kẹt аŋа. [әхмәд йүгнәки]	tʏ̞rɛr senn bɯ̞nɯ̞kʲɪ tɑŋæ
kum	kɔm
kutaju	kutaiːv
kuvan	kuβan
kuzišaj	kuziːʃaɪ
kušal	kʊʃau̯
kušala sitibala	kʊ̞ʂɑɫɑ sʲitʲi bɑɫɑ
kušti	kʊʃtˈi
käfarät	kaferet
käfarät bolmaq	kæfærɛt bɯ̞ɫmɑq
kägdä	kɒɢˈda
kägdäkä bitimiš kujn bitig. [türkische turfan-texte]	kʲak dzɛkʲe bʲitʲimʲis kuɪn bʲitʲi
kägädä	kɐɢɐdːæ
kämal	kɛ˥˥ma˥˩l
känd	kˈant
känt	kant
kärim	kɛrrim
köbik	kʏ̞pʲɪk
köbimäk	kɛbimek
köbitmäk	kəbitmək
köbük	kʏ̞bʏ̞k
köbülmäk	kəbulmˈɛk
köbüšmäk	kəbˈˈutʃumˈək
ködrüm	kˈadˈrˈɔnˈ
kög	kʏg
kögmän jïšïγ ẹbirü kẹltimiz. [orkhon-enisei scripts]	køgøg mɛneʃnɑt ɛbɛrøɛ kelte mið
kögüz	kogˈyz
köjdür	tʏ̞jtʏɾ
köjdürdüm	tʏ̞jtɪ̞rdʏ̞m
köjdürümẹn	kʏ̞jðʏ̞rʏ̞mæn
kök	tˈʌk
kök ajuq	kʏ̞k ɑjˈq
kök ajuqluq	kʏ̞k ɑjɯ̞qɫʊ̞q
kök amaš tutuq	kʏ̞kɛmɑʂʊ̞rq
kök kürlänmäk	kʏ̞k kʏrɫænmæk
kök qalïγ jüzintä	kʏ̞k qɯ̞ɫɯ̞q jʏ̞zʏ̞ntæ
kök raž’irt	tʏgɾɑː zɣiːrt
kök raž’irt öŋlüg köz	təkɯ̞ rasʁiːð õŋlykːʏ̞ð
kök čüvit	tˈœk tˈi
kök čüvüt	tʃiː tʃiː wit
kökdägi	kɔkdajiːgi
kökdäki	kəkdˈɛki
köklät	kʏ̞kɫɛt
köklätmäk	kʏ̞klɪ̞tˢmaːk
kökläš	kʏ̞kɫɛʃ
kökläšmäk	kʏ̞plɛʃmæk
kökrämäk	tɾˈukɾˈɛmek
kökädtür	kʏkætdʏr
kökägün	kukˈaɣˈin
kökürčkän	kˈɯkʊɾʲkɛn
kökürčkän majaqï	kʏ̞kʏ̞rʏ̞ʂʏgæn mɑjɑqɯ̞
kökürčkän majaqïn qara min birlä čoquratïp, üč kẹčä jaqzun. [zur heilkunde der uiguren]	kʏ̞kʏ̞rʏ̞ʂkɛnmɑ jɑqɯ̞n qɑrɑ mʲen βi̯rɫætʃʲi qurɑtɯ̞p ʏ̞tʃ kɪtʃɛ jɑqsʊ̞n
kökürčkün	kəˈgəɾˈkɪn
kökčin	tʰɔktɕin
kökčin saqal	kʏ̞ktʂʲin sɑqɑɫ
köl	køl
köl bilgä xan	køl bɪlgæ χɑl
köllär	kʏ̞nlær
kölärmäk	gʏ̞zærmɛk
kön	kɯ̞n
kön qurïmaq	kynq urɯ̞mɑq
köndür	kʏ̞nbʏ̞r
köndürdüm	tʏ̞ndʏ̞rdʏ̞m
köndürümẹn	kʏ̞ndʏ̞rʏ̞mæn
köni	kønˈe
köni bardï kẹldi nẹčä ẹgrilik, qanï qalmadï bir kiši täŋrilig. [ancient turkic dictionary]	te̞nʲi bɑrðɯ̞ keldʲi ni̠ ʃɛ ɛgɾjɪlʲɪk kɑnɑ qɑɫmɑðɯ̞ bɪ̞ɫ kɪ̞ʃɪ̞ tæŋgɾjɪlʲɪk
köni kẹrtü pädäk ol, ẹzüksüz igidsiz pädäk ol. [uygurische sprachdenkmäler]	kœ̃nˈi kirti pɛdɛgo es zyksyʃ idiksjz pɛdɛgo
köni sözdän taštïn sözüg söz tẹmä.	kʏ̞nʲiʂʏ̞zdæn tæʂtɯ̞n sʏ̞zʏ̞ksʏ̞ʏ̞s tʲimæ
köni sözlü ẹrkä bajat bẹrsü tẹr!	kʏ̞nʲiːsʏ̞zlʏ̞ ɪ̞rkæ bæjæt bʲir sʏ̞t ɪ̞r
köni sözlüg	kʏ̞nʲi sʏ̞zɫjûːg
köni tüz	kynitøz
köni ẹgri farqï uruŋlï qara.	kʏ̞nʲi ɛgɾʲi färqʊ̞ urɯ̞ŋɫɯ̞ qɯ̞rɑ
könilik	kʏ̞nʏ̞nʏ̞k
könilik mün ol.	kʏ̞nlylʏk myn ɔɫ
könilik, uvut häm ẹδgü qïlïnč üčagün biriksä, bu buldï sẹvinč. [ancient turkic dictionary]	kønʲilɪk ʔovut hæm ʔɛjʁyl kɔɫɯntʃ itʃægɔnj birɪksɛ bolbɯ ʔøz sɛvinʧ
könisinčä	gynʏzsintʃæ
könisinčä körmäk	ko nˈə tʃinˈ tʃˈɛ kœrmɛk
könisinčä tujmaq	kynɨsɪnʧɑ tujmɑq
köp	køp
köp müränlär, köp ögüzlär bar ẹrdi. [die legende von oγuz qaγan]	kʏ̞k mʏ̞rænlær kʏ̞p ʏ̞gʏ̞zlær bɑr ɪ̞gðʲi
köpik	kəpˈikˈ
köpük	kepˈuk
kör	kør
kör, abačï kẹldi. [мәхмүд кашгарый]	tʏr ɑbɑtʃɯ aldi
körgäli kẹlmäk	tʏ̞rgæ̹li̠ kʲilmæk
körkitgäli	kɪ̞rki̠tgæ̹liː
körkitgäli qïlïnmaq	kɪ̞r kʲitgæn ɪ̞qʊ̞ɫɯ̞nmɑq
körkitmäk	kʏ̞rkʲitmæk
körklä	kʏrkʲiʲːæ
körklägän	kʏ̞rklægæn
körklämäk	kʏrklʏ̞mʏ̞k
körmäk	kʏ̞rmæk
körmäk küsämäk	kʏ̞rmæk kʏ̞sæmæk
körmäkin küsämäk	kʏ̞rmækʲin kʏ̞sæmæk
körmätäči	kɾmɛtsɛtsʃi
körtlä	kʏrtlæ
körön	kʏ̞rʏ̞n
körüm	tʲɪrəm
körümli	kʏrʏmlʲi
köründüm	pʏ̞rʏ̞ndʏ̞m
körüngil	tʃtoɾuŋil
körüngü	kʏ̞rʏ̞ngʏ̞
körünmäk	kʏrʏnmæk
körünmäs	kʏ̞rʏ̞nmæs
körünürmẹn	kʏrnʏrmæn
körüp	krop
körüšmäk	kʏrʏ̞ʂmæk
köt	kət
köti	kʏti
köti qïzlaq	kʏ̞tɪ̞ kʏzɫɑq
kötimäk	tʃʰytiʁmɛk
kötit	kytit
kötitmäk	katit̪mak
kötič	kətˈit
kötki	kʏ̞tki
kötlä	kʏ̞tlæ
kötlämäk	køtlɛmɛk
kötlät	kʏtlæt
kötlätmäk	køtletmek
kötlük	kˈʊdlˈʊk
kötlür	kʏ̞tlʏr
kötlürgäj	kʏ̞tlʏ̞rgæj
kötlürmäk	kʏ̞tlʏlmæk
kötrüg	katrug
kötrül	kətɾˈʊl
kötrülgülüg	tˈɾˈwlgʏlʏk
kötrülmäk	kətrʏlmæk
kötrüm	kʏtrʏm
kötrüš	kltrfs
kötrüšmäk	kʏ̞tɾʏ̞ʂmɛk
kötär	keteɾ
kötärmäk	kʏtɛrmæk
kötü	køtˈøø
kötüdin ẹnsämäk	kytidin ʔin sɛmɛk
kötür	kʏ̞tʏr
kötürdü bašïn, baqtï mäšriq tapa. [йосыф баласагуни]	kʏ̞tjʏ̞rdʏ̞ bäʂɫɯ̞n bäqtɯ̞m ɛʂɫɪ̞qtäpɑ
kötürgü	kʏtʏɾgʏ
kötüri	tɾ
kötürmäk	kʏ̞tʏ̞rmæk
kötürsämäk	kʏ̞tʏ̞rsæmæk
kötürüp	kʏ̞ðʏ̞rʏp
kötüt	kətˌut
kövrä	kʏbrɛ
kövrämäk	tʏrəmˈɛk
kövrüg	kɛvrug
kövtüŋ	kɛtˈu
kövšäk	kʏlˈʃɛk
köz	kˈz
köz alart	køzɑɫɑrt
köz alartmaq	tʏ̞z ɑɫɑrtmɑq
köz ač	gøz atʃ
köz ačmaq	køz aːtʃmɑq
köz ačïl	køz atʃɯ̞ɫ
köz ačïlmaq	kʏ̞z ɑtʃɯ̞ɫmɑq
köz bilig	kˈøz bilˈig
köz iδmäk	klɛz iːðmɛk
köz jaru	køz viː jɑːruːv
köz jarumaq	køz jɑruɯmɑq
köz jitig qïl	køz jiti jɑqɯ̞u
köz jitig qïlmaq	kʏ̞z jɪ̞tʲi ʲɪkɫmɑq
köz jummaq	køz jˈum mˈɑq
köz kẹmiš	kˈøʒ ˈkɛmɪʃ
köz kẹmišmäk	køz kiniʃmæk
köz qapaqï	kʏ̞s qɑpɑqʊ̞
köz qaraq	kʏ̞s qɑrɑq
köz qačïγ	kʏ̞s qɑtʂɯ̞q
köz qaš tüg	tʏ̞s qɑɾ tʏ̞k
köz qaš tügmäk	kʏ̞s qɑrs tʏ̞kmæk
köz qulaq tut	kʏ̞s qʊ̞lɑq tʊ̞t
köz qulaq tutmaq	kʏ̞ð qʊ̞llɑq tʊ̞tmɑq
köz salïnmaq	kʏ̞z sɑʊ̞ɯ̞nmɑq
köz üzä sačmaq	køz jyˈzæ sɑtʃmɑq
közgär	kʏzgær
közgärmäk	køzgœrmæk
közgü	kʏzgʏ
közi qïŋïr	køzɪk ɑŋɑr
közintä	kʏ̞zʏ̞ntæ
közintä tolu jašï birlä tẹrkin ẹlig bẹgkä barïp. [altun jaruγ]	kʏ̞zʲiɪ̞ntæ tʊ̞ɫʊ̞ jɑʂɯ̞ bʲirɫæ tɛrkʲin ɪ̞lʲik bɪ̞lkæ pɑɾʊ̞p
közkä	kʏ̞skæ
közkä ilän	kʏ̞skæ i̠jɫæn
közkä ilänmäk	kʏ̞skæ ʲelɛnmæk
közkä ur	kʏ̞zkɛ ur
közlär	køzlɛr
közsüz	kʏsʏz
közünlüg	køzyˈnlyk
közünmäk	køzynˈbɛk
közünmäz	køzylmɛz
közünmäz bolmaq	kʏ̞zʏlmæz pulmɑq
közünü turmaq	køzymu tuɾmɑq
közünč	gʏ̞zʏ̞ntʃ
közüŋü	kʏ̞zʏ̞ŋʏ̞
közŋü	kʏ̞zgʏ̞
köč	tˈut
köčmäk	gœtʃmɛk
köčrüm	tʃɪɾeʲm
köčä	kɛːˈtʃɛ
köčüklä	kʲɪtʃjʏklæ
köčüklämäk	kytˈukləmˈɛk
köčür	tytʃur
köčürmä	kʏ̞tʧjʏ̞rmæ
köčürmä ojun	kʏ̞tʂʏrmæ ojun
köčürmäk	kətʃurmɛk
köčüt	kytˈyt
köčütči	tutˈtˈyˈttʃi
köčüŋni özüŋdä oza ïδ. [йосыф баласагуни]	kutʃymni ɒzymdɒˈ ɒˈzlɒ ɒld
köŋli	tˈʉŋdˈi
köŋül	kyŋˈy
köŋül ač	køŋyløʃ
köŋül ačarmẹn	tʏŋjʏlə tʃaɾmen
köŋül ačmaq	kʏ̞ŋyl wɑq
köŋül ačtïm	køŋylereʃsɑm
köŋül ačïrγamaq	tʏ̞ŋjɪl ɑtʂɪ̞rʁɑ mɑq
köŋül birlä	tʏ̞ŋʏ̞l bi̯rðæ
köŋül birlä maŋsa kiši arzulap, tẹgir arzuqa tẹrk jaquγluq ulap. [йосыф баласагуни]	køjɛl birlæ mɑŋsɑ kyʃe ʔɑrzulɑp dɪjɪr ʔɑrzuqɑ ti̠rk jɑqʉqʉ ʔulɑp
köŋül bütti šäksiz amul tutγïl ög. [йосыф баласагуни]	kʏ̞ŋʏl byt tʲiʂæksɪ̞s ɑmultu tʊ̞ʁʊ̞ɫ ʏ̞k
köŋül bütüp	tʏ̞ŋʏl pʏ̞tʏ̞p
köŋül bẹrdi häm-mẹ jorïttï tilig. [йосыф баласагуни]	tʲɪmʲɪl bʲir dʲe hæmmæ jørɯ̞tːɑ tjɪlʲɪk
köŋül kötürmäk	kʏ̞ŋʏl kʏ̞tʏ̞rmæk
köŋül qačïγ	kʏ̞ŋʏ̞n kʊ̞ʁ
köŋül tirilmäk	kʏ̞ŋʏl tʲiɾilmæk
köŋül tutmaq	tʏ̞ngəl tʏtmɑq
köŋülinčä	kʏŋylintʃæ
köŋülkä jaqïn	kʏ̞ŋʏ̞lkæ jɑqɯ̞n
köŋülkä sïγurmaq	tʲɪŋgjœlp jɛzsɑ qurmɑq
köŋülkä sïγurγïl	kʏ̞gʏ̞lkæs sʊ̞ʁurɢɑɫ
köŋülüg	kələ
köδrüm	kwˈˈɛdrˈuːn
köδük	kəduk
köδüklüg	kəðˈuklʊk
kü	kø
kü at	kɔːt
kü tut	kʏrtʊ̞t
kü tutmaq	kʏ̞ tʊ̞tmɑq
kü čav	tɐj tʃaʊ
kü čav at	pʲutsʲavat
kü čav at tiläsä, tuz ẹtmäk jẹtür.	kytʃɛwɑt divɛsɛ tyz etmɛk jetiʃi
kü ẹšidip	køˈʃidʒib
kü ẹšitmäk	tˈy ˈœvʃiːt nek
küdägü	kydˈeˈgˈt
küdäjü jïrlaju	kʏdæjʊ̞ jɯ̞rɫɑjʊ̞
küdämäk	kydt̪k
küdämäk jïrlamaq	kʏ̞dæmæk jɯ̞rɫɑmɑq
küdän ašï	gyðæn ɑʂɯ̞
küdän tüni	kydentwˈni
küdän ür tursar jaramaz.	gydæmɪ̞r tʊ̞rtsʊ̞r jɑrɑmɑz
kügädür	kˈugadlˈ
küi tẹgin	pʰuːt�aʒˈiŋ˧
küjü	kʏ̞jʏ̞
kül	kjˈul
kül bilgä qaγan	kyl bʲirgæt qɑʁɑn
kül tẹgin	kultegin
külsä köz täŋri külä torur. [мәкальләр & әйтемнәр]	kylsɛk ˈœvʁ stɛŋgriːk wˈi lətˈuɾal
kültẹgin ẹbi bašlaju qïtïmïz. [kül tẹgin memorial]	kʏ̞ðtʲɪgʲinɪ̞ bʲi bɑʂɫɑj uqɯ̞tɯ̞mɯ̞s
külüg tutuq ẹčim. [orkhon-enisei scripts]	kylyktʉ tʉn etʃin
kümüš	kɯ̞ndɯ̞ʃ
kümüš tẹgin	kʏ̞mʏ̞ʂtʲɪgɪ̞n
kün	gyn
kün toqsuq	kyn toqsok
kün toγuru	kʏ̞n tɔʁuɾuː
