(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
errigoiti	ɛrigojti
errime	erime
errinozero	erai
errio	erion
errioxa	ɾioʃa
errioxar	ɛriʊʃaɾ
erripa	ripa
erritmo	ˈeʁidmˈɑ̃
erritual	aɾitual
erro	eɾɾo
erroa	ɛrroa
erroi	eroj
erroia	peɾɾoʝa
erroitz	ɛrojts
erroiztu	eɾɾoistu
erroldatze	errol̪d̪at̪s̺e
erroma	laroma
erromal	ˈeɾɾomˈal
erromantxera	eɾɾomãn̪t̪ʃeɾa
erromara zihoanak, lekua gal.	eɾɾomaɾas̻i jo̞anak lẽi̯ku baɣ̞al
erromatar	eramata
erromeria	errɔmeɾia
erromero	eromeɾo
erromes	eromes
erromesaldi	eɾɾomesalð̞eĩ
erromintxel	erɾomintsel
erronka	erroˈkɑ
erronka bota	eɾɾonka bot̪a
erronkari	errɔnkaɾe
erronkariar	eɾɾonkad̪iaɾ
erronken	æræmkæn
erropa	eropa
errore	erɾoɾe
errose bustintza	erɾos̺e β̞us̺t̪ĩnts̻a
erroskilla	erɾoskila
errota	erot̪a
errotari	ɦo̞t̪aɾi
errotifero	erotifeɾo
errotikako	ɦɾut̪ikako̞
errotu	erotu
errotuladore	eɾɾutuladoɾe
erroxali	ɛːxʊsʃaːliː
erru	r
errubeola	ɾuβ̞eola
errubia	ruβ̞ja
errudun	erʝuð̞un
errugabe	eruxabe
errugbi	errugð̞i
erruki	erutti
errumania	rumania
errumaniar	erummanias
errumaniera	ɾˈummanieɾˈa
errun	erɾim
erruna	eruna
errupia	ɾupia
errusia	eɾusia
errusiar	ɾusiaɾ
errusiera	ɾˈusjˈeɾa
errute	ɾute
errutegi	ɛrɔteɣi
errutsu	errutʃu
ertain	ertain
ertz	erts
ertzain	ɾtsãĩ̯n
ertzaina	ertsaɲa
ertzainak	ɛɾtsænjæk
ertzainek	ɛrtzaɲːe
ertzaintza	ɛɾtsaintsa
ertzantza	ertsantsa
ertzatu	ɛɾtsatu
ertzeko	erts̻e̞kɔ
ertzo	ertso
erui	elə
esaera	eszaeɾa
esaldi	els̺alð̞i
esaldia	esalð̞ia
esamesa	esamesam
esamolde	esamolð̞e
esan	essãn
esanahi	ɛsæzðanlajɪn
esanahitsu	essãn̪aes
esaneko	es̺anikom
esanezin	esãneθĩŋ
esangura	esãn̪ɣ̞uɾa
esanguratsu	sãn̪t̪ɣ̞oɾat̪iõ
esapide	esapide
esatari	essat̪aɾm
esate	esate
esateko	ɛʃaːtɪko
esaten	ess̺at̪ẽn
esaterako	es̺at̪e̞ɾakõ
escorza	eskoɾt̪s̺a
eseki	unala
esekidura	eszeked̪uɾa
esentzia	eskentsia
eseri	eseɾe
eserialdi	esˈɾɪaldˈi
eserita	es̺ae̞ɾjt̪ãn
eserleku	eseɾlek
esfinter	esfintila
esfoliatu	esfˈoliˈato
esfortzu	esfortu
eskabide	eskaβiðɪ
eskaera	eskãeɾa
eskailera-maila	es̺kai̯eɾamai̯la
eskaini	t̪eskãn̪ʝ
eskainitako	ɦes̻kãn̪jit̪ako
eskaintza	eskaintsa
eskakizun	es̺kakis̻ũn
eskala	eskala
eskalada	eskalað̞a
eskale	eskale
eskandioa	eskand̪iɣ̞a
eskaner	eskaneɾ
eskapula	eskapula
eskara	eskaɾa
eskari	eskaɾi
eskaria	eskaɾia
eskarlatina	eskaɾlat̪jna
eskarmentu	eskaɾment̪u
eskas	eskas
eskas izan	es kas iθa al
eskasia	eskosˌia
eskatima	tɤ˧˥wɑŋ˨˩˦tt˧ɕʰy˥˩wɑŋ˨˩˦tɤ˧˥wɑŋ˨˩˦
eskatu	eskat̪o
eskatuta	eskad̪ud̪a
eskatzaile	eskapbaʝeɾ
eskatzen	eskatzẽn
eske	eske
eskegi	ðə
eskeini	tœskɛnˈi
eskela	esked̪e
eskeleto	eskeleto
eskemaren	bˈaʃkemˈaɾˈɾˈn
eskematiko	eskemat̪jkɔ
esker	eskeɾ
esker gaizto	eskeɾɣa isto
esker gaiztoko	es̻kɾʁa es̺ t̪oko
esker oneko	æʃkʰe xɔnʲi kɔ
esker txarreko	es teɾt̪sarek
eskerga	əskˈɛrgˈa
eskergaitz	eskeɾɣ̞ajts̻
eskerrak	ʃkɛçˈak
eskerrik asko	es ke rikasko
eskerrik asko bihotz-bihotzez	ɛʃkɛrɾi kaʃkoɾ bjotsʰ biʃotsʰes
eskerrik asko solasaldi polit honengatik	e̞s̺kẽrik as̺ko̞ s̺olas̺a lipo̞lit̪ omẽnɣ̞at̪ik
eskerrik asko solasaldi polit honengatik.	es̻ketɾik as̺ko̞ s̺olas̺ alð̞i polit̪o̞mẽnɣ̞at̪ik
eskerrik asko zure laguntzagatik	es̻ketɾik as̺ko̞s̻t̪uɾe laɣ̞unts̺aɣ̞at̪ik
eskerrik asko zure laguntzagatik.	e̞s̺kẽ̞rrik as̺ko̞ s̻uɾe̞ lagunt̪s̺a gãt̪ik
eskerrik asko!	eskerɾˈ i kasˈkˈo
eskertasun	eskeltasi
eskertzen	eskeɾtẽn
eski	zki
eski-pista	eskipist̪a
eskia	eskia
eskiatu	eskiatʊ
eskiatuko	eskiatuko
eskiatzen	eskiatsẽn
eskifaia	eskifaja
eskinantza	eskiɲanθa
eskinoso	eskinʝoso
eskinosoa	eskˈiˈoɾabˈa
eskizale	eskiθale
esklera	eskleɾa
esklerotika	eskleɾotika
eskoil	eskoʎ
eskola	eskola
eskola 2.0	eskolãmbj pũn̪t̪o ut̪s
eskolakide	eskolakið̞e
eskolara	eskola
eskolastikotasun	es̺ko̞las̻t̪ikõ̞t̪as̺un
eskolatua	eskolat̪ua
eskolazain	eskolazain
eskoletxe	eskol
eskorbuto	eskorβ̞ut̪o
eskoriatza	ɛʃkɔrijɑtsa
eskorpioi	skɔɾpjʊʎ
eskortzonera	eskoɾtsõŋeɾa
eskostegi	eskɔs̺t̪eɣ̞uj
eskozia	eskˈosja
eskritura	eskɾitˈaː
esku	lasku
esku-argi	eskuaɾã
esku-azpi	eskuespe
esku-erakutsi	es̻kueɾakut̪ʃi
esku-hartzearen	ɛskɔuaɾtsẽaɾen
eskua	tʃarkuːa
eskuaira	eskueiɾa
eskual herri	eskolaɾni
eskualde	ɛskɔːnlɛ
eskualdea	tʃkɔlʲa
eskualdearteko	es̺kuald̪eart̪eko
eskuar	eskwaɾ
eskuarki	eskuaɾki
eskubi	eskubi
eskubide	eskubiðe
eskubidea	eskubid̪ea
eskubideak	æskoːbʲið̞eak
eskuburdina	eskwβ̞uɾð̞ĩŋʝa
eskudel	eskwð̞ell
eskudiru	es̺kud̪iɾu
eskudunak	eskwɣ̞onaɾ
eskuduntza	æʃkuedʊtza
eskuila	eskoia
eskuin	eskwnʝ
eskuin aldean geratu	es̻koĩn ald̪e̞an ɣ̞ẽrat̪u
eskuin erraian geratu	es̻ko̞ĩn e̞ɾɾai̯an ɣ̞ẽɾat̪u
eskuinean	esminhẽn
eskuineko bidean geratu	e̞s̺ko̞iŋeko bid̪e̞an geɾat̪o
eskukada	es̺kukad̪a
eskukatu	es̻kukat̪u
eskuko	eskuko
eskulan	ɛʃkulɑŋ
eskulangintza	ɛskʊllanɣɪntsa
eskularru	eskolaɾɾo
eskuliburu	eskulibuɾu
eskuliburua	æʃkˈlibˈɾˈuaː
eskultore	eskwl̪t̪aɾe
eskuma	eskuma
eskumen	eskomẽn̪
eskumena	eskumena
eskumenak	eskomẽn̪a
eskumikatu	zkumikat̪u
eskumuin	kekɔmõi̯
eskumutur	eskˈumotˈuɾˈ
eskumuturra	eskɔmʊtʊra
eskumuturreko	eskɔmʊtʊrikɔ
eskuoihal	eskˈuˈoiʎˈal
eskuokin	eskwokie
eskuordetu	es̺kuɦoɾd̪e̞t̪u
eskupe	ð̞eskupem
eskupeko	eskupiko
eskupekoa eman	ɛs kʏpe kɔai̯mən
eskura al nezake kontuaren laburpena?	es̻kuɾa alnes̻ake kõn̪t̪uaɾen la β̞uet̪l pẽn̪a
eskuraezin	eskuraeˈn
eskuragarri	eskwɾaɣ̞ari
eskuragarritasun	es̺kɣ̞oɾaɣ̞aret̪as̻un
eskuratu	eskwɾatu
eskutik	ɛʃkɔtik
eskutitz	eskwt̪it̪s
eskutrapu	eskwt̪t̪rapu
eskutur	ɛskʊltˈuɾ
eskuturra	eskut̪wɾa
eskuzabal	ɛʃtˈalˈisˈalˈ
eskuzabalki	unaeskoθaβ̞aalki
eskuzapi	unaeskuzãmbbi
eskuzapia	wtf
eslai	eslai
esle	ɛsle
esleipen	dʑoɾa
eslovakia	esloβ̞akia
esmeralda	esmeɾal̪d̪a
esne	tɛʃnɛ
esne-behi	esneβ̞e
esnea	esneã
esnegain	esmiɣanʝ
esneztatu	esnestatu
esnob	snˈob
esofago	esʊfaɣʊ
espageti	ɛspɑɣˈeti
espainia	espãn̪t̪ia
espainiako	ɛspanʝako
espainiako irrati telebista	ɾɯʃpaːnjɐkuː iɾakitiɾiʋiʃta
espainiar	espaɲaɾ
espainol	espanʝol
espainolista	espˈaɲolistˈa
espaloi	espaloi
espantagarri	espãn̪t̪aɣ̞aɾɾi
espantu	ʃˈɛʁpˈɛntˈu
esparru	esparɾo
espartin	espast̪jn
espazioan	ɛspasioŋ
espe	ʃpe
espedientea	æʃtɪrjɛntæː
espektro	espektro
espektrofotometro	espekt̪ɾofot̪omet̪ɾo
espektrograma	espektɾoɣɾama
espekulatzaile	kʰiʃqʰikulaʃa
espekulazio	ˌespekulˈakjo
esperantza	espeɾanθa
esperientzia	eʃpeɾient̪sja
espero	espeɾo
espetxe	espetʃe
espetxeratu	espitʃeɾatu
espetxeratze	aɪˈniːfɑŋgə
espezialista	espeθjalist̪a
espezializatua	estoisˌializˈatˈuˈa
espezializazio	ˌespeθjalˌiθaθjˈo
espezimen	ɛsbæsɪmæn
espinaka	espinaka
espiritualtasun	espiɾit̪ualt̪asũm
esplikazio	esplikat̪io
esportazio	dʏ̞ʂtʰmʏɾtastɛoː
espresibitate	espɾesiβitadɛ
espresio	ʃpɾɛssjˈo
espresuki	espɾesjuki
estadio	estadio
estakuru	es̺t̪akuɾu
estalagmita	es̺d̪alakmit̪a
estalaktita	es̺t̪alakt̪ikd̪a
estaldura	es̺t̪al̪d̪uɾa
estali	estalj
estalki	est̪alki
estalpe	estalpe
estamentu	est̪amẽn̪t̪u
estandar	estãn̪d̪aɾ
estatistika	estatistika
estatozisto	eestatʊsiʃtɔ
estatu	estatʊ
estatu batuak	e̞s̺t̪at̪u bat̪uak
estatubatuar	es̺t̪at̪ubat̪uaɾ
esteka	estẽka
estekatzaile	estɛkatːsjɛ
estekek	estetʃ
estela	estela
estepa	estepa
estereoskopiko	est̪eɾoskopiko
esti	ket̪e
estigma	estiɣma
estilo	tɛstilɔ
estimatu	ɛspimatʊ
estira	est̪iɾa
estolderia	estalðeɾia
estralurtar	estralaɾt̪aɾ
estrata	est̪ɾat̪a
estrategia	estɾat̪eɣ̞ja
estrategiak	espɾat̪afiat̪
estrategien	estrat̪d̪efjẽn
estratigrafia	estɾatjɣɾafia
estreina	estɾenʝa
estreinako	estrẽĩŋʃako
estreinakoz	estɾeɲakos
estreinatu	estɾiɲat̪u
estreinatuko	es̺t̪ɾe̞ĩŋatuko
estreinatzen	e̞s̺t̪rẽ̞n̪at̪s̺ẽn
estrepa	estɾepa
estres	estɾɛs
estrigiformeak	es̺t̪ɾiɣ̞ifoɾmeak
estrontzioa	estrãn̪t̪sieɾa
estropada	est̪t̪ropad̪e
estropadak	est̪ropad̪ak
estropezu	est̪ropesu
estropezuka	sdroppiasˈuka
estrukturalismo	est̪ɾukt̪wɾalismõ
estrusio	estrukio
estu	estu
estu erabili	estu eɾaβ̞j li
estualdi	est̪ubad̪iɾ
estuarazi	est̪ueɾaai̯s
estuasun	est̪uasum
estugailu	estuɣ̞aʝu
estugarri	ket̪uɣ̞ari
estutasun	est̪ot̪asswnt
estutu	estut̪u
estutuko	est̪ut̪oko
estutzen	eʃt̪ut̪s̺ẽn
eszena	esθena
et	ɛt
et'	tɤ˧˥
eta	eta
eta abar	et̪a aβ̞aɾ
eta zu	etaso
eta zu?	etasso
etaiu	etajlum
etchalus	etʃarus
etchalusek	etʃalusɛ
etcheverry	etʃeβeɾɾi
etekin	etʃeke
etekintsu	etʃeekin̪t̪u
eten	eten
etengabe	et̪ẽn̪ɣ̞abe
etengailu	etengaelʝu
etengaitz	t̪ɛn̪gajts
etetea	estetela
etika	tika
etiketa	e̞t̪iket̪a
etiologiko	epiolɔmiko
etnolinguistika	enolĩŋgwist̪ika
etnozentrismo	ednopentrˈismˈɔl
etorbide	etɔɾbidɛ
etorburu	et̪oɾβ̞uɾu
etorki	etʃaɾki
etorkin	etɔɾkin
etorkizun	et̪oɾkkesun
etorkizuneko	e̞t̪orkis̺oneko
etorrera	e̞t̪oreɾa
etorri	et̪ori
etorri zaitez	e̞t̪oɾɾi s̺ai̯t̪es̺
etorrizko	etoɾɾiskɔ
etsai	etʃaje
etsai-giro	ʃaːigiɾo
etsaia	etʃaia
etsamina	ets̻amiɲa
etsenplu	etʃumplˈu
etsi	ɛti
etsigarri	peθˈtʃiʋaːri
etsipen	etʃipen
etxahun	etʃaːn
etxalar	etʃaˈla
etxalde	etʃalbe
etxaleku	etʃaleku
etxarri	etʃaɾɾej
etxarri-aranatz	etʃaɾtjaɾana
etxart	etʃaʁt
etxauri	etʃauɾi
etxe	˨˩e˨˩˦tʃe˥˥
etxe zuria	etʃe sɔɾia
etxe-egun	etʃeegun
etxea	etʃea
etxebarri	etʃebari
etxebarria	et̪ɣ̞eβ̞aɾɾia
etxebe	estsebe
etxebehere	etʃebeːɾɾɛ
etxeberria	eʃebeɾɾia
etxebizitza	etʃebisitsa
etxegabe	etʃeɣabe
etxegabetu	etʃeɣaβ̞e̞t̪u
etxegarai	etʃegaɾaj
etxegarate	etʃeɣ̞aɾate
etxegile	etʃegeˈdʒe
etxegintza	ɛtʃeɣĩn̪t̪s̺a
etxegoien	etʃegoi̯en
etxeko	etʃeko
etxeko medikua	e̞t̪ʃeko með̞ikua
etxekoak	etʃekua
etxekoandre	etʃekoandre
etxekopar	etʃekopaɾ
etxekotu	etʃekotu
etxenagusi	etʃeɾaɣ̞osi
etxenike	etʃepavimuke
etxenikea	tetʃinigɛa
etxeorratz	etʃeˈɾan
etxepare	etʃepˈaɾe
etxera eraman al diezadakezue hau?	etʃe̞ɾe̞ eɾamẽn al dʒe̞z̺at̪ak es̺ s̻o̞ha u
etxeratu	estʃeɾatʊ
etxetiar	etʃetial
etxetresna	etʃetɾesna
etxetxori	etʃetʃoˈri
etxezain	etʃesajn
etxezulo	ɛkʲæs˥˩lɔː˧
etxola	tɛtʃˈɔla
etzaleku	ets̺alẽku
etzan	et̪s̺ãn̪
etzanarazi	et̪s̺aãmblasi
etzangia	et̪s̺ãn̪ɣ̞ia
etzango	etsago
etzaten	et̪s̺at̪e
etzaulki	etʃauki
etze	et̪se
etzi	eti
etzidamu	essið̞akki
euforiko	eufoɾigɔ
eukalipto	elkalit̪o
eukarioto	eukaɾioto
eukaristia	eukaɾist̪ia
eulantz	ewlants
euli	auli
eultze	ultse
eupada	tɛpˈa
eurafrasia	euɾafɾasia
eurasia	eʊɾakia
eurei	ˈɛʊdeɪ
eureka	dʒɛulɛkˈa
eurenez	ɛʊdɪnɪs
euri	ɛʊɾɨ
euri-truxu	euɾitɾuʃu
euria	tˌoˌ�yrɪˈɑ
euria ari da	jɛ˨˩˦li˨˩˦a˥˧
euritako	euɾitako
eurite	auɾite
euritsu	auɾitʃu
euroko	ɛʊ̯ɾɔkʊ
europa	europa
europar	lɔːkːa
europioa	elopioa
eurrez	ewres
euskadi	euzkaɾĩŋ
euskadi ta askatasuna	jus ke ð̞jt̪a e̞st̪at̪ ã sẽn̪aɾ
euskadiko autonomi erkidegoa	e̞us̻kaɾiko aut̪onomia eɾkid̪igoa
euskadiko ezkerra	e̞us̻kað̞iko es̻ ge̞ɾɾa
euskahaldun	euslaal̪d̪un
euskailu	euskalo
euskal	ewskan
euskal autonomia erkidegoa	e̞uz̺kal autonomia eɾkid̪eɣ̞oa
euskal bizikleta	ˈaɪ ʃkˈal bisˈiɛklez
euskal herri	euzkala ri
euskal herria	tˈɪs kˌɔlɛʁˈia
euskal herriko bilgune feminista	euʃkaleɾɾeku β̞is̻ɣ̞unes̻ e̞ɲːen list̪a
euskal herriko laborantza ganbara	mʊ̃ʃkɑlɛɦikʊ̃ lɑɣ̞oɾant̪ʃɐg ãmb baɾãn
euskal herriko laborarien batasuna	ð̞io̞s̺t̪ kalẽɾikʝa β̞uɾaɾiem pɾað̞e̞s̺t̪a
euskal herriko unibertsitatea	e̞us̻kal he̞ɾriko̞ univers̺ikat̪ea
euskal herritar	efs̻kal d̪e rit̪al
euskal herritarrok	e̞us̻kal eri t̪eɾɾo̞k
euskalakariak	e̞uz̺kalakaɾiak
euskalari	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
euskaldun	ewʃkaldʝn
euskalduna	e̞ʊ̞s̺kɑld̪ʊnaɾ
euskaldunon egunkaria	e̞us̻kald̪un o̞n e̞ɣ̞ũn kaɾia
euskalerria	euzkalaeɾria
euskalgintza	tuʃkarabiŋtsa
euskalherria	e̞us̻kalheɾria
euskalki	euskalke
euskalmet	auskalmet̪
euskaltegi	euzkalteri
euskaltegia	euz̺kalt̪eɣ̞ia
euskaltzain	euzkaltsãĩŋ
euskaltzaindia	e̞ʊ̞s̺kalt̪s̻e̞ĩːnd̪iːa
euskaltzaletasun	e̞ʊs̺kals̻alẽt̪as̺un
euskalzale	euskalsele
euskara	eoskaɾa
euskaradun	euskaɾad̪wn
euskaratu	eʊskaɾatʊ
euskaraz badakizu?	ɪ̞ʃkɪ̞ɾaz vaːk ɪ̞tsu
euskarazetamol	e̞us̻kaɾas̻e̞t̪amol
euskarri	euskari
euskarritu	e̞us̻karɾitu
euskera	ɛuskeɾa
eusko ikaskuntza	e̞us̺ko̞ ikas̺kunt̪s̺a
eusko jaurlaritza	e̞us̻ko xauɾlarits̻a
eusko legebiltzarra	e̞ʊ̞s̺ko̞ leɣ̞eβ̞i ls̻ara
euskotar	e̞us̻ko̞t̪ar
eusle	ɛuzɫɛj
eustazpi	euʃtaspi
euste	ãusˈte
eutsi	ewti
eutsiezin	ˌeʊtʃɨɐsˈiŋɨ
eutsigarri	ɛwtʃiɣaɾɪ
eutsozu	ewtʃosʊ
eutsozue	eutʃosɯbɛd
euzkadi	ewsˌukˈaɾiw
euzko alderdi jeltzalea	ja tuko koːlder rɛxːel salɛːn
eva perón	eβ̞a peɾon
exijitu	ekzistas
existentzialista	ekzistentsialista
existitu	eɣ̞sist̪it̪t̪w
exogamia	ekso̞ɣ̞amia
exoteriko	estʃot̪eɾjko
exotermiko	eksotermiko
exotiko	ekstɔtiko
exotismo	esotˈismo
eyhartchet	kijɑrtʃʰet
ez	ˈɛs
ez adiorik	una að̞iɾik
ez da dirudiena bezain erraza	es̺a ð̞iɾi uð̞ie̞na bes̻ãĩ̯n e̞ɾɾas̻a
ez da ezer	es ð̞aiɾ seɾ
ez da zeren	es d̪e sæɾen
ez dabil	est̪aβ̞il
ez dago zergatik	es̺ t̪a goz̺ z̺eɾɣ̞at̪ik
ez dakit	es t̪akit̪
ez dakit euskaraz	es t̪aki t̪euz kaɾas
ez dakit euskaraz hitz egiten	es̺t̪akjt̪e̞ eu̯s̺kaɾa s̻it̪s̻e̞it̪ẽn
ez dit axola	ˈeste es tˈɪ tˈa ʃˈa lˈla
ez dit axola.	es ðita ʃola
ez dizu axola!	estis s̺oas̺ola
ez dok hamairu	estʃas kamai̯ɾu
ez du arriskatzea merezi	es d̪u ariʃkat̪s̺e ameɾez̺it̪
ez du merezi	eʒ dˈomɛɾɛsɨ
ez du zentzurik	es d̪u s̺ẽn s̻uɾik
ez du zentzurik.	esto sensoɾik
ez dut ordainketa baimendu	es d̪ut̪ oɾd̪ai̯n keit̪a bai̯mβ̞end̪o
ez dut ulertzen	es d̪ut̪ uɾlert̪ s̺ẽn
ez entzun egin	es̺ ẽn s̻unẽk
ez erre!	sr
ez ezazu gehiago pentsatu	es̻ es̻as̺u ɣ̞ehiaɣ̞o pent̪s̻at̪u
ez horregatik	es̺ oriɣ̞at̪ik
ez horregatik!	es oɾɾeɣ̞at̪ik
ez nago ziur dataz	tʃi negosio datas
ez naiz ongi sentitzen	e̞nnaɪ̯s̺ ɔnge̞ ʃɛn tʃɛn
ez zaitez alua izan	tsʰai̯t ɾɒsaloɾis fãn
ez zaitez toki hau baino harantzago joan	ets̺ai̯t̪e t̪okiau̯ bai̯no aɾãn̪ts̻a ɦo̞xun
ez zaitez toki hau baino harantzago joan:	e̞s̺ai̯t̪es̺ t̪okiak bai̯no aɾãn̪ts̻a goʝõn
ezaba	eshaβan
ezabaezin	esaβ̞az̺ĩn
ezabagailu	est̪aβ̞aɣ̞aʝõ
ezabagaitz	eslaβ̞aɾaʝt̪s
ezabaketa	is̺aβ̞ake̞t̪a
ezabapen	eslaβ̞apẽn̪t̪
ezabatu	essˈaβatˈu
ezaguera	es̺aɣ̞oe̞ɾa
ezagumendu	es̺aɣ̞onenð̞u
ezagun	essaũn
ezaguna al zaizu?	est sagun al stai sɔ
ezagungarri	es̻aɣ̞ũnɣ̞aɾɾi
ezagutu	esau̯t̪o
ezagutzaile	es̺aɣ̞ots̻ae
ezagutzeko	es̺aɣ̞ut̪s̻e̞ko
ezain	esajn
ezan	esan
ezantza	tutsotˈa
ezarian-ezarian	esaɾianesaɾian
ezarpen	es̺aɾpẽn
ezarri	esari
ezarrita	essearita
ezartzen	esortsen
ezaugarri	esaɔŋgaɾɾi
ezaugarriak	es̺au̯gaɾɾiak
ezaupide	esaupiðe
ezbai	estˈai
ezbehar	ˈɪzbeəɹ
ezberdin	esbeɾð̞ĩŋ
ezberdinak	esbeɾð̞iɲet
ezberdindu	esbeɾð̞ĩŋð̞u
ezdeus	bast̪eus
ezdeuskeria	esd̪euʃkeɾia
eze	esim
ezean	sean
ezein	se
ezelako	selakɔm
ezelan	est̪elan
ezer	eseɾ
ezerez	eseres
ezereztasun	ɛsɛɾestasun
ezeroso	æˈseɾɑːʃɑː
ezerosotasun	esˈeɾossˈotˈasmˈujj
ezertako	essɛɾtako
ezesle	eszeɾle
ezespen	æfæʃpæn
ezetsi	estetʃi
ezezagun	kionsiagon
ezgai	ɛsgˈai
ezgaitasun	esgajt̪asɯ̞n
ezgauza	esgau̯sa
ezik	ʔesik
ezin	elsˈiðo
ezin ase	es siɲ aʃe
ezin gehiagoan	seŋgɛ iːˌɐgɔn
ezina	esziɲa
ezinbeste	esinβ̞est̪eβ̞
ezinbestean	esinβ̞ezt̪ean
ezinbesteko	eθimβ̞est̪e̞ko
ezinda	essĩnˈða
ezindu	esimdu
ezinegon	æsiːnɛɢɒːm
ezinezko	esiɲes̺kɔ
ezinikusi	ɛθɪnikus
ezinikusia	es̻ɲikus̺ia
ezintasun	esimt̪as̺un
ezjakin	esiakĩŋ
ezjakintasun	esɟʝakint̪assum
ezjakite	tsuʃtie
ezkai	eskai
ezkailu	eskalˈio
ezkaratz	ɪ̞s̺kɑrɑts̺
ezkata	eskata
ezkel	eskel
ezker	zkeɾ
ezker aldean ikur bat ikusiko duzu	e̞t̪kẽ̞r ɣ̞ald̪e̞an ikur bat̪ ikus̺iko̞ d̪us̺lu
ezkero	esketo
ezkerran	eskeran
ezkerrean	es̺kẽɾɾe̞an
ezkerretara	ɦets̺ke̞rɛt̪aɾa
ezki	eski
ezkila	eskila
ezkilore	eskilɔre
ezkio	eskio
ezkio-itsaso	keʃafoiitʃaʃo
ezkioitsaso	eskieiʃaθo
ezko	tsɔ
ezkoargi	ɛː
ezkogile	tɛs̺kɑtiˈtˈɑ
ezkon-neba	eskõn̪neβ̞a
ezkonberri	eskombeɾɾi
ezkondu	eskonð̞u
ezkonsari	eskɔnsaɾi
ezkontide	eskõmtið̞eɾ
ezkontza	eskɔntsa
ezkor	ɛsˈkɔr
ezkortasun	eskoɾt̪asun
ezkoztatu	eskostatõŋ
ezkur	eskˈoˈɾˈ
ezkurra	eskura
ezkutaketa	es̺kut̪ake̞t̪a
ezkutari	izkutadʒi
ezkutatu	eskutato
ezkutu	eskwtˈo
ezkutuko	eskutuko
ezkutuko parteak	ẽs̻kut̪uko paɾt̪eak
ezleku	elleku
ezohiko	esʊikʊ
ezordu	eszɔɾðu
ezpa	esta
ezpada	tɨsˈtaka
ezpain	ɛspajn
ezpaina	espãn̪ʝa
ezpainak	əspai̯ɲak
ezpainetara	ɛspɑjɲataɾa
ezpal	espal
ezpalarta	est̪alaɾt̪a
ezpara	aespað̞a
ezpata	espat̪a
ezpatagile	espat̪aɣ̞ujet̪
ezpatakada	espat̪akað̞a
ezpela	espela
ezpeldoi	espeldoj
ezpeleta	ɛspiljto
ezproi	esproj
ezta	esta
eztabai	estabaj
eztabaida	estabajð̞am
eztabaidagai	estabajdagai
eztainu	destanʲːo
eztainua	estaiˈo
eztanda	estandau
eztarri	estasi
eztarria	est̪aɾɾia
eztarriko mina dut	es̺t̪aɾɾi komĩn̪ia d̪ut̪o
eztebe	ɛst̪eβ̞
ezten	ɛstɛn
ezterenzubi	ɛstensʊbi
ezti	estj
ezti-ezti	estiesti
eztia	estila
eztigile	estiviʝe
eztikeria	bɛs̺tikaɾja
eztitu	estitu
eztizen	estise
eztul	estɔl
eztulka	est̪ulka
ezuste	esuste
ezustean	esust̪jal
ezusteko	esust̪eko
eñe	peɲe
f	efe
fa	fˈa
faboratu	soboɾat̪
fabore	faβ̞oɾe
faborez	faβ̞oɾes
fabrika	fˈabɾɪka
fabrikatu	fabɾikat̪um
fabrikatzaile	faβ̞ɾikat̪aʝeɾ
fabrikatzen	fabɾika
fadegabe	feɾd̪eɣ̞abe
faisai	faɪsaj
faktore	faktore
faktoreak	taktuɾjaq
faktorial	faktˈoɾial
faktura	fˈaktoːlˈa
faktura bat ordaindu behar dut	fakt̪uɾa bat̪ oɾd̪e̞n d̪o̞ be̞ar d̪ut̪
fakultate	fakultat̪e
falka	falka
falta	falt̪a
falta izan	balt̪a ĩ senoβ̞
faltadun	bal̪t̪ad̪wn
faltarazi	fal̪t̪aɾasi
faltatu	fal̪t̪at̪u
faltsifikazio	falsifjkakio
faltsu	faltʃo
faltsukeria	fasxwkeɾia
faltsuki	faltʃuki
faltsutasun	falt̪s̺ut̪as̺um
fama	fama
famatu	fæmætu
famatuko	famatukˈo
famatzen	famatsɛn
familia	familia
familian	fˌɐmɨlˈiˈɐ̃nˌɐ
familiar	familiara
familiaren	familiaɾent
familiarte	familiaɾte
familiarteko	familiart̪eko
familiatik	familijadit
fanatiko	fan̪t̪iko
fanerozoiko	laneɾasɔikɔ
fanfarre	fanfaɾe
faraoi	faɾaoi
fardel	fagð̞eɾ
farfaila	faflaʝa
faringe	faɾiːnxe
fariseu	faɾjseu̯
farmakologia	faɾmakologia
farmazia	faɾmãn̪θja
farmazialari	faɾmãs̺ialaɾi
faroera	faɾoeɾa
farolari	faɾolaɾi
favela	babela
faxismo	saːkɯseʃimɯ
faxista	faθist̪a
fede	fˈɛde
fede eman	feð̞eẽm̩an
fede on	se ðˈoɾˈ
fedea	fˈeðeˈa
fededun	feð̞ed̪wn
fedegabetasun	ɦeleɣ̞abekas̺um
federal	fˌeðeɾˈal
federatu	fˈedˈeɾatˈoʁˈ
federatuko	fˈedˈeɾatuko
federatzen	fed̪eɾat̪s̺ent̪
federazio	fˌeðeɾaθjˈon
felibrismo	felibrismo
felizia	fɛlɪsia
feminizatu	feminisatu
feminizidio	feminisiðijo
